date,value
3965-12-07,107.44
4968-01-03,128.53
1973-12-30,109.96
1974-12-30,76.28
1975-12-30,77.2
1976-12-30,89.9
1977-12-30,98.71
1978-12-30,117.53
1979-12-30,136.57
1980-12-30,168.61
1981-12-30,203.18
1982-12-30,188.97
1983-12-30,285.43
1984-12-30,248.98
1985-12-30,290.23
1986-12-30,366.97
1987-12-30,402.58
1988-12-30,374.44
1989-12-30,437.81
1990-12-30,409.18
1991-12-30,491.69
1992-12-30,599.26
1993-12-30,715.16
1994-12-30,751.65
1995-12-30,925.19
1996-12-30,1164.95
1997-12-30,1469.48
1998-12-30,1794.91
1999-12-30,2728.15
2000-12-30,3783.67
2001-12-30,2029.61
2002-12-30,1539.73
2003-12-30,1647.17
2004-12-30,1986.53
2005-12-30,2099.32
2006-12-30,2263.41
2007-12-30,2578.47
2008-12-30,2161.68
2009-12-30,1845.38
2010-12-30,2349.89
2011-12-30,2677.44
2012-12-30,2965.74
2013-12-30,3541.29
2014-12-30,4375.1
2015-12-30,4945.55
2016-12-30,4987.79
2017-12-30,6235.3
2018-12-30,7425.96
2019-12-30,7940.36
2020-12-30,10201.51
2021-12-30,14371.46
2022-12-30,12224.35
2023-12-30,12970.62
2024-12-30,17247.45
2025-12-30,20372.16
