date,value
1990-12-30,127.61
1991-01-30,129.97
1991-02-27,133.01
1991-03-28,120.19
1991-04-29,113.94
1991-05-30,114.83
1991-06-27,137.56
1991-07-30,143.8
1991-08-29,178.43
1991-09-29,180.92
1991-10-30,218.6
1991-11-28,259.6
1991-12-30,292.75
1992-01-30,313.24
1992-02-27,364.66
1992-03-30,381.24
1992-04-29,445.38
1992-05-28,1234.71
1992-06-29,1191.19
1992-07-30,1052.07
1992-08-30,823.27
1992-09-29,702.32
1992-10-29,507.25
1992-11-29,724.6
1992-12-30,780.39
1993-01-28,1198.48
1993-02-25,1339.88
1993-03-30,925.91
1993-04-29,1358.78
1993-05-30,935.48
1993-06-29,1007.05
1993-07-29,881.07
1993-08-30,895.68
1993-09-29,890.27
1993-10-28,814.82
1993-11-29,984.93
1993-12-30,833.8
1994-01-30,770.25
1994-02-27,770.98
1994-03-30,704.46
1994-04-28,592.56
1994-05-30,556.26
1994-06-29,469.29
1994-07-28,333.92
1994-08-30,785.33
1994-09-29,791.15
1994-10-30,654.98
1994-11-29,683.59
1994-12-29,647.87
1995-01-30,562.58
1995-02-27,549.26
1995-03-30,646.92
1995-04-27,579.93
1995-05-30,700.51
1995-06-29,630.58
1995-07-30,695.55
1995-08-30,723.87
1995-09-28,722.43
1995-10-30,717.32
1995-11-29,641.14
1995-12-28,555.29
1996-01-30,537.35
1996-02-28,552.93
1996-03-28,556.39
1996-04-29,681.16
1996-05-30,643.65
1996-06-27,804.25
1996-07-30,822.48
1996-08-29,809.94
1996-09-29,875.53
1996-10-30,976.71
1996-11-28,1032.95
1996-12-30,917.02
1997-01-30,964.74
1997-02-27,1040.27
1997-03-30,1234.62
1997-04-29,1393.75
1997-05-29,1285.18
1997-06-29,1250.27
1997-07-30,1189.76
1997-08-28,1221.06
1997-09-29,1097.38
1997-10-30,1180.39
1997-11-27,1139.63
1997-12-30,1194.1
1998-01-29,1204.43
1998-02-26,1206.53
1998-03-30,1243.02
1998-04-29,1343.45
1998-05-28,1411.21
1998-06-29,1339.2
1998-07-30,1316.92
1998-08-30,1150.22
1998-09-29,1242.9
1998-10-29,1217.32
1998-11-29,1247.42
1998-12-30,1146.7
1999-01-28,1134.67
1999-02-25,1090.09
1999-03-30,1158.05
1999-04-29,1120.93
1999-05-30,1279.33
1999-06-29,1689.43
1999-07-29,1601.46
1999-08-30,1627.12
1999-09-29,1570.7
1999-10-28,1504.56
1999-11-29,1434.97
1999-12-30,1366.58
2000-01-30,1535
2000-02-28,1714.58
2000-03-30,1800.22
2000-04-27,1836.32
2000-05-30,1894.55
2000-06-29,1928.11
2000-07-30,2023.54
2000-08-30,2021.2
2000-09-28,1910.16
2000-10-30,1961.29
2000-11-29,2070.61
2000-12-28,2073.48
2001-01-30,2065.61
2001-02-27,1959.18
2001-03-29,2112.77
2001-04-29,2119.18
2001-05-30,2214.26
2001-06-28,2218.03
2001-07-30,1920.32
2001-08-30,1834.14
2001-09-27,1764.87
2001-10-30,1689.17
2001-11-29,1747.99
2001-12-30,1645.97
2002-01-30,1491.67
2002-02-27,1524.7
2002-03-28,1603.91
2002-04-29,1667.75
2002-05-30,1515.73
2002-06-27,1732.76
2002-07-30,1651.59
2002-08-29,1666.62
2002-09-29,1581.62
2002-10-30,1507.5
2002-11-28,1434.18
2002-12-30,1357.65
2003-01-30,1499.81
2003-02-27,1511.93
2003-03-30,1510.58
2003-04-29,1521.44
2003-05-29,1576.26
2003-06-29,1486.02
2003-07-30,1476.74
2003-08-28,1421.98
2003-09-29,1367.16
2003-10-30,1348.3
2003-11-27,1397.22
2003-12-30,1497.04
2004-01-29,1590.73
2004-02-26,1675.07
2004-03-30,1741.62
2004-04-29,1595.59
2004-05-30,1555.91
2004-06-29,1399.16
2004-07-29,1386.2
2004-08-30,1342.06
2004-09-29,1396.7
2004-10-28,1320.54
2004-11-29,1340.77
2004-12-30,1266.5
2005-01-30,1191.82
2005-02-27,1306
2005-03-30,1181.24
2005-04-28,1159.15
2005-05-30,1060.74
2005-06-29,1080.94
2005-07-28,1083.03
2005-08-30,1162.8
2005-09-29,1155.61
2005-10-30,1092.82
2005-11-29,1099.26
2005-12-29,1161.06
2006-01-30,1258.05
2006-02-27,1299.03
2006-03-30,1298.3
2006-04-27,1440.22
2006-05-30,1641.3
2006-06-29,1672.21
2006-07-30,1612.73
2006-08-30,1658.64
2006-09-28,1752.42
2006-10-30,1837.99
2006-11-29,2099.29
2006-12-28,2675.47
2007-01-30,2786.33
2007-02-27,2881.07
2007-03-29,3183.98
2007-04-29,3841.27
2007-05-30,4109.65
2007-06-28,3820.7
2007-07-30,4471.03
2007-08-30,5218.83
2007-09-27,5552.3
2007-10-30,5954.77
2007-11-29,4871.78
2007-12-30,5261.56
2008-01-30,4383.39
2008-02-28,4348.54
2008-03-30,3472.71
2008-04-29,3693.11
2008-05-29,3433.35
2008-06-29,2736.1
2008-07-30,2775.72
2008-08-28,2397.37
2008-09-29,2293.78
2008-10-30,1728.79
2008-11-27,1871.16
2008-12-30,1820.81
2009-01-29,1990.66
2009-02-26,2082.85
2009-03-30,2373.21
2009-04-29,2477.57
2009-05-28,2632.93
2009-06-29,2959.36
2009-07-30,3412.06
