date,value
1990-12-30,116.99
1991-12-30,162.54
1992-12-30,668.78
1993-12-30,1013.43
1994-12-30,677.08
1995-12-30,656.12
1996-12-30,756.55
1997-12-30,1167.6
1998-12-30,1258.82
1999-12-30,1365.12
2000-12-30,1866.33
2001-12-30,1960.26
2002-12-30,1568.07
2003-12-30,1467.7
2004-12-30,1487
2005-12-30,1157.24
2006-12-30,1615.02
2007-12-30,4241.91
2008-12-30,3017.12
2009-12-30,2747.33
2010-12-30,2827.52
2011-12-30,2670.11
2012-12-30,2219.14
2013-12-30,2191.7
2014-12-30,2238.22
2015-12-30,3739.79
2016-12-30,3005.24
2017-12-30,3249.69
2018-12-30,3185.96
2019-12-30,2931.27
2020-12-30,3128.94
2021-12-30,3538.48
2022-12-30,3223.68
2023-12-30,3175.12
2024-12-30,3060.26
2025-12-30,3302.42
