date,value
1927-12-30,17.66
1928-12-30,19.94
1929-12-30,26.19
1930-12-30,21
1931-12-30,13.66
1932-12-30,6.92
1933-12-30,9.04
1934-12-30,9.83
1935-12-30,10.58
1936-12-30,15.45
1937-12-30,15.41
1938-12-30,11.48
1939-12-30,12.05
1940-12-30,11.01
1941-12-30,9.83
1942-12-30,8.67
1943-12-30,11.52
1944-12-30,12.47
1945-12-30,15.14
1946-12-30,17.07
1947-12-30,15.15
1948-12-30,15.51
1949-12-30,15.24
1950-12-30,18.39
1951-12-30,22.32
1952-12-30,24.45
1953-12-30,24.72
1954-12-30,29.72
1955-12-30,40.5
1956-12-30,46.64
1957-12-30,44.42
1958-12-30,46.2
1959-12-30,57.42
1960-12-30,55.85
1961-12-30,66.27
1962-12-30,62.32
1963-12-30,69.86
1964-12-30,81.37
1965-12-30,88.16
-94780800000,85.18
-63244800000,91.96
0967-12-04,98.38
1967-04-06,97.77
2966-08-06,83.15
3965-12-07,98.32
4968-01-03,109.13
1973-12-30,107.44
1974-12-30,82.78
1975-12-30,86.18
1976-12-30,102.04
1977-12-30,98.18
1978-12-30,96.11
1979-12-30,103
1980-12-30,118.71
1981-12-30,128.04
1982-12-30,119.71
1983-12-30,160.47
1984-12-30,160.46
1985-12-30,186.83
1986-12-30,236.39
1987-12-30,287
1988-12-30,265.88
1989-12-30,323.05
1990-12-30,334.63
1991-12-30,376.19
1992-12-30,415.75
1993-12-30,451.61
1994-12-30,460.42
1995-12-30,541.72
1996-12-30,670.49
1997-12-30,873.43
1998-12-30,1085.5
1999-12-30,1327.33
2000-12-30,1427.22
2001-12-30,1192.57
2002-12-30,993.93
2003-12-30,965.23
2004-12-30,1130.65
2005-12-30,1207.23
2006-12-30,1310.46
2007-12-30,1477.18
2008-12-30,1220.04
2009-12-30,948.05
2010-12-30,1139.97
2011-12-30,1267.64
2012-12-30,1379.61
2013-12-30,1643.8
2014-12-30,1931.38
2015-12-30,2061.07
2016-12-30,2094.65
2017-12-30,2449.08
2018-12-30,2746.21
2019-12-30,2913.36
2020-12-30,3217.86
2021-12-30,4273.41
2022-12-30,4097.49
2023-12-30,4283.73
2024-12-30,5428.24
2025-12-30,6189.95
