0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Ford,Nixon,Johnson,Kennedy,Eisenhower,Truman,Roosevelt,Hoover
,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,-1.4,1,2.6,3.7,-11.0,-9.2,1.0,-2.9,1.3,-2.2,-11.9,-4.7,2.4,2.7,-1.8,1.1,42.2,1.6
,-7.1,2,7.0,3.7,-3.4,-15.1,2.9,-0.9,5.0,-3.5,2.4,-1.5,5.2,5.3,-4.1,0.8,64.8,-2.7
,-7.8,3,12.6,4.6,5.7,-8.5,0.3,4.1,2.5,-3.5,-3.0,0.7,6.2,5.7,-6.7,-1.2,86.5,7.4
,-2.1,4,13.2,5.8,11.3,-8.1,2.6,7.7,2.3,-5.8,-5.0,0.4,7.9,7.7,-7.0,4.5,70.1,13.1
,2.7,5,15.7,6.3,11.3,-10.4,2.7,6.9,1.3,-1.5,6.7,-5.1,8.5,4.6,-8.5,8.9,89.6,24.2
,4.9,6,18.3,8.4,19.6,-11.3,2.1,16.3,1.1,-3.1,13.1,-10.9,9.8,8.1,-6.2,12.2,68.0,18.1
,6.9,7,21.8,8.5,23.6,-17.0,5.6,18.1,-5.2,-5.2,15.5,-7.3,11.6,10.2,-11.6,15.8,53.2,-5.4
,10.7,8,16.0,10.6,28.0,-23.8,4.6,17.4,-10.3,-5.4,21.0,-9.6,13.6,8.0,-11.5,17.0,68.9,-18.1
,13.2,9,24.0,13.0,25.5,-22.4,6.6,14.4,-5.9,-9.5,26.3,-5.7,11.7,11.1,-7.0,25.1,72.6,-16.0
,13.4,10,23.0,16.2,32.7,-16.6,5.2,16.3,-2.5,-7.1,31.9,-8.9,15.0,15.4,-6.1,16.4,90.9,-10.7
,12.8,11,28.3,17.3,35.0,-16.0,6.3,18.8,-5.4,-6.8,23.0,-10.6,15.9,15.8,-6.0,21.8,83.9,-8.8
,,12,21.6,23.9,30.0,-17.3,9.8,10.6,-7.1,-12.5,20.4,-17.5,15.3,11.4,-1.1,26.4,83.8,-5.4
,,13,17.8,19.1,33.7,-19.0,6.5,11.6,-12.7,-14.7,16.2,-13.1,15.7,13.2,-0.9,29.2,78.8,-2.5
,,14,22.0,15.9,41.6,-16.0,1.6,14.3,-13.6,-12.6,23.4,-13.0,19.6,12.6,2.1,24.2,64.3,-4.1
,,15,11.2,16.2,43.7,-21.2,2.8,11.2,-10.1,-5.1,26.5,-20.9,19.4,5.6,7.1,21.0,67.7,-19.9
,,16,11.3,18.7,31.9,-21.9,4.0,21.4,-13.6,-4.7,25.0,-25.7,17.7,-3.5,10.7,12.2,48.4,-16.9
,,17,1.9,19.3,24.8,-27.5,1.3,20.4,-15.4,-6.4,39.8,-29.4,21.7,-11.4,10.7,0.8,56.4,-16.3
,,18,11.2,23.6,33.4,-33.3,4.4,19.7,-17.3,-1.3,38.2,-24.2,20.7,-5.7,17.1,0.0,55.6,-27.2
,,19,6.5,27.3,27.1,-32.9,8.4,8.4,-7.7,1.2,42.4,-20.9,14.9,-4.3,13.1,-1.1,50.6,-33.6
,,20,-3.5,27.9,38.2,-40.3,5.5,2.9,-7.0,0.5,40.9,-18.2,16.4,-8.9,22.5,3.1,63.1,-35.1
,,21,4.2,19.0,43.3,-35.2,7.7,2.2,3.2,-8.7,38.8,-19.2,19.0,-8.5,20.1,5.5,62.4,-39.9
,,22,9.9,21.1,42.9,-31.5,3.4,8.3,6.9,-7.2,44.5,-15.3,22.8,0.8,29.8,4.0,55.6,-37.0
,,23,3.4,10.0,52.3,-35.6,4.7,11.0,8.6,-5.8,43.4,-10.5,26.2,2.1,36.4,2.2,49.4,-29.8
,,24,9.8,18.7,55.7,-37.4,7.2,15.6,12.2,-2.1,42.6,-6.9,25.1,7.2,38.9,-1.8,44.8,-34.6
,,25,6.9,22.2,60.7,-38.4,11.1,23.4,14.3,-5.6,45.9,-6.1,26.2,4.1,39.3,-2.6,58.6,-40.9
,,26,10.6,24.4,60.5,-37.9,14.1,26.1,18.1,-0.4,42.6,-2.6,26.8,7.8,38.7,2.5,63.8,-49.0
,,27,12.3,29.3,65.1,-32.9,17.3,26.2,26.9,-0.3,41.5,0.9,24.6,13.0,43.9,6.2,74.9,-41.9
,,28,12.5,20.8,62.9,-29.5,21.6,31.0,25.3,-2.9,48.9,-3.3,21.8,14.6,43.7,3.2,89.4,-46.2
,,29,19.8,29.1,59.9,-28.7,24.2,24.8,29.4,0.9,41.4,-4.2,24.3,12.3,55.5,1.8,93.5,-45.7
,,30,23.6,30.8,56.5,-27.5,28.1,30.4,25.5,1.7,,-7.2,17.6,11.9,65.0,4.0,98.1,-62.0
,,31,21.4,28.4,47.6,-26.2,28.1,32.9,26.9,7.1,,-3.9,15.7,17.4,63.7,1.0,113.0,-58.8
,,32,15.4,30.6,37.0,-27.1,33.2,30.4,28.2,7.1,,-4.5,14.2,16.1,65.5,3.1,121.4,-62.8
,,33,12.9,33.3,51.8,-23.1,32.5,31.9,26.2,-0.2,,-8.5,5.3,19.8,60.5,-1.0,129.6,-68.2
,,34,23.0,37.8,51.0,-22.5,38.0,26.1,28.4,4.0,,-8.8,4.5,18.5,72.5,-5.7,144.6,-69.1
,,35,28.4,41.8,52.3,-18.6,40.4,40.2,27.3,5.8,,-0.9,9.5,,72.4,1.6,148.7,-67.5
,,36,30.5,41.5,58.9,-17.2,45.0,37.4,26.1,11.9,,0.9,9.9,,66.1,4.3,155.0,-71.4
,,37,37.2,29.6,65.4,-16.2,46.0,38.7,21.2,11.4,,3.5,9.7,,71.9,12.5,135.4,-77.2
,,38,41.5,13.4,70.5,-17.6,47.1,35.7,22.9,0.1,,4.1,18.3,,83.8,12.8,146.2,-82.5
,,39,35.6,27.8,69.3,-18.9,49.1,39.5,23.5,4.2,,4.5,18.5,,83.4,6.8,153.7,-82.6
,,40,42.1,33.6,58.7,-18.0,52.5,39.6,16.2,9.0,,6.3,23.2,,71.3,7.6,170.9,-76.1
,,41,47.0,36.0,64.9,-16.5,52.8,37.2,18.2,12.0,,4.0,28.4,,78.1,4.4,173.3,-67.1
,,42,48.7,43.5,67.0,-19.3,45.8,42.6,16.3,19.2,,4.3,21.6,,87.2,11.5,173.7,-68.4
,,43,52.1,53.6,70.3,-19.2,48.6,39.2,28.7,19.9,,7.8,23.8,,80.1,-0.6,194.2,-72.7
,,44,55.1,47.6,74.4,-18.4,56.6,40.5,28.2,23.0,,7.3,29.4,,71.9,2.4,195.4,-74.3
,,45,53.6,43.5,71.0,-17.3,60.7,40.7,28.2,24.9,,8.3,27.9,,72.8,2.6,193.7,-73.0
,,46,62.4,58.9,71.5,-14.1,72.5,45.0,26.3,37.7,,13.3,32.1,,70.9,-1.5,204.8,-72.8
,,47,58.4,64.8,72.7,-11.3,68.8,46.5,29.1,33.1,,14.6,27.4,,76.9,1.5,209.2,-77.8
,,48,62.6,63.0,81.4,-13.5,79.2,47.5,38.7,27.0,,12.6,28.4,,69.5,-0.7,206.3,-77.1
,,49,,,83.4,-11.9,80.2,,39.9,,,8.4,31.7,,64.0,-4.4,180.9,
,,50,,,90.0,-13.6,72.6,,39.5,,,8.3,26.0,,67.2,-4.6,177.9,
,,51,,,93.4,-15.3,82.6,,38.8,,,3.8,22.0,,73.4,1.3,163.2,
,,52,,,97.5,-12.8,93.3,,46.3,,,1.9,23.2,,79.8,2.6,190.3,
,,53,,,94.5,-12.8,101.7,,48.1,,,1.2,33.1,,79.6,5.0,174.2,
,,54,,,104.1,-9.7,117.5,,47.4,,,5.1,34.8,,81.6,8.1,135.2,
,,55,,,97.7,-10.7,105.0,,45.6,,,1.2,36.0,,71.4,8.2,111.3,
,,56,,,103.6,-10.0,115.9,,40.5,,,5.3,33.5,,60.8,12.9,89.9,
,,57,,,112.7,-11.6,108.4,,46.5,,,5.1,35.0,,55.6,14.9,80.3,
,,58,,,118.7,-8.5,117.7,,56.1,,,-6.8,40.2,,58.2,16.0,82.7,
,,59,,,123.8,-8.6,121.2,,63.1,,,-5.3,41.2,,51.6,16.5,93.8,
,,60,,,115.8,-6.3,123.4,,63.5,,,-6.3,48.0,,58.1,21.8,45.3,
,,61,,,125.1,-6.2,139.1,,75.2,,,-6.6,41.8,,54.8,26.5,65.8,
,,62,,,126.7,-5.2,151.1,,84.4,,,-8.8,40.7,,59.6,19.2,58.5,
,,63,,,128.1,-4.1,153.4,,81.8,,,-12.3,,,64.7,20.2,97.6,
,,64,,,132.9,-7.0,148.6,,90.9,,,-15.3,,,67.1,24.1,112.0,
,,65,,,137.4,-7.0,158.4,,93.6,,,-16.5,,,71.5,31.1,106.2,
,,66,,,133.8,-6.5,155.4,,82.3,,,-23.0,,,78.9,31.6,109.2,
,,67,,,142.6,-4.6,118.2,,95.2,,,-30.0,,,81.0,31.5,125.1,
,,68,,,138.8,-2.2,131.8,,78.6,,,,,,89.8,37.5,117.6,
,,69,,,144.4,0.9,150.4,,88.3,,,,,,94.6,46.0,125.8,
,,70,,,150.3,2.5,165.2,,92.4,,,,,,98.9,46.9,110.3,
,,71,,,149.3,3.8,180.1,,86.9,,,,,,109.3,44.2,117.1,
,,72,,,141.6,5.3,191.6,,111.6,,,,,,110.2,51.1,87.7,
,,73,,,154.8,3.0,182.2,,119.4,,,,,,110.0,45.0,86.7,
,,74,,,150.4,4.0,193.2,,125.2,,,,,,110.2,41.2,98.3,
,,75,,,152.5,8.5,204.3,,122.6,,,,,,118.3,50.9,85.6,
,,76,,,155.2,12.1,196.7,,123.9,,,,,,122.4,56.9,105.8,
,,77,,,149.8,10.1,212.8,,134.7,,,,,,121.6,56.7,91.1,
,,78,,,154.7,6.5,202.8,,146.0,,,,,,129.4,54.6,122.6,
,,79,,,138.8,7.9,200.9,,154.6,,,,,,125.9,54.2,119.3,
,,80,,,132.5,11.8,192.3,,148.4,,,,,,115.6,60.2,108.5,
,,81,,,151.8,13.4,210.6,,94.4,,,,,,118.0,62.7,113.5,
,,82,,,151.9,8.4,216.5,,77.8,,,,,,120.9,56.7,106.0,
,,83,,,147.5,7.5,234.8,,90.7,,,,,,127.0,64.2,107.4,
,,84,,,134.9,0.9,217.8,,98.4,,,,,,110.8,57.1,109.4,
,,85,,,134.0,-2.6,211.4,,106.7,,,,,,112.7,60.8,108.4,
,,86,,,149.4,-3.2,241.5,,99.8,,,,,,109.8,68.2,58.5,
,,87,,,150.1,1.4,231.0,,101.7,,,,,,106.1,71.2,70.6,
,,88,,,153.9,2.5,223.8,,102.4,,,,,,111.6,68.7,75.9,
,,89,,,154.1,-6.3,231.5,,111.1,,,,,,115.8,65.4,80.5,
,,90,,,163.2,-7.2,226.1,,110.0,,,,,,110.4,65.2,82.2,
,,91,,,162.9,-6.1,245.9,,101.9,,,,,,115.9,72.9,89.4,
,,92,,,162.5,-14.6,227.4,,109.9,,,,,,102.9,79.0,81.4,
,,93,,,157.4,-29.1,225.8,,115.3,,,,,,102.4,77.8,80.9,
,,94,,,166.2,-34.4,199.7,,111.3,,,,,,110.5,,72.1,
,,95,,,171.1,-33.9,200.9,,114.4,,,,,,120.3,,69.6,
,,96,,,175.9,-39.5,211.3,,129.6,,,,,,134.2,,70.3,
,,97,,,,,,,,,,,,,,,59.1,
,,98,,,,,,,,,,,,,,,59.8,
,,99,,,,,,,,,,,,,,,68.4,
,,100,,,,,,,,,,,,,,,77.6,
,,101,,,,,,,,,,,,,,,76.1,
,,102,,,,,,,,,,,,,,,74.4,
,,103,,,,,,,,,,,,,,,62.4,
,,104,,,,,,,,,,,,,,,55.6,
,,105,,,,,,,,,,,,,,,48.5,
,,106,,,,,,,,,,,,,,,50.6,
,,107,,,,,,,,,,,,,,,46.8,
,,108,,,,,,,,,,,,,,,36.9,
,,109,,,,,,,,,,,,,,,30.9,
,,110,,,,,,,,,,,,,,,39.3,
,,111,,,,,,,,,,,,,,,41.9,
,,112,,,,,,,,,,,,,,,46.3,
,,113,,,,,,,,,,,,,,,47.4,
,,114,,,,,,,,,,,,,,,51.3,
,,115,,,,,,,,,,,,,,,61.0,
,,116,,,,,,,,,,,,,,,58.8,
,,117,,,,,,,,,,,,,,,67.0,
,,118,,,,,,,,,,,,,,,79.0,
,,119,,,,,,,,,,,,,,,88.0,
,,120,,,,,,,,,,,,,,,97.9,
,,121,,,,,,,,,,,,,,,98.1,
,,122,,,,,,,,,,,,,,,107.0,
,,123,,,,,,,,,,,,,,,111.1,
,,124,,,,,,,,,,,,,,,99.7,
,,125,,,,,,,,,,,,,,,101.7,
,,126,,,,,,,,,,,,,,,106.5,
,,127,,,,,,,,,,,,,,,103.8,
,,128,,,,,,,,,,,,,,,88.4,
,,129,,,,,,,,,,,,,,,99.5,
,,130,,,,,,,,,,,,,,,102.6,
,,131,,,,,,,,,,,,,,,102.1,
,,132,,,,,,,,,,,,,,,105.5,
,,133,,,,,,,,,,,,,,,102.9,
,,134,,,,,,,,,,,,,,,111.1,
,,135,,,,,,,,,,,,,,,121.9,
,,136,,,,,,,,,,,,,,,117.3,
,,137,,,,,,,,,,,,,,,119.1,
,,138,,,,,,,,,,,,,,,118.5,
,,139,,,,,,,,,,,,,,,118.5,
,,140,,,,,,,,,,,,,,,119.3,
,,141,,,,,,,,,,,,,,,127.0,
,,142,,,,,,,,,,,,,,,130.3,
,,143,,,,,,,,,,,,,,,144.4,
,,144,,,,,,,,,,,,,,,133.2,
,,145,,,,,,,,,,,,,,,153.7,
