0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Ford,Nixon,Johnson,Kennedy,Eisenhower,Truman,Roosevelt,Hoover,Coolidge,Harding
,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,-1.6,1,3.2,4.8,-11.7,-3.6,1.8,-3.6,2.9,-1.9,-10.4,-4.3,1.7,2.1,-1.9,1.7,40.2,3.4,-5.9,3.7
,-5.7,2,10.0,4.0,-4.9,-9.3,3.8,-2.1,6.0,-3.7,-1.9,-1.1,4.6,4.4,-3.4,-0.1,59.0,-3.7,-5.3,-3.1
,-8.7,3,13.0,5.4,2.1,-1.4,3.6,3.3,5.3,-2.9,-8.8,0.4,6.6,4.7,-5.2,-1.5,77.1,8.1,-1.2,-9.6
,-5.1,4,15.2,5.8,6.2,0.2,6.6,5.9,4.7,-5.8,-9.2,-0.9,8.4,7.5,-6.0,5.3,63.8,12.6,2.2,-9.8
,-1.0,5,15.1,7.5,5.6,-3.5,6.2,4.2,3.1,-4.0,3.7,-7.7,8.0,5.5,-7.4,9.8,84.9,23.1,7.7,-11.4
,-0.9,6,16.5,10.2,14.6,-3.3,6.9,13.6,0.5,-6.7,8.9,-13.8,9.3,8.8,-5.0,12.8,71.2,11.2,4.5,-6.2
,2.2,7,17.9,10.5,18.7,-8.6,10.3,16.9,-6.9,-9.7,13.2,-11.6,10.8,11.1,-9.9,15.7,59.1,-11.4,-1.3,-3.4
,4.2,8,12.9,12.8,21.4,-18.7,7.4,15.0,-10.3,-11.2,21.0,-14.1,12.1,8.2,-8.9,16.6,77.1,-22.6,-3.0,2.0
,6.8,9,19.5,17.7,21.4,-16.6,11.2,12.9,-10.0,-14.3,22.7,-9.5,11.7,8.6,-4.8,23.7,80.3,-19.5,-3.8,6.7
,7.1,10,15.0,22.2,29.3,-9.5,11.3,15.5,-6.2,-13.1,29.5,-14.1,16.6,11.3,-2.9,14.9,93.5,-13.5,3.1,7.3
,8.7,11,21.2,24.4,30.3,-8.0,13.4,17.5,-7.6,-12.9,22.5,-15.4,16.3,12.8,-3.1,20.7,86.8,-12.2,9.3,12.8
,,12,17.2,31.6,25.8,-8.9,20.2,10.6,-8.0,-19.3,23.1,-21.4,16.6,8.0,0.9,25.0,83.8,-7.4,11.4,17.5
,,13,13.0,26.0,29.1,-7.2,15.8,12.2,-13.0,-22.2,17.0,-17.8,16.5,9.2,1.6,28.3,81.4,-9.6,10.4,21.3
,,14,15.7,21.3,35.7,-4.4,9.8,15.6,-13.1,-20.6,23.2,-17.0,20.3,9.1,4.7,24.3,69.7,-10.9,11.3,26.8
,,15,10.0,21.6,37.6,-8.6,11.2,13.4,-10.4,-12.3,26.8,-22.2,20.4,2.6,10.2,21.8,72.8,-26.7,18.9,22.7
,,16,10.0,22.9,26.7,-8.8,13.5,22.8,-13.5,-11.9,25.6,-26.0,18.5,-5.4,13.0,14.4,58.9,-24.2,28.9,28.1
,,17,2.6,22.2,22.2,-15.1,9.5,23.0,-14.3,-14.2,43.7,-27.7,22.9,-13.4,15.1,4.2,67.6,-22.2,32.1,33.0
