0,May-82 to Present,counter,Dec-48 to May-82,Jul-21 to Dec-48
,0.0,0,0.0,0.0
,-0.9,1,1.0,-1.8
,-1.3,2,-2.4,4.0
,10.0,3,-0.1,7.1
,9.4,4,-1.8,13.1
,21.0,5,-5.0,18.2
,26.8,6,-5.6,18.9
,27.7,7,-0.8,25.0
,31.3,8,0.8,30.2
,35.8,9,2.9,34.5
,37.9,10,6.9,40.5
,49.6,11,8.0,35.9
,46.4,12,12.9,41.9
,49.1,13,13.8,47.4
,46.3,14,14.7,42.1
,48.4,15,16.2,40.6
,50.5,16,20.9,38.4
,49.5,17,26.0,43.6
,55.7,18,17.9,42.5
,53.6,19,18.1,52.0
,48.9,20,22.3,50.3
,40.9,21,27.7,43.9
,42.1,22,26.9,42.7
,42.9,23,28.4,29.3
,34.8,24,32.8,27.1
,38.2,25,40.3,36.7
,36.1,26,42.2,28.7
,49.4,27,39.8,29.5
,47.2,28,46.2,35.1
,47.3,29,40.8,39.7
,45.1,30,36.9,47.2
,47.8,31,45.4,42.9
,57.0,32,52.4,35.0
,56.7,33,52.9,32.6
,54.6,34,48.0,31.5
,53.5,35,47.4,41.0
,60.5,36,51.8,49.4
,63.0,37,52.7,52.3
,64.4,38,46.7,50.9
,62.8,39,52.0,52.2
,62.1,40,45.3,62.5
,67.7,41,48.3,76.3
,79.6,42,54.7,80.6
,88.7,43,57.7,78.8
,91.7,44,55.1,70.8
,108.5,45,52.6,75.5
,121.9,46,51.8,90.1
,117.7,47,60.0,91.6
,129.0,48,64.6,95.7
,130.9,49,63.4,106.5
,116.6,50,60.3,109.8
,131.6,51,57.9,127.7
,115.7,52,55.0,121.0
,129.1,53,53.6,121.0
,133.6,54,51.3,130.1
,131.3,55,55.3,126.2
,163.3,56,47.3,105.4
,171.4,57,48.9,110.2
,181.2,58,55.6,109.8
,179.0,59,58.7,123.8
,179.6,60,58.4,134.3
,195.1,61,64.9,137.7
,213.8,62,66.1,131.4
,224.9,63,71.2,120.5
,216.8,64,80.1,129.0
,143.2,65,84.7,129.9
,123.7,66,88.1,128.8
,136.6,67,96.2,136.9
,138.9,68,89.4,134.1
,152.8,69,103.3,140.8
,142.6,70,98.6,153.0
,148.0,71,118.1,143.1
,147.8,72,128.1,165.3
,161.3,73,130.6,177.6
,159.7,74,132.3,189.0
,147.9,75,131.1,165.8
,157.8,76,140.1,189.9
,162.2,77,139.6,193.5
,158.0,78,154.6,190.5
,164.6,79,162.7,184.9
,185.8,80,164.1,213.7
,175.6,81,163.2,209.5
,179.9,82,156.6,221.5
,195.1,83,172.6,207.7
,202.6,84,175.5,215.9
,197.7,85,165.5,251.6
,224.7,86,172.8,247.2
,234.0,87,188.7,268.8
,228.6,88,191.1,329.1
,222.8,89,169.6,338.8
,230.2,90,177.9,364.4
,235.9,91,192.1,364.3
,216.1,92,183.2,351.7
,220.6,93,168.0,367.0
,230.3,94,170.6,335.0
,224.2,95,166.7,388.2
,251.0,96,181.7,408.6
,251.5,97,170.3,456.3
,254.5,98,162.1,402.3
,219.0,99,167.8,300.0
,199.3,100,178.8,249.5
,198.0,101,184.8,263.4
,212.3,102,183.9,290.7
,221.4,103,186.8,296.5
,233.9,104,173.2,318.5
,251.7,105,157.4,308.4
,255.5,106,148.8,302.3
,252.4,107,153.7,231.1
,269.4,108,145.7,242.2
,254.7,109,153.8,251.6
