date,close,close1
2006-01-03,100.76,520.75
2006-01-04,100.23,534.35
2006-01-05,100.30,531.60
2006-01-06,100.02,529.50
2006-01-09,100.18,541.00
2006-01-10,100.14,545.25
2006-01-11,99.87,542.25
2006-01-12,100.06,547.50
2006-01-13,99.97,547.25
2006-01-16,99.97,559.40
2006-01-17,100.24,558.05
2006-01-18,100.41,544.75
2006-01-19,100.18,547.70
2006-01-20,99.90,559.25
2006-01-23,99.38,558.50
2006-01-24,99.34,556.65
2006-01-25,99.35,562.25
2006-01-26,99.48,562.25
2006-01-27,99.65,559.75
2006-01-30,99.72,560.30
2006-01-31,99.43,569.80
2006-02-01,99.62,567.20
2006-02-02,99.80,571.85
2006-02-03,100.12,571.85
2006-02-06,100.14,570.00
2006-02-07,100.18,568.25
2006-02-08,100.49,548.65
2006-02-09,100.22,559.00
2006-02-10,100.32,558.75
2006-02-13,100.40,546.60
2006-02-14,100.40,540.50
2006-02-15,100.45,544.30
2006-02-16,100.52,540.65
2006-02-17,100.34,545.75
2006-02-20,100.35,556.00
2006-02-21,100.24,553.40
2006-02-22,100.39,551.75
2006-02-23,100.20,552.50
2006-02-24,100.26,550.75
2006-02-27,100.08,556.10
2006-02-28,99.77,556.50
2006-03-01,99.84,562.60
2006-03-02,99.60,563.75
2006-03-03,99.71,568.60
2006-03-06,99.99,568.00
2006-03-07,100.57,555.25
2006-03-08,100.86,548.60
2006-03-09,100.77,547.25
2006-03-10,100.96,545.40
2006-03-13,100.86,545.25
2006-03-14,100.32,545.25
2006-03-15,100.22,551.25
2006-03-16,99.91,553.25
2006-03-17,99.86,555.50
2006-03-20,100.05,554.25
2006-03-21,100.47,553.00
2006-03-22,100.50,548.50
2006-03-23,100.83,548.00
2006-03-24,100.78,549.75
2006-03-27,100.84,564.00
2006-03-28,100.80,563.75
2006-03-29,101.05,562.25
2006-03-30,100.57,578.50
2006-03-31,100.56,584.00
2006-04-03,100.62,585.50
2006-04-04,100.14,585.00
2006-04-05,100.08,583.85
2006-04-06,100.16,595.50
2006-04-07,100.42,597.00
2006-04-10,100.41,597.50
2006-04-11,100.30,599.50
2006-04-12,100.37,596.75
2006-04-13,100.48,597.00
2006-04-18,99.68,616.75
2006-04-19,99.35,623.75
2006-04-20,99.50,644.50
2006-04-21,99.44,623.50
2006-04-24,99.12,634.00
2006-04-25,98.97,627.75
2006-04-26,98.90,630.75
2006-04-27,98.52,636.50
2006-04-28,98.15,638.25
2006-05-02,97.67,657.75
2006-05-03,97.57,675.25
2006-05-04,97.50,664.65
2006-05-05,97.27,682.00
2006-05-08,97.20,682.00
2006-05-09,96.97,679.75
2006-05-10,96.65,704.30
2006-05-11,96.55,707.00
2006-05-12,96.89,725.75
2006-05-15,97.36,693.00
2006-05-16,97.20,681.00
2006-05-17,97.48,713.00
2006-05-18,97.71,688.00
2006-05-19,97.94,682.00
2006-05-22,97.94,645.50
2006-05-23,97.71,661.70
2006-05-24,98.40,667.50
2006-05-25,97.85,643.75
2006-05-26,97.91,652.00
2006-05-30,97.60,652.25
2006-05-31,97.78,654.00
2006-06-01,97.78,633.25
2006-06-02,97.56,630.80
