date,value
1967-04-06,184.99
2966-08-06,147.1
3965-12-07,109.98
4968-01-03,124.63
1973-12-30,156.94
1974-12-30,201.09
1975-12-30,153.86
1976-12-30,155.35
1977-12-30,159.62
1978-12-30,261.91
1979-12-30,440.14
1980-12-30,687.77
1981-12-30,450.07
1982-12-30,328.92
1983-12-30,428.14
1984-12-30,362.29
1985-12-30,293.16
1986-12-30,465.29
1987-12-30,556.63
1988-12-30,530.29
1989-12-30,509.68
1990-12-30,471.29
1991-12-30,376.11
1992-12-30,360.02
1993-12-30,374.54
1994-12-30,405.6
1995-12-30,424.59
1996-12-30,397.26
1997-12-30,395.19
1998-12-30,371.82
1999-12-30,377.2
2000-12-30,544.42
2001-12-30,528.26
2002-12-30,539.99
2003-12-30,692.03
2004-12-30,845.83
2005-12-30,896.92
2006-12-30,1142.4
2007-12-30,1305.01
2008-12-30,1573.92
2009-12-30,1204.28
2010-12-30,1611.51
2011-12-30,1719.03
2012-12-30,1550.89
2013-12-30,1484.73
2014-12-30,1383.62
2015-12-30,1050.61
2016-12-30,988.9
2017-12-30,950.49
2018-12-30,882.18
2019-12-30,868.04
2020-12-30,893.39
2021-12-30,1088.51
2022-12-30,958.06
2023-12-30,965.28
2024-12-30,950.02
2025-12-30,1250.27
