date,value
1947-12-30,27.78
1948-12-30,24.15
1949-12-30,0
1950-12-30,0
1951-12-30,0
1952-12-30,0
1953-12-30,9.73
1954-12-30,0
1955-12-30,0
1956-12-30,0
1957-12-30,6.38
1958-12-30,0
1959-12-30,-1
1960-12-30,0
1961-12-30,0
1962-12-30,0
1963-12-30,0
1964-12-30,-1.68
1965-12-30,0
-94780800000,1.71
-63244800000,3.37
0967-12-04,0
1967-04-06,9.12
2966-08-06,6.27
3965-12-07,0
4968-01-03,0
1973-12-30,21.07
1974-12-30,158.93
1975-12-30,0
1976-12-30,24.55
1977-12-30,6.83
1978-12-30,0
1979-12-30,118.86
1980-12-30,13.85
1981-12-30,-5.41
1982-12-30,-9.37
1983-12-30,-6.68
1984-12-30,-10.78
1985-12-30,-0.42
1986-12-30,-31.83
1987-12-30,-6.64
1988-12-30,2.27
1989-12-30,27.57
1990-12-30,30.4
1991-12-30,-32.76
1992-12-30,1.78
1993-12-30,-27.19
1994-12-30,25.23
1995-12-30,9.96
1996-12-30,32.55
1997-12-30,-31.85
1998-12-30,-31.22
1999-12-30,112.19
2000-12-30,3.73
2001-12-30,-25.3
2002-12-30,56.36
2003-12-30,4.17
2004-12-30,33.37
2005-12-30,40.82
2006-12-30,-0.34
2007-12-30,57.68
2008-12-30,-53.52
2009-12-30,78
2010-12-30,15.1
2011-12-30,8.15
2012-12-30,-7.08
2013-12-30,6.9
2014-12-30,-45.55
2015-12-30,-30.53
2016-12-30,44.76
2017-12-30,12.48
2018-12-30,-25.32
2019-12-30,35.42
2020-12-30,-20.92
2021-12-30,55.8
2022-12-30,6.41
2023-12-30,-10.32
2024-12-30,-0.24
2025-12-30,-17.68
