date,value
1997-01-30,2.77
1997-02-27,1.78
1997-03-30,1.84
1997-04-29,2.16
1997-05-29,2.23
1997-06-29,2.17
1997-07-30,2.23
1997-08-28,2.69
1997-09-29,2.96
1997-10-30,3.22
1997-11-25,2.5
1997-12-30,2.27
1998-01-29,2.09
1998-02-26,2.23
1998-03-30,2.34
1998-04-29,2.18
1998-05-28,2.1
1998-06-29,2.39
1998-07-30,1.85
1998-08-30,1.61
1998-09-29,2.22
1998-10-29,2
1998-11-29,1.63
1998-12-30,1.95
1999-01-28,1.83
1999-02-25,1.63
1999-03-30,2.02
1999-04-29,2.25
1999-05-27,2.29
1999-06-29,2.34
1999-07-29,2.55
1999-08-30,2.84
1999-09-29,2.31
1999-10-28,2.76
1999-11-29,2.22
1999-12-29,2.3
2000-01-30,2.69
2000-02-28,2.65
2000-03-30,2.88
2000-04-27,3.09
2000-05-30,4.52
2000-06-29,4.36
2000-07-30,3.75
2000-08-30,4.76
2000-09-28,5.1
2000-10-30,4.37
2000-11-29,6.31
2000-12-28,10.48
2001-01-30,5.83
2001-02-27,5.25
2001-03-29,5.35
2001-04-29,4.73
2001-05-30,3.73
2001-06-28,2.91
2001-07-30,3.31
2001-08-30,2.15
2001-09-27,1.8
2001-10-30,3.07
2001-11-29,1.83
2001-12-30,2.4
2002-01-30,2.28
2002-02-27,2.49
2002-03-27,3.18
2002-04-29,3.65
2002-05-30,3.15
2002-06-27,3.2
2002-07-30,3.02
2002-08-29,3.12
2002-09-29,4.09
2002-10-30,4.39
2002-11-26,4.19
2002-12-30,4.59
2003-01-30,5.58
2003-02-27,10.81
2003-03-30,5.01
2003-04-29,5.25
2003-05-29,5.99
2003-06-29,5.31
2003-07-30,4.63
2003-08-28,4.86
2003-09-29,4.66
2003-10-30,3.98
2003-11-25,4.86
2003-12-30,5.76
2004-01-29,5.8
2004-02-26,5.27
2004-03-30,5.63
2004-04-29,5.81
2004-05-27,6.45
2004-06-29,6.03
2004-07-29,6.03
2004-08-30,5.04
2004-09-29,6.36
2004-10-28,6.43
2004-11-29,6.79
2004-12-29,6.02
2005-01-30,6.14
2005-02-27,6.62
2005-03-30,7.46
2005-04-28,6.64
2005-05-30,6.31
2005-06-29,7.01
2005-07-28,7.76
2005-08-30,12.69
2005-09-21,14.84
2005-10-30,12.18
2005-11-29,11.73
2005-12-29,9.52
2006-01-30,8.73
2006-02-27,6.69
2006-03-30,6.98
2006-04-27,6.64
2006-05-30,5.97
2006-06-29,5.84
2006-07-30,8.04
2006-08-30,5.8
2006-09-28,3.66
2006-10-30,6.64
2006-11-29,8.32
2006-12-28,5.5
2007-01-30,7.76
2007-02-27,7.23
2007-03-29,7.5
2007-04-29,7.71
2007-05-30,7.8
2007-06-28,6.4
2007-07-30,6.53
2007-08-30,5.49
2007-09-27,6.15
2007-10-30,7.28
2007-11-29,7.29
2007-12-30,7.11
2008-01-30,8.1
2008-02-28,9.1
2008-03-30,9.86
2008-04-29,10.81
2008-05-29,11.43
2008-06-29,13.19
2008-07-30,9.26
2008-08-28,8.24
2008-09-29,7.17
2008-10-30,6.18
2008-11-27,6.43
2008-12-30,5.63
2009-01-29,4.77
2009-02-26,4.04
2009-03-30,3.58
2009-04-29,3.25
2009-05-28,3.92
2009-06-29,3.72
2009-07-30,3.34
2009-08-30,2.42
2009-09-29,3.25
2009-10-29,4.11
2009-11-29,4.41
2009-12-30,5.82
2010-01-28,5.26
2010-02-25,4.76
2010-03-30,3.93
2010-04-29,3.94
2010-05-27,4.31
2010-06-29,4.53
2010-07-29,4.81
2010-08-30,3.8
2010-09-29,3.85
2010-10-28,3.36
2010-11-29,4.16
2010-12-30,4.22
2011-01-30,4.42
2011-02-27,3.93
2011-03-30,4.32
2011-04-28,4.51
2011-05-30,4.63
2011-06-29,4.28
2011-07-28,4.26
2011-08-30,3.97
2011-09-29,3.68
2011-10-30,3.66
2011-11-29,3.53
2011-12-29,2.98
2012-01-30,2.51
2012-02-28,2.44
2012-03-29,2
2012-04-29,2.1
2012-05-30,2.34
2012-06-28,2.74
2012-07-30,3.2
2012-08-30,2.72
2012-09-27,3.08
2012-10-30,3.5
2012-11-29,3.46
2012-12-30,3.43
2013-01-30,3.33
2013-02-27,3.48
2013-03-27,4.03
2013-04-29,4.3
2013-05-30,4.02
2013-06-27,3.57
2013-07-30,3.46
2013-08-29,3.57
2013-09-29,3.48
2013-10-30,3.57
2013-11-28,3.87
2013-12-30,4.31
2014-01-30,5.04
2014-02-27,4.8
2014-03-30,4.48
2014-04-29,4.79
2014-05-29,4.49
2014-06-29,4.39
2014-07-30,3.78
2014-08-28,4.04
2014-09-29,4.14
2014-10-30,3.82
2014-11-27,4.3
2014-12-30,3.14
2015-01-29,2.88
2015-02-26,2.79
2015-03-30,2.65
2015-04-29,2.56
2015-05-28,2.78
2015-06-29,2.8
2015-07-30,2.76
2015-08-30,2.7
2015-09-29,2.47
2015-10-29,1.98
2015-11-29,2.11
2015-12-30,2.28
2016-01-28,2.28
2016-02-28,1.62
2016-03-30,1.98
2016-04-28,1.89
2016-05-30,2.12
2016-06-29,2.94
2016-07-28,2.97
2016-08-30,2.95
2016-09-29,2.84
2016-10-30,2.85
2016-11-29,3.32
2016-12-29,3.71
2017-01-30,3
2017-02-27,2.54
2017-03-30,3.13
2017-04-27,3.2
2017-05-30,3.05
2017-06-29,2.98
2017-07-30,2.87
2017-08-30,2.92
2017-09-28,2.94
2017-10-30,2.84
2017-11-29,3.06
2017-12-28,3.69
2018-01-30,3.34
2018-02-27,2.66
2018-03-28,2.81
2018-04-29,2.75
2018-05-30,2.94
2018-06-28,2.96
2018-07-30,2.82
2018-08-30,2.98
2018-09-27,3.01
2018-10-30,3.31
2018-11-29,4.61
2018-12-27,3.25
2019-01-30,2.82
2019-02-27,2.89
2019-03-28,2.73
2019-04-29,2.59
2019-05-30,2.59
2019-06-27,2.42
2019-07-30,2.28
2019-08-29,2.33
2019-09-29,2.37
2019-10-30,2.73
2019-11-28,2.46
2019-12-30,2.09
2020-01-30,1.91
2020-02-27,1.79
2020-03-30,1.71
2020-04-29,1.63
2020-05-28,1.7
2020-06-29,1.76
2020-07-30,1.83
2020-08-30,2.3
2020-09-29,1.66
2020-10-29,3.03
2020-11-29,2.89
2020-12-30,2.39
2021-01-28,2.68
2021-02-25,2.66
2021-03-30,2.52
2021-04-29,2.86
2021-05-27,2.91
2021-06-29,3.79
2021-07-29,3.94
2021-08-30,4.33
2021-09-29,5.58
2021-10-28,5.49
2021-11-29,4.52
2021-12-30,3.82
2022-01-30,5.56
2022-02-27,4.46
2022-03-30,5.46
2022-04-28,6.84
2022-05-30,8.46
2022-06-29,6.54
2022-07-28,8.33
2022-08-30,8.93
2022-09-29,6.4
2022-10-30,5.02
2022-11-29,7
2022-12-29,3.52
2023-01-30,2.65
2023-02-27,2.5
2023-03-30,2.1
2023-04-27,2.27
2023-05-30,2.1
2023-06-29,2.48
2023-07-30,2.58
2023-08-30,2.56
2023-09-28,2.68
2023-10-30,3.34
2023-11-29,2.75
2023-12-28,2.58
2024-01-30,2.19
2024-02-28,1.67
2024-03-27,1.54
2024-04-29,1.68
2024-05-30,1.78
2024-06-27,2.42
2024-07-30,1.94
2024-08-29,1.93
2024-09-29,2.65
2024-10-30,1.82
2024-11-28,3.39
2024-12-30,3.4
2025-01-30,2.93
2025-02-27,3.91
2025-03-30,4.11
2025-04-29,3.12
2025-05-29,2.86
2025-06-29,3.26
2025-07-30,2.99
2025-08-28,2.88
2025-09-29,3.12
2025-10-30,3.57
2025-11-25,4.59
2025-12-07,5.19
