date,value
1997-01-30,5.62
1997-02-27,3.6
1997-03-30,3.71
1997-04-29,4.35
1997-05-29,4.49
1997-06-29,4.37
1997-07-30,4.48
1997-08-28,5.4
1997-09-29,5.92
1997-10-30,6.43
1997-11-25,4.99
1997-12-30,4.54
1998-01-29,4.17
1998-02-26,4.44
1998-03-30,4.65
1998-04-29,4.33
1998-05-28,4.16
1998-06-29,4.73
1998-07-30,3.66
1998-08-30,3.18
1998-09-29,4.38
1998-10-29,3.93
1998-11-29,3.21
1998-12-30,3.84
1999-01-28,3.59
1999-02-25,3.2
1999-03-30,3.95
1999-04-29,4.37
1999-05-27,4.44
1999-06-29,4.54
1999-07-29,4.93
1999-08-30,5.48
1999-09-29,4.44
1999-10-28,5.29
1999-11-29,4.25
1999-12-29,4.41
2000-01-30,5.14
2000-02-28,5.03
2000-03-30,5.43
2000-04-27,5.82
2000-05-30,8.5
2000-06-29,8.16
2000-07-30,7
2000-08-30,8.89
2000-09-28,9.47
2000-10-30,8.1
2000-11-29,11.69
2000-12-28,19.43
2001-01-30,10.74
2001-02-27,9.63
2001-03-29,9.79
2001-04-29,8.62
2001-05-30,6.77
2001-06-28,5.27
2001-07-30,6.02
2001-08-30,3.91
2001-09-27,3.26
2001-10-30,5.57
2001-11-29,3.33
2001-12-30,4.38
2002-01-30,4.15
2002-02-27,4.52
2002-03-27,5.74
2002-04-29,6.55
2002-05-30,5.65
2002-06-27,5.74
2002-07-30,5.41
2002-08-29,5.57
2002-09-29,7.29
2002-10-30,7.81
2002-11-26,7.45
2002-12-30,8.18
2003-01-30,9.91
2003-02-27,19.04
2003-03-30,8.77
2003-04-29,9.21
2003-05-29,10.53
2003-06-29,9.32
2003-07-30,8.12
2003-08-28,8.49
2003-09-29,8.12
2003-10-30,6.94
2003-11-25,8.5
2003-12-30,10.08
2004-01-29,10.1
2004-02-26,9.13
2004-03-30,9.69
2004-04-29,9.97
2004-05-27,11
2004-06-29,10.25
2004-07-29,10.27
2004-08-30,8.58
2004-09-29,10.8
2004-10-28,10.86
2004-11-29,11.47
2004-12-29,10.2
2005-01-30,10.39
2005-02-27,11.13
2005-03-30,12.45
2005-04-28,11.01
2005-05-30,10.47
2005-06-29,11.63
2005-07-28,12.81
2005-08-30,20.84
2005-09-21,24.08
2005-10-30,19.72
2005-11-29,19.15
2005-12-29,15.6
2006-01-30,14.2
2006-02-27,10.86
2006-03-30,11.27
2006-04-27,10.63
2006-05-30,9.51
2006-06-29,9.28
2006-07-30,12.74
2006-08-30,9.18
2006-09-28,5.82
2006-10-30,10.61
2006-11-29,13.32
2006-12-28,8.79
2007-01-30,12.37
2007-02-27,11.46
2007-03-29,11.78
2007-04-29,12.03
2007-05-30,12.1
2007-06-28,9.91
2007-07-30,10.11
2007-08-30,8.52
2007-09-27,9.51
2007-10-30,11.24
2007-11-29,11.19
2007-12-30,10.92
2008-01-30,12.38
2008-02-28,13.87
2008-03-30,14.89
2008-04-29,16.23
2008-05-29,17.02
2008-06-29,19.44
2008-07-30,13.58
2008-08-28,12.13
2008-09-29,10.57
2008-10-30,9.2
2008-11-27,9.76
2008-12-30,8.64
2009-01-29,7.29
2009-02-26,6.14
2009-03-30,5.43
2009-04-29,4.92
2009-05-28,5.91
2009-06-29,5.56
2009-07-30,5
2009-08-30,3.62
2009-09-29,4.85
2009-10-29,6.13
2009-11-29,6.58
2009-12-30,8.69
2010-01-28,7.83
2010-02-25,7.08
2010-03-30,5.82
2010-04-29,5.83
2010-05-27,6.37
2010-06-29,6.7
2010-07-29,7.12
2010-08-30,5.61
2010-09-29,5.69
2010-10-28,4.96
2010-11-29,6.13
2010-12-30,6.21
2011-01-30,6.47
2011-02-27,5.73
2011-03-30,6.24
2011-04-28,6.47
2011-05-30,6.61
2011-06-29,6.12
2011-07-28,6.08
2011-08-30,5.65
2011-09-29,5.23
2011-10-30,5.21
2011-11-29,5.03
2011-12-29,4.26
2012-01-30,3.57
2012-02-28,3.46
2012-03-29,2.81
2012-04-29,2.94
2012-05-30,3.28
2012-06-28,3.85
2012-07-30,4.51
2012-08-30,3.81
2012-09-27,4.29
2012-10-30,4.88
2012-11-29,4.85
2012-12-30,4.82
2013-01-30,4.66
2013-02-27,4.83
2013-03-27,5.58
2013-04-29,5.96
