date,value
1998-12-30,-14.1
1999-12-30,17.95
2000-12-30,355.65
2001-12-30,-77.1
2002-12-30,91.25
2003-12-30,25.49
2004-12-30,4.51
2005-12-30,58.14
2006-12-30,-42.23
2007-12-30,29.27
2008-12-30,-20.82
2009-12-30,3.37
2010-12-30,-27.49
2011-12-30,-29.38
2012-12-30,15.1
2013-12-30,25.66
2014-12-30,-27.15
2015-12-30,-27.39
2016-12-30,62.72
2017-12-30,-0.54
2018-12-30,-11.92
2019-12-30,-35.69
2020-12-30,14.35
2021-12-30,59.83
2022-12-30,-7.85
2023-12-30,-26.7
2024-12-30,31.78
2025-12-30,52.65
