date,value
1992-12-31,8.5
1993-01-31,8.44
1993-02-28,8.3
1993-03-31,8
1993-04-30,8
1993-05-31,8.15
1993-06-30,8.24
1993-07-31,8.345
1993-08-31,8.27
1993-09-30,8.145
1993-10-31,7.995
1993-11-30,8.005
1993-12-31,8.068
1994-01-31,8.061
1994-02-28,8.068
1994-03-31,8.083
1994-04-30,8.063
1994-05-31,8.063
1994-06-30,8.073
1994-07-31,8.093
1994-08-31,8.153
1994-09-30,8.218
1994-10-31,8.218
1994-11-30,8.273
1994-12-31,8.12
1995-01-31,8.22
1995-02-28,8.11
1995-03-31,8.22
1995-04-30,8.4
1995-05-31,8.1
1995-06-30,8.41
1995-07-31,8.425
1995-08-31,8.315
1995-09-30,8.315
1995-10-31,8.02
1995-11-30,8.11
1995-12-31,8.118
1996-01-31,8.248
1996-02-29,8.248
1996-03-31,8.088
1996-04-30,8.135
1996-05-31,8.195
1996-06-30,8.295
1996-07-31,8.22
1996-08-31,8.2
1996-09-30,8.255
1996-10-31,8.255
1996-11-30,8.358
1996-12-31,8.072
1997-01-31,8.212
1997-02-28,8.316
1997-03-31,8.368
1997-04-30,8.348
1997-05-31,8.341
1997-06-30,8.36
1997-07-31,8.458
1997-08-31,8.463
1997-09-30,8.463
1997-10-31,8.414
1997-11-30,8.521
1997-12-31,8.765
1998-01-31,8.76
1998-02-28,8.46
1998-03-31,8.585
1998-04-30,8.625
1998-05-31,8.325
1998-06-30,8.275
1998-07-31,8.225
1998-08-31,8.173
1998-09-30,8.22
1998-10-31,8.17
1998-11-30,8.11
1998-12-31,8.065
1999-01-31,8.165
1999-02-28,8.22
1999-03-31,7.665
1999-04-30,7.665
1999-05-31,7.61
1999-06-30,7.61
1999-07-31,7.71
1999-08-31,7.735
1999-09-30,7.845
1999-10-31,7.865
1999-11-30,7.863
1999-12-31,7.863
2000-01-31,7.865
2000-02-29,7.865
2000-03-31,8.1
2000-04-30,8.2
2000-05-31,8.25
2000-06-30,8.39
2000-07-31,8.823
2000-08-31,8.975
2000-09-30,8.8
2000-10-31,8.9
2000-11-30,8.8
2000-12-31,8.7
2001-01-31,8.32
2001-02-28,8.3
2001-03-31,7.95
2001-04-30,8
2001-05-31,8.05
2001-06-30,8.25
2001-07-31,8.07
2001-08-31,7.8
2001-09-30,7.67
2001-10-31,7.67
2001-11-30,7.6
2001-12-31,7.3
2002-01-31,7.21
2002-02-28,7.31
2002-03-31,7.455
2002-04-30,7.45
2002-05-31,7.5
2002-06-30,7.7
2002-07-31,7.73
2002-08-31,7.88
2002-09-30,7.9
2002-10-31,8.1
2002-11-30,8.05
2002-12-31,8.499
2003-01-31,8.797
2003-02-28,9.382
2003-03-31,9.521
2003-04-30,9.322
2003-05-31,8.628
2003-06-30,8.539
2003-07-31,8.539
2003-08-31,8.479
2003-09-30,8.578
2003-10-31,8.43
2003-11-30,8.588
2003-12-31,8.7
2004-01-31,8.7
2004-02-29,8.4
