date,value
1994-12-30,3.35
1995-12-30,-1.97
1996-12-30,3.06
1997-12-30,1.95
1998-12-30,-4.82
1999-12-30,-3.05
2000-12-30,11.92
2001-12-30,-13.64
2002-12-30,5.92
2003-12-30,6.68
2004-12-30,10.62
2005-12-30,0
2006-12-30,-7.89
2007-12-30,4
2008-12-30,-6.59
2009-12-30,-3.53
2010-12-30,0.85
2011-12-30,18.5
2012-12-30,-6.12
2013-12-30,6.52
2014-12-30,-2.04
2015-12-30,5.21
2016-12-30,3.96
2017-12-30,-4.19
2018-12-30,4.37
2019-12-30,-7.14
2020-12-30,-7.59
2021-12-30,9.88
2022-12-30,0
