date,value
1991-01-31,1510
1991-02-28,1025
1991-03-31,871
1991-04-30,892
1991-05-31,1062
1991-06-30,882
1991-07-31,1002
1991-08-31,798
1991-09-30,1032
1991-10-31,1042
1991-11-30,1020
1991-12-31,1007
1992-01-31,1029
1992-02-29,1195
1992-03-31,1057
1992-04-30,986
1992-05-31,957
1992-06-30,981
1992-07-31,972
1992-08-31,1016
1992-09-30,1072
1992-10-31,990
1992-11-30,1071
1992-12-31,1102
1993-01-31,1044
1993-02-28,1021
1993-03-31,981
1993-04-30,962
1993-05-31,1002
1993-06-30,842
1993-07-31,816
1993-08-31,885
1993-09-30,848
1993-10-31,865
1993-11-30,864
1993-12-31,893
1994-01-31,924
1994-02-28,872
1994-03-31,880
1994-04-30,914
1994-05-31,886
1994-06-30,863
1994-07-31,896
1994-08-31,913
1994-09-30,927
1994-10-31,910
1994-11-30,938
1994-12-31,961
1995-01-31,907
1995-02-28,985
1995-03-31,1004
1995-04-30,932
1995-05-31,927
1995-06-30,900
1995-07-31,831
1995-08-31,877
1995-09-30,723
1995-10-31,835
1995-11-30,850
1995-12-31,954
1996-01-31,925
1996-02-29,925
1996-03-31,977
1996-04-30,916
1996-05-31,926
1996-06-30,924
1996-07-31,875
1996-08-31,993
1996-09-30,1212
1996-10-31,943
1996-11-30,1018
1996-12-31,979
1997-01-31,928
1997-02-28,992
1997-03-31,951
1997-04-30,940
1997-05-31,881
1997-06-30,881
1997-07-31,884
1997-08-31,969
1997-09-30,975
1997-10-31,964
1997-11-30,980
1997-12-31,904
1998-01-31,952
1998-02-28,952
1998-03-31,956
1998-04-30,937
1998-05-31,936
1998-06-30,955
1998-07-31,966
1998-08-31,982
1998-09-30,1010
1998-10-31,985
1998-11-30,1022
1998-12-31,987
1999-01-31,929
1999-02-28,953
1999-03-31,986
1999-04-30,954
1999-05-31,959
1999-06-30,965
1999-07-31,984
1999-08-31,965
1999-09-30,940
1999-10-31,926
1999-11-30,970
1999-12-31,962
2000-01-31,953
2000-02-29,1003
2000-03-31,982
2000-04-30,969
2000-05-31,1005
2000-06-30,1001
2000-07-31,1003
2000-08-31,1008
2000-09-30,1004
2000-10-31,978
2000-11-30,989
2000-12-31,1018
2001-01-31,1000
2001-02-28,1005
2001-03-31,993
2001-04-30,977
2001-05-31,977
2001-06-30,974
2001-07-31,1041
2001-08-31,1034
2001-09-30,1039
2001-10-31,934
2001-11-30,930
2001-12-31,895
2002-01-31,929
2002-02-28,929
2002-03-31,971
2002-04-30,952
2002-05-31,964
2002-06-30,989
2002-07-31,937
2002-08-31,931
2002-09-30,938
2002-10-31,969
2002-11-30,1023
2002-12-31,886
2003-01-31,903
2003-02-28,981
2003-03-31,973
2003-04-30,968
2003-05-31,972
2003-06-30,962
2003-07-31,996
2003-08-31,952
2003-09-30,948
2003-10-31,874
2003-11-30,988
2003-12-31,974
2004-01-31,932
2004-02-29,984
2004-03-31,967
2004-04-30,957
2004-05-31,959
2004-06-30,983
2004-07-31,991
2004-08-31,969
2004-09-30,1038
2004-10-31,965
2004-11-30,983
2004-12-31,983
2005-01-31,1035
2005-02-28,996
2005-03-31,1019
2005-04-30,1139
2005-05-31,1157
2005-06-30,1130
2005-07-31,1155
2005-08-31,942
2005-09-30,844
2005-10-31,848
2005-11-30,874
2005-12-31,944
2006-01-31,944
2006-02-28,1082
2006-03-31,1043
2006-04-30,1110
2006-05-31,1234
2006-06-30,1240
2006-07-31,1133
2006-08-31,1289
2006-09-30,1288
2006-10-31,1325
2006-11-30,1283
2006-12-31,1244
2007-01-31,1249
2007-02-28,1206
2007-03-31,1221
2007-04-30,1202
2007-05-31,1241
2007-06-30,1191
2007-07-31,1180
2007-08-31,1190
2007-09-30,1224
2007-10-31,1272
2007-11-30,1251
2007-12-31,1238
2008-01-31,1344
2008-02-29,1282
2008-03-31,1349
2008-04-30,1529
2008-05-31,1444
2008-06-30,1451
2008-07-31,1363
2008-08-31,1331
2008-09-30,1595
2008-10-31,1772
2008-11-30,1395
2008-12-31,1514
2009-01-31,1595
2009-02-28,1651
2009-03-31,1826
2009-04-30,1850
2009-05-31,1863
2009-06-30,1894
2009-07-31,1846
2009-08-31,1898
2009-09-30,1891
2009-10-31,1952
2009-11-30,1945
2009-12-31,1680
2010-01-31,1712
2010-02-28,1644
2010-03-31,1734
2010-04-30,1785
2010-05-31,2025
2010-06-30,2120
2010-07-31,2062
2010-08-31,2189
2010-09-30,2186
2010-10-31,2121
2010-11-30,2252
2010-12-31,2241
2011-01-31,2168
2011-02-28,2327
2011-03-31,2222
2011-04-30,2191
2011-05-31,2453
2011-06-30,2309
2011-07-31,2416
2011-08-31,2515
2011-09-30,2777
2011-10-31,2894
2011-11-30,2880
2011-12-31,2921
2012-01-31,3156
2012-02-29,2734
2012-03-31,2726
2012-04-30,2891
2012-05-31,2935
2012-06-30,2846
2012-07-31,2866
2012-08-31,2913
2012-09-30,2778
2012-10-31,2819
2012-11-30,2944
2012-12-31,3091
2013-01-31,3283
2013-02-28,2894
2013-03-31,2893
2013-04-30,2730
2013-05-31,2857
2013-06-30,2955
2013-07-31,3245
2013-08-31,3428
2013-09-30,3379
2013-10-31,3443
2013-11-30,3641
2013-12-31,3722
2014-01-31,3813
2014-02-28,3609
2014-03-31,3075
2014-04-30,3153
2014-05-31,3392
2014-06-30,3807
2014-07-31,3721
2014-08-31,3974
2014-09-30,4018
2014-10-31,3778
2014-11-30,3759
2014-12-31,4092
2015-01-31,4427
2015-02-28,4260
2015-03-31,3983
2015-04-30,3794
2015-05-31,4312
2015-06-30,4460
2015-07-31,4172
2015-08-31,4561
2015-09-30,4197
2015-10-31,4598
2015-11-30,4343
2015-12-31,4364
2016-01-31,4772
2016-02-29,4772
2016-03-31,3998
2016-04-30,4218
2016-05-31,4492
2016-06-30,4578
2016-07-31,4976
2016-08-31,5290
2016-09-30,4598
2016-10-31,5082
2016-11-30,5672
2016-12-31,5289
2017-01-31,5335
2017-02-28,5310
2017-03-31,5275
2017-04-30,6233
2017-05-31,5116
2017-06-30,5079
2017-07-31,5411
2017-08-31,7023
2017-09-30,7678
2017-10-31,7328
2017-11-30,5945
2017-12-31,6649
2018-01-31,5669
2018-02-28,6919
2018-03-31,7158
2018-04-30,6822
2018-05-31,7476
2018-06-30,6338
2018-07-31,5569
2018-08-31,7398
2018-09-30,7839
2018-10-31,9049
2018-11-30,7616
2018-12-31,6998
2019-01-31,8164
2019-02-28,7594
2019-03-31,7767
2019-04-30,8344
2019-05-31,7925
2019-06-30,8401
2019-07-31,8384
2019-08-31,7788
2019-09-30,8428
2019-10-31,8413
2019-11-30,10134
2019-12-31,9153
2020-01-31,9731
2020-02-29,8451
2020-03-31,8676
2020-04-30,7220
2020-05-31,7836
2020-06-30,8078
2020-07-31,8071
2020-08-31,8652
2020-09-30,7568
2020-10-31,8719
2020-11-30,9281
2020-12-31,8902
2021-01-31,6344
2021-02-28,7428
2021-03-31,9226
2021-04-30,7178
2021-05-31,8711
2021-06-30,7329
2021-07-31,7946
2021-08-31,7568
2021-09-30,8261
2021-10-31,7511
2021-11-30,6615
2021-12-31,6720
2022-01-31,7453
