date,value
1992-12-30,5
1993-12-30,-19.33
1994-12-30,8.56
1995-12-30,-9.38
1996-12-30,19.76
1997-12-30,-3.73
1998-12-30,4.29
1999-12-30,-5.09
2000-12-30,1.96
2001-12-30,-5.97
2002-12-30,10
2003-12-30,-3.42
2004-12-30,-0.51
2005-12-30,-11.09
2006-12-30,46.8
2007-12-30,-2.49
2008-12-30,11.51
2009-12-30,39.43
2010-12-30,15.78
2011-12-30,27.89
2012-12-30,2.22
2013-12-30,23.68
2014-12-30,3.24
2015-12-30,15.54
2016-12-30,30.6
2017-12-30,4.81
2018-12-30,28.11
2019-12-30,33.06
2020-12-30,-8.42
2021-12-30,-28.73
2022-12-30,12.67
