date,value
1991-12-30,1012.36
1992-12-30,1027.75
1993-12-30,936
1994-12-30,901.33
1995-12-30,894.33
1996-12-30,965.67
1997-12-30,943.67
1998-12-30,963.08
1999-12-30,959.83
2000-12-30,988.08
2001-12-30,993.5
2002-12-30,952.25
2003-12-30,950.25
2004-12-30,975.17
2005-12-30,1010.17
2006-12-30,1159.58
2007-12-30,1222.58
2008-12-30,1424.42
2009-12-30,1810.42
2010-12-30,1959.17
2011-12-30,2449.42
2012-12-30,2877.42
2013-12-30,3153.25
2014-12-30,3651.75
2015-12-30,4266.58
2016-12-30,4734.33
2017-12-30,5918.5
2018-12-30,7041.83
2019-12-30,8195
2020-12-30,8453
2021-12-30,7751.58
2022-12-30,7086.5
