date,value
1987-12-30,-6.64
1988-12-30,2.27
1989-12-30,27.57
1990-12-30,30.4
1991-12-30,-32.76
1992-12-30,1.78
1993-12-30,-27.19
1994-12-30,25.23
1995-12-30,9.96
1996-12-30,32.55
1997-12-30,-31.85
1998-12-30,-31.22
1999-12-30,112.19
2000-12-30,3.73
2001-12-30,-25.3
2002-12-30,56.36
2003-12-30,4.17
2004-12-30,33.37
2005-12-30,40.82
2006-12-30,-0.34
2007-12-30,57.68
2008-12-30,-53.52
2009-12-30,78
2010-12-30,15.1
2011-12-30,8.15
2012-12-30,-7.08
2013-12-30,6.9
2014-12-30,-45.55
2015-12-30,-30.53
2016-12-30,44.76
2017-12-30,12.48
2018-12-30,-25.32
2019-12-30,35.42
2020-12-30,-20.92
2021-12-30,55.8
2022-12-30,6.41
2023-12-30,-10.32
2024-12-30,-0.24
2025-12-30,-21.97
