date,value
1463-06-27,0.3725
1548-05-12,0.3725
1627-10-05,0.39
1715-05-17,0.44
1800-04-01,0.485
1876-11-28,0.4712
1967-04-06,0.495
2049-05-25,0.515
2126-01-22,0.51
2213-09-03,0.52
2295-10-23,0.525
2375-03-18,0.525
2462-10-27,0.535
2547-09-12,0.5475
2632-07-28,0.56
2714-09-17,0.57
2796-11-05,0.57
2881-09-20,0.55
2966-08-06,0.535
3045-12-30,0.535
3122-08-29,0.45
3213-01-03,0.45
3295-02-22,0.4325
3371-10-22,0.4325
3462-02-27,0.43
3544-04-18,0.43
3631-11-28,0.43
3714-01-17,0.43
3793-06-11,0.43
3881-01-21,0.44
3965-12-07,0.44
4050-10-22,0.44
4130-03-17,0.44
4212-05-06,0.46
4291-09-29,0.47
4382-02-04,0.47
4464-03-25,0.4787
4549-02-08,0.61
4633-12-25,0.585
4713-05-20,0.575
4800-12-29,0.575
4883-02-17,0.575
4962-07-13,0.575
5052-11-18,0.58
5129-07-18,0.62
1973-03-29,0.635
1973-04-29,0.64
1973-05-30,0.65
1973-06-28,0.68
1973-07-30,0.69
1973-08-30,0.7
1973-09-27,0.7
1973-10-30,0.7
1973-11-29,0.7
1973-12-30,0.69
1974-01-30,0.69
1974-02-27,0.73
1974-03-28,0.74
1974-04-29,0.75
1974-05-30,0.73
1974-06-27,0.7
1974-07-30,0.69
1974-08-29,0.64
1974-09-29,0.63
1974-10-30,0.66
1974-11-28,0.695
1974-12-30,0.705
1975-01-30,0.7
1975-02-27,0.71
1975-03-30,0.69
1975-04-29,0.6925
1975-05-29,0.74
1975-06-29,0.69
1975-07-30,0.69
1975-08-28,0.935
1975-09-29,0.935
1975-10-30,0.935
1975-11-27,0.935
1975-12-30,0.935
1976-01-29,1.075
1976-02-26,1.1
1976-03-30,1.12
1976-04-29,1.35
1976-05-27,1.45
1976-06-29,1.5
1976-07-29,1.45
1976-08-30,1.45
1976-09-29,1.52
1976-10-28,1.6
1976-11-29,1.825
1976-12-30,2.2
1977-01-30,2.25
1977-02-27,2.85
1977-03-30,3.25
1977-04-28,3.2
1977-05-30,2.9
1977-06-29,2.5
1977-07-28,2.1
1977-08-30,2
1977-09-29,1.85
1977-10-30,1.85
1977-11-29,1.95
1977-12-29,2.05
1978-01-30,2.075
1978-02-27,1.9
1978-03-30,1.75
1978-04-27,1.7
1978-05-30,1.65
1978-06-29,1.65
1978-07-30,1.35
1978-08-30,1.55
1978-09-28,1.55
1978-10-30,1.53
1978-11-29,1.46
1978-12-28,1.4
1979-01-30,1.3
1979-02-27,1.27
1979-03-29,1.35
1979-04-29,1.47
1979-05-30,1.5
1979-06-28,2.1
1979-07-30,1.92
1979-08-30,2.09
1979-09-27,2.09
1979-10-30,2.05
1979-11-29,2.08
1979-12-30,2
1980-01-30,2
1980-02-28,1.9
1980-03-30,1.85
1980-04-29,1.8
1980-05-29,1.85
1980-06-29,1.8
1980-07-30,1.55
1980-08-28,1.45
1980-09-29,1.4
1980-10-30,1.3
1980-11-27,1.2
1980-12-30,1.25
1981-01-29,1.25
1981-02-26,1.23
1981-03-30,1.25
1981-04-29,1.26
1981-05-28,1.26
1981-06-29,1.15
1981-07-30,1.35
1981-08-30,1.1
1981-09-29,1.25
1981-10-29,1.35
1981-11-29,1.47
1981-12-30,1.47
1982-01-28,1.44
1982-02-25,1.5
1982-03-30,1.4
1982-04-29,1.4
1982-05-27,1.4
1982-06-29,1.42
1982-07-29,1.38
1982-08-30,1.36
1982-09-29,1.37
1982-10-28,1.38
1982-11-29,1.39
1982-12-30,1.36
1983-01-30,1.31
