date,value
2966-08-06,8.08
3965-12-07,-17.76
4968-01-03,30.68
1973-12-30,20
1974-12-30,2.17
1975-12-30,32.62
1976-12-30,135.29
1977-12-30,-6.82
1978-12-30,-31.71
1979-12-30,42.86
1980-12-30,-37.5
1981-12-30,17.6
1982-12-30,-7.48
1983-12-30,13.97
1984-12-30,-10.97
1985-12-30,37.68
1986-12-30,-26.32
1987-12-30,-15.71
1988-12-30,31.36
1989-12-30,-54.84
1990-12-30,14.29
1991-12-30,-30
1992-12-30,17.86
1993-12-30,-6.82
1994-12-30,160.57
1995-12-30,-38.53
1996-12-30,38.07
1997-12-30,23.53
1998-12-30,-30.36
1999-12-30,7.26
2000-12-30,-47.01
2001-12-30,-37.97
2002-12-30,7.88
2003-12-30,28.09
2004-12-30,67.98
2005-12-30,9.63
2006-12-30,12.03
2007-12-30,8.23
2008-12-30,-20.61
2009-12-30,25.94
2010-12-30,70.8
2011-12-30,3.15
2012-12-30,-38.54
2013-12-30,-20.46
2014-12-30,50.27
2015-12-30,-23.08
2016-12-30,8.17
2017-12-30,-7.92
2018-12-30,-19.29
2019-12-30,27.34
2020-12-30,-1.12
2021-12-30,76.3
2022-12-30,-26.14
2023-12-30,17.43
2024-12-30,-98.37
2025-12-30,11628.6
