date,value
1960-12-30,-13.32
1961-12-30,8.73
1962-12-30,-4.51
1963-12-30,5.8
1964-12-30,21.96
1965-12-30,54.97
-94780800000,-6.15
-63244800000,6.57
0967-12-04,-11.72
1967-04-06,43.67
2966-08-06,-36.38
3965-12-07,10741.58
4968-01-03,0.5
1973-12-30,35.82
1974-12-30,3.72
1975-12-30,-9.82
1976-12-30,1.07
1977-12-30,-3.08
1978-12-30,14.1
1979-12-30,45.38
1980-12-30,-16.14
1981-12-30,-9.85
1982-12-30,-7.59
1983-12-30,-6.16
1984-12-30,-6.57
1985-12-30,5.86
1986-12-30,-6.08
1987-12-30,137.31
1988-12-30,4.89
1989-12-30,-30.55
1990-12-30,10
1991-12-30,-16.32
1992-12-30,4.2
1993-12-30,-18.48
1994-12-30,66.28
1995-12-30,-11.89
1996-12-30,-18.25
1997-12-30,-25.24
1998-12-30,-14.29
1999-12-30,29.17
2000-12-30,-0.7
2001-12-30,-22.86
2002-12-30,6.74
2003-12-30,49.64
2004-12-30,42.57
2005-12-30,45.36
2006-12-30,32.04
2007-12-30,6.18
2008-12-30,-53.97
2009-12-30,138.39
2010-12-30,33.5
2011-12-30,-22.71
2012-12-30,6.11
2013-12-30,-5.48
2014-12-30,-17.52
2015-12-30,-24.78
2016-12-30,17.35
2017-12-30,-98.68
2018-12-30,-20.2
2019-12-30,6.31
2020-12-30,25.8
2021-12-30,26.83
2022-12-30,-14.4
2023-12-30,1.89
2024-12-30,3.41
2025-12-30,33.36
