date,value
1959-07-30,1.173
1959-08-30,1.153
1959-09-29,1.135
1959-10-29,1.142
1959-11-29,1.142
1959-12-30,1.137
1960-01-28,1.141
1960-02-28,1.155
1960-03-30,1.192
1960-04-28,1.205
1960-05-30,1.213
1960-06-29,1.159
1960-07-28,1.161
1960-08-30,1.1084
1960-09-29,1.092
1960-10-30,1.075
1960-11-29,1.0752
1960-12-29,1.093
1961-01-30,1.152
1961-02-27,1.1746
1961-03-29,1.09
1961-04-27,1.1552
1961-05-30,1.163
1961-06-29,1.1636
1961-07-30,1.134
1961-08-30,1.1254
1961-09-28,1.092
1961-10-30,1.086
1961-11-29,1.1206
1961-12-28,1.106
1962-01-30,1.075
1962-02-27,1.0838
1962-03-29,1.146
1962-04-29,1.144
1962-05-30,1.145
1962-06-28,1.128
1962-07-30,1.081
1962-08-30,1.068
1962-09-27,1.072
1962-10-30,1.071
1962-11-29,1.0976
1962-12-30,1.126
1963-01-30,1.147
1963-02-27,1.1922
1963-03-28,1.171
1963-04-29,1.1834
1963-05-30,1.232
1963-06-27,1.2436
1963-07-30,1.205
1963-08-29,1.1568
1963-09-29,1.197
1963-10-30,1.167
1963-11-28,1.193
1963-12-30,1.201
1964-01-30,1.202
1964-02-27,1.2044
1964-03-30,1.213
1964-04-29,1.2474
1964-05-27,1.231
1964-06-29,1.2104
1964-07-30,1.175
1964-08-30,1.2118
1964-09-29,1.205
1964-10-29,1.191
1964-11-29,1.2646
1964-12-30,1.263
1965-01-28,1.27
1965-02-25,1.2954
1965-03-30,1.331
1965-04-29,1.3418
1965-05-27,1.322
1965-06-29,1.2836
1965-07-29,1.251
1965-08-30,1.1926
1965-09-29,1.163
1965-10-28,1.143
1965-11-29,1.2142
1965-12-29,1.247
1966-01-30,1.284
1966-02-27,1.2462
1966-03-30,1.247
1966-04-28,1.2736
1966-05-30,1.272
1966-06-29,1.3596
1966-07-28,1.411
1966-08-30,1.4484
1966-09-29,1.381
1966-10-30,1.375
-97459200000,1.444
-94867200000,1.42
-92102400000,1.394
-89683200000,1.4236
-87004800000,1.413
-84585600000,1.3238
-81734400000,1.355
-79142400000,1.3084
-76464000000,1.236
-73785600000,1.1836
-71280000000,1.133
-68515200000,1.142
-65923200000,1.169
-63417600000,1.183
0050-09-22,1.187
0130-02-15,1.2062
0209-07-11,1.21
0297-02-19,1.1574
0382-01-05,1.163
0458-09-03,1.132
0549-01-09,1.065
0631-03-01,1.0372
0716-01-15,1.014
0800-11-29,1.105
0880-04-23,1.193
0967-12-04,1.1788
1052-10-19,1.17
1129-06-18,1.1703
1206-02-14,1.1613
1296-06-21,1.2688
1375-11-15,1.2775
1463-06-27,1.2875
1548-05-12,1.2675
1627-10-05,1.29
1715-05-17,1.19
1800-04-01,1.1575
1876-11-28,1.1875
1967-04-06,1.2225
2049-05-25,1.26
2126-01-22,1.265
2213-09-03,1.2375
2295-10-23,1.31
2375-03-18,1.3225
2462-10-27,1.41
2547-09-12,1.3575
2632-07-28,1.57
