date,value
1967-04-06,0.2544
2966-08-06,0.2534
3965-12-07,0.2772
4968-01-03,0.3448
1973-12-30,0.5729
1974-12-30,0.5755
1975-12-30,0.4686
1976-12-30,0.6914
1977-12-30,0.6135
1978-12-30,0.5943
1979-12-30,0.633
1980-12-30,0.8257
1981-12-30,0.723
1982-12-30,0.6077
1983-12-30,0.6882
1984-12-30,0.686
1985-12-30,0.5882
1986-12-30,0.5328
1987-12-30,0.6291
1988-12-30,0.5698
1989-12-30,0.6264
1990-12-30,0.7102
1991-12-30,0.7093
1992-12-30,0.536
1993-12-30,0.5664
1994-12-30,0.7302
1995-12-30,0.9266
1996-12-30,0.7959
1997-12-30,0.7004
1998-12-30,0.6787
1999-12-30,0.5422
2000-12-30,0.5805
2001-12-30,0.4006
2002-12-30,0.3775
2003-12-30,0.5699
2004-12-30,0.5269
2005-12-30,0.4807
2006-12-30,0.493
2007-12-30,0.5381
2008-12-30,0.5873
2009-12-30,0.5331
2010-12-30,0.9016
2011-12-30,1.3302
2012-12-30,0.7557
2013-12-30,0.8107
2014-12-30,0.7459
2015-12-30,0.6303
2016-12-30,0.6567
2017-12-30,0.7266
2018-12-30,0.8212
2019-12-30,0.6737
2020-12-30,0.6428
2021-12-30,0.9346
2022-12-30,1.1284
2023-12-30,0.8298
2024-12-30,0.7677
2025-12-30,0.6564
