date,value
4883-02-17,127.1
4962-07-13,144
5052-11-18,145
5129-07-18,158
1973-03-29,162.8
1973-04-29,151.8
1973-05-30,137
1973-06-28,125.2
1973-07-30,142.2
1973-08-30,141
1973-09-27,124.7
1973-10-30,135.4
1973-11-29,134.5
1973-12-30,127.8
1974-01-30,138.6
1974-02-27,159.76
1974-03-28,153
1974-04-29,137.12
1974-05-30,138
1974-06-27,130.34
1974-07-30,130.8
1974-08-29,126.14
1974-09-29,100.2
1974-10-30,119.26
1974-11-28,111.3
1974-12-30,120.12
1975-01-30,132
1975-02-27,124.5
1975-03-30,142.3
1975-04-29,161.82
1975-05-29,138.2
1975-06-29,149.06
1975-07-30,138.1
1975-08-28,130.64
1975-09-29,114
1975-10-30,134.82
1975-11-27,144.4
1975-12-30,155.54
1976-01-29,162.7
1976-02-26,168.28
1976-03-30,157.1
1976-04-29,157.38
1976-05-27,147
1976-06-29,163.2
1976-07-29,156.8
1976-08-30,154.68
1976-09-29,156.4
1976-10-28,169.14
1976-11-29,179
1976-12-29,192.88
1977-01-30,173.3
1977-02-27,193.86
1977-03-30,188.4
1977-04-28,184.54
1977-05-30,180.4
1977-06-29,192.7
1977-07-28,186.3
1977-08-30,199.64
1977-09-29,183.9
1977-10-30,176.3
1977-11-29,200.9
1977-12-29,214
1978-01-30,211.4
1978-02-27,212.64
1978-03-30,207.8
1978-04-27,209.26
1978-05-30,209.7
1978-06-29,199.74
1978-07-30,215.3
1978-08-30,202.42
1978-09-28,210
1978-10-30,210.64
1978-11-29,212.7
1978-12-28,225.94
1979-01-30,221.8
1979-02-27,225.02
1979-03-29,211.8
1979-04-29,221.92
1979-05-30,231.8
1979-06-28,232.1
1979-07-30,254.9
1979-08-30,250.06
1979-09-27,256.1
1979-10-30,210.1
1979-11-29,209.4
1979-12-30,213.5
1980-01-30,229.7
1980-02-28,215.36
1980-03-30,185.5
1980-04-29,175.1
1980-05-29,197.1
1980-06-29,207.3
1980-07-30,205
1980-08-28,185.38
1980-09-29,172.7
1980-10-30,175.78
1980-11-27,178.3
1980-12-30,176.68
1981-01-29,179.8
1981-02-26,166.68
1981-03-30,169.6
1981-04-29,189.6
1981-05-28,187.5
1981-06-29,184.84
1981-07-30,181.4
1981-08-30,158.84
1981-09-29,133.3
1981-10-29,140.52
1981-11-29,160.1
1981-12-30,160.14
1982-01-28,148.8
1982-02-25,141.06
1982-03-30,142.4
1982-04-29,136.96
1982-05-27,142.8
1982-06-29,137.28
1982-07-29,132.3
1982-08-30,140.74
1982-09-29,130
1982-10-28,155.94
1982-11-29,166.9
1982-12-30,179.26
1983-01-30,194.7
1983-02-27,188.26
1983-03-30,184.6
1983-04-28,207.6
1983-05-30,248.2
1983-06-29,220.38
1983-07-28,199.8
1983-08-30,173.66
1983-09-29,182
1983-10-30,169.28
1983-11-29,182.1
1983-12-29,177.88
1984-01-30,175.6
1984-02-28,194.38
1984-03-29,186.7
1984-04-29,160.92
1984-05-30,147.7
1984-06-28,133.96
1984-07-30,123.3
1984-08-30,126.24
1984-09-27,128.4
1984-10-30,145.42
1984-11-29,154.2
1984-12-30,163.32
1985-01-30,153.7
1985-02-27,145.08
1985-03-28,124.2
1985-04-29,141.32
1985-05-30,155.7
1985-06-27,149.12
1985-07-30,137.5
1985-08-29,132.74
1985-09-29,139.5
1985-10-30,146.46
1985-11-28,146.3
1985-12-30,152
1986-01-30,141.4
1986-02-27,159.46
1986-03-30,183.9
1986-04-29,178.04
1986-05-29,168.7
1986-06-29,157.94
1986-07-30,156.2
1986-08-28,177.26
1986-09-29,172.4
1986-10-30,174.34
1986-11-27,180.3
1986-12-30,161.74
1987-01-29,187.9
