date,value
1973-12-30,-11.25
1974-12-30,-6.01
1975-12-30,29.49
1976-12-30,24.01
1977-12-30,10.95
1978-12-30,5.58
1979-12-30,-5.51
1980-12-30,-17.25
1981-12-30,-9.36
1982-12-30,11.94
1983-12-30,-0.77
1984-12-30,-8.19
1985-12-30,-6.93
1986-12-30,6.41
1987-12-30,15.51
1988-12-30,-0.65
1989-12-30,3.48
1990-12-30,-10.23
1991-12-30,24.1
1992-12-30,27.54
1993-12-30,71.1
1994-12-30,-31.35
1995-12-30,-9.17
1996-12-30,43.82
1997-12-30,-29.75
1998-12-30,4.86
1999-12-30,11.84
2000-12-30,-36.14
2001-12-30,17.58
2002-12-30,-13.36
2003-12-30,44.25
2004-12-30,10.84
2005-12-30,1.77
2006-12-30,-23.54
2007-12-30,-9.82
2008-12-30,-26.87
2009-12-30,24.16
2010-12-30,38.41
2011-12-30,-18.36
2012-12-30,45.13
2013-12-30,-2.04
2014-12-30,-10.47
2015-12-30,-22.01
2016-12-30,27.47
2017-12-30,35.58
2018-12-30,-24.15
2019-12-30,25.56
2020-12-30,77.28
2021-12-30,52.9
2022-12-30,-66.45
2023-12-30,41.74
2024-12-30,1.19
2025-12-30,2.36
