date,value
4968-01-03,133.43
1973-12-30,142.21
1974-12-30,132.18
1975-12-30,136.17
1976-12-30,162.44
1977-12-30,189.09
1978-12-30,211.37
1979-12-30,231.51
1980-12-30,191.68
1981-12-30,166.99
1982-12-30,144.06
1983-12-30,191.22
1984-12-30,152.6
1985-12-30,144.52
1986-12-30,168.09
1987-12-30,187.28
1988-12-30,185.14
1989-12-30,184.48
1990-12-30,191.94
1991-12-30,196.36
1992-12-30,232.66
1993-12-30,336.93
1994-12-30,360.08
1995-12-30,276.59
1996-12-30,347.82
1997-12-30,359.39
1998-12-30,293.82
1999-12-30,342.99
2000-12-30,275.82
2001-12-30,262.77
2002-12-30,261.29
2003-12-30,277.02
2004-12-30,369.87
2005-12-30,340.7
2006-12-30,299.75
2007-12-30,260.31
2008-12-30,225.07
2009-12-30,185.92
2010-12-30,248.75
2011-12-30,257.21
2012-12-30,287.3
2013-12-30,346.88
2014-12-30,336.99
2015-12-30,267.75
2016-12-30,301.43
2017-12-30,384.32
2018-12-30,456.57
2019-12-30,371.88
2020-12-30,504.71
2021-12-30,872.89
2022-12-30,724.68
2023-12-30,454.84
2024-12-30,530.57
2025-12-30,593.93
