date,value
1960-12-30,0.0907
1961-12-30,0.1102
1962-12-30,0.0907
1963-12-30,0.0896
1964-12-30,0.09
1965-12-30,0.1055
-94780800000,0.1142
-63244800000,0.0949
0967-12-04,0.0799
1967-04-06,0.0897
2966-08-06,0.1194
3965-12-07,0.1262
4968-01-03,0.1059
1973-12-30,0.2002
1974-12-30,0.3588
1975-12-30,0.2537
1976-12-30,0.1883
1977-12-30,0.2379
1978-12-30,0.2593
1979-12-30,0.2767
1980-12-30,0.2376
1981-12-30,0.2131
1982-12-30,0.1836
1983-12-30,0.2358
1984-12-30,0.3099
1985-12-30,0.2714
1986-12-30,0.1648
1987-12-30,0.1613
1988-12-30,0.238
1989-12-30,0.2029
1990-12-30,0.2292
1991-12-30,0.2031
1992-12-30,0.1927
1993-12-30,0.2292
1994-12-30,0.279
1995-12-30,0.2671
1996-12-30,0.2375
1997-12-30,0.2334
1998-12-30,0.2577
1999-12-30,0.1744
2000-12-30,0.15
2001-12-30,0.1451
2002-12-30,0.183
2003-12-30,0.2359
2004-12-30,0.2853
2005-12-30,0.2303
2006-12-30,0.2445
2007-12-30,0.3485
2008-12-30,0.4951
2009-12-30,0.3302
2010-12-30,0.3908
2011-12-30,0.5403
2012-12-30,0.5101
2013-12-30,0.45
2014-12-30,0.3683
2015-12-30,0.3064
2016-12-30,0.3299
2017-12-30,0.3354
2018-12-30,0.2993
2019-12-30,0.2932
2020-12-30,0.3127
2021-12-30,0.5775
2022-12-30,0.7311
