date,value
1962-12-30,0.0388
1963-12-30,0.0752
1964-12-30,0.0571
1965-12-30,0.0227
-94780800000,0.0193
-63244800000,0.0218
0967-12-04,0.0221
1967-04-06,0.0347
2966-08-06,0.0378
3965-12-07,0.0468
4968-01-03,0.0755
1973-12-30,0.0949
1974-12-30,0.2908
1975-12-30,0.2037
1976-12-30,0.1187
1977-12-30,0.0864
1978-12-30,0.0807
1979-12-30,0.1022
1980-12-30,0.2901
1981-12-30,0.1688
1982-12-30,0.0837
1983-12-30,0.0851
1984-12-30,0.0517
1985-12-30,0.0403
1986-12-30,0.0606
1987-12-30,0.0671
1988-12-30,0.1017
1989-12-30,0.1281
1990-12-30,0.1254
1991-12-30,0.0904
1992-12-30,0.091
1993-12-30,0.1005
1994-12-30,0.1214
1995-12-30,0.1344
1996-12-30,0.1223
1997-12-30,0.1207
1998-12-30,0.0966
1999-12-30,0.0651
2000-12-30,0.0853
2001-12-30,0.0911
2002-12-30,0.0788
2003-12-30,0.0749
2004-12-30,0.0864
2005-12-30,0.1137
2006-12-30,0.1547
2007-12-30,0.116
2008-12-30,0.1383
2009-12-30,0.1877
2010-12-30,0.2703
2011-12-30,0.2881
2012-12-30,0.2155
2013-12-30,0.1748
2014-12-30,0.1635
2015-12-30,0.132
2016-12-30,0.1826
2017-12-30,0.1583
2018-12-30,0.1225
2019-12-30,0.1235
2020-12-30,0.1288
2021-12-30,0.1788
2022-12-30,0.188
2023-12-30,0.2402
2024-12-30,0.2066
2025-12-30,0.1703
