date,value
1981-01-29,1.59
1981-02-26,1.62
1981-03-30,1.62
1981-04-29,1.69
1981-05-28,1.75
1981-06-29,1.75
1981-07-30,1.78
1981-08-30,1.77
1981-09-29,1.77
1981-10-29,1.77
1981-11-29,1.72
1981-12-30,1.75
1982-01-28,1.8
1982-02-25,1.84
1982-03-30,1.87
1982-04-29,1.83
1982-05-27,1.83
1982-06-29,1.94
1982-07-29,1.93
1982-08-30,1.95
1982-09-29,1.97
1982-10-28,2
1982-11-29,1.99
1982-12-30,1.93
1983-01-30,1.95
1983-02-27,1.97
1983-03-30,2
1983-04-28,1.99
1983-05-30,2
1983-06-29,1.99
1983-07-28,2
1983-08-30,1.99
1983-09-29,1.98
1983-10-30,1.98
1983-11-29,1.99
1983-12-29,1.99
1984-01-30,2.08
1984-02-28,2.05
1984-03-29,2.06
1984-04-29,2.13
1984-05-30,2.22
1984-06-28,2.25
1984-07-30,2.34
1984-08-30,2.42
1984-09-27,2.57
1984-10-30,2.65
1984-11-29,2.8
1984-12-30,2.8
1985-01-30,2.82
1985-02-27,2.84
1985-03-28,2.83
1985-04-29,2.86
1985-05-30,2.85
1985-06-27,2.89
1985-07-30,2.89
1985-08-29,2.92
1985-09-29,2.98
1985-10-30,3.21
1985-11-28,3.21
1985-12-30,3.21
1986-01-30,3.21
1986-02-27,3.22
1986-03-30,3.23
1986-04-29,3.2
1986-05-29,3.22
1986-06-29,3.21
1986-07-30,3.71
1986-08-28,3.71
1986-09-29,3.72
1986-10-30,3.73
1986-11-27,3.73
1986-12-30,3.73
1987-01-29,3.73
1987-02-26,3.73
1987-03-30,3.73
1987-04-29,3.73
1987-05-28,3.73
1987-06-29,3.73
1987-07-30,3.73
1987-08-30,3.73
1987-09-29,3.73
1987-10-29,3.73
1987-11-29,3.73
1987-12-30,3.73
1988-01-28,3.73
1988-02-28,3.73
1988-03-30,3.73
1988-04-28,3.73
1988-05-30,3.73
1988-06-29,3.73
1988-07-28,3.73
1988-08-30,3.73
1988-09-29,3.73
1988-10-30,3.73
1988-11-29,3.73
1988-12-29,3.73
1989-01-30,3.73
1989-02-27,3.73
1989-03-30,3.73
1989-04-27,3.73
1989-05-30,3.73
1989-06-29,3.73
1989-07-30,3.73
1989-08-30,3.73
1989-09-28,3.73
1989-10-30,3.73
1989-11-29,3.73
1989-12-28,4.73
1990-01-30,4.73
1990-02-27,4.73
1990-03-29,4.73
1990-04-29,4.73
1990-05-30,4.73
1990-06-28,4.73
1990-07-30,4.73
1990-08-30,4.73
1990-09-27,4.73
1990-10-30,4.73
1990-11-29,5.24
1990-12-30,5.24
1991-01-30,5.24
1991-02-27,5.24
1991-03-28,5.24
1991-04-28,5.3
1991-05-30,5.35
1991-06-27,5.37
1991-07-30,5.36
1991-08-29,5.39
1991-09-26,5.39
1991-10-30,5.39
1991-11-28,5.41
1991-12-30,5.45
1992-01-30,5.47
1992-02-27,5.48
1992-03-30,5.48
1992-04-29,5.52
1992-05-28,5.5
1992-06-29,5.48
1992-07-30,5.43
1992-08-30,5.42
1992-09-29,5.51
1992-10-25,5.57
1992-11-29,5.73
1992-12-30,5.77
1993-01-28,5.79
1993-02-25,5.75
1993-03-30,5.73
1993-04-25,5.71
1993-05-27,5.74
1993-06-29,5.78
1993-07-29,5.78
1993-08-30,5.81
1993-09-29,5.8
1993-10-28,5.8
1993-11-29,5.82
1993-12-30,5.81
1994-01-30,8.72
1994-02-27,8.73
1994-03-30,8.73
1994-04-28,8.72
1994-05-30,8.68
1994-06-29,8.67
1994-07-28,8.64
1994-08-30,8.58
1994-09-29,8.55
1994-10-30,8.55
1994-11-29,8.53
1994-12-29,8.47
1995-01-30,8.46
1995-02-27,8.45
1995-03-30,8.45
1995-04-27,8.43
1995-05-30,8.33
1995-06-29,8.32
1995-07-30,8.32
1995-08-30,8.33
1995-09-28,8.34
1995-10-30,8.33
1995-11-29,8.33
1995-12-28,8.34
1996-01-30,8.33
1996-02-28,8.34
1996-03-28,8.35
1996-04-29,8.35
1996-05-30,8.35
1996-06-27,8.34
1996-07-30,8.34
1996-08-29,8.34
1996-09-29,8.33
1996-10-30,8.33
1996-11-28,8.33
1996-12-30,8.33
1997-01-30,8.32
1997-02-27,8.33
1997-03-30,8.33
1997-04-29,8.32
1997-05-29,8.32
1997-06-29,8.32
1997-07-30,8.29
1997-08-28,8.32
1997-09-29,8.31
1997-10-30,8.31
1997-11-27,8.31
1997-12-30,8.31
1998-01-29,8.31
1998-02-26,8.31
1998-03-30,8.28
1998-04-29,8.31
1998-05-28,8.31
1998-06-29,8.31
1998-07-30,8.31
1998-08-30,8.31
1998-09-29,8.28
1998-10-29,8.28
1998-11-29,8.28
1998-12-30,8.28
1999-01-28,8.28
1999-02-25,8.28
1999-03-30,8.28
1999-04-29,8.28
1999-05-27,8.28
1999-06-29,8.28
1999-07-29,8.28
1999-08-30,8.28
1999-09-29,8.28
1999-10-28,8.28
1999-11-29,8.28
1999-12-30,8.28
2000-01-30,8.28
2000-02-28,8.28
2000-03-30,8.28
2000-04-27,8.28
2000-05-30,8.28
2000-06-29,8.28
2000-07-30,8.28
2000-08-30,8.28
2000-09-28,8.28
2000-10-30,8.28
2000-11-29,8.28
2000-12-28,8.28
2001-01-30,8.28
2001-02-27,8.28
2001-03-29,8.28
2001-04-29,8.28
2001-05-30,8.28
2001-06-28,8.28
2001-07-30,8.28
2001-08-30,8.28
2001-09-27,8.28
2001-10-30,8.28
2001-11-29,8.28
2001-12-30,8.28
2002-01-30,8.28
2002-02-27,8.28
2002-03-28,8.28
2002-04-29,8.28
2002-05-30,8.28
2002-06-27,8.28
2002-07-30,8.28
2002-08-29,8.28
2002-09-29,8.28
2002-10-30,8.28
2002-11-28,8.28
2002-12-30,8.28
2003-01-30,8.28
2003-02-27,8.28
2003-03-30,8.28
2003-04-29,8.28
2003-05-29,8.28
2003-06-29,8.28
2003-07-30,8.28
2003-08-28,8.28
2003-09-29,8.28
2003-10-30,8.28
2003-11-27,8.28
2003-12-30,8.28
2004-01-29,8.28
2004-02-26,8.28
2004-03-30,8.28
2004-04-29,8.28
2004-05-27,8.28
2004-06-29,8.28
2004-07-29,8.28
2004-08-30,8.28
2004-09-29,8.28
2004-10-28,8.28
2004-11-29,8.28
2004-12-30,8.28
2005-01-30,8.28
2005-02-27,8.28
2005-03-30,8.28
2005-04-28,8.28
2005-05-30,8.28
2005-06-29,8.28
2005-07-28,8.11
2005-08-30,8.1
2005-09-29,8.09
