date,value
1999-01-28,1.1357
1999-02-25,1.1026
1999-03-30,1.0766
1999-04-29,1.058
1999-05-27,1.041
1999-06-29,1.0338
1999-07-29,1.0697
1999-08-30,1.0573
1999-09-29,1.0695
1999-10-28,1.0541
1999-11-29,1.0089
1999-12-30,1.0088
2000-01-30,0.9688
2000-02-28,0.9645
2000-03-30,0.9554
2000-04-27,0.9113
2000-05-30,0.9373
2000-06-29,0.9525
2000-07-30,0.926
2000-08-30,0.8877
2000-09-28,0.8831
2000-10-30,0.8485
2000-11-29,0.8726
2000-12-28,0.9422
2001-01-30,0.9368
2001-02-27,0.9232
2001-03-29,0.8759
2001-04-29,0.8868
2001-05-30,0.8458
2001-06-28,0.8493
2001-07-30,0.8756
2001-08-30,0.9125
2001-09-27,0.9112
2001-10-30,0.8996
2001-11-29,0.8964
2001-12-30,0.8898
2002-01-30,0.8582
2002-02-27,0.8688
2002-03-27,0.8704
2002-04-29,0.8999
2002-05-30,0.9338
2002-06-27,0.9916
2002-07-30,0.9771
2002-08-29,0.9821
2002-09-29,0.9874
2002-10-30,0.99
2002-11-28,0.9949
2002-12-30,1.0487
2003-01-30,1.0766
2003-02-27,1.0804
2003-03-30,1.0915
2003-04-29,1.1171
2003-05-29,1.1782
2003-06-29,1.1504
2003-07-30,1.1229
2003-08-28,1.0979
2003-09-29,1.1651
2003-10-30,1.1581
2003-11-27,1.1994
2003-12-30,1.2594
2004-01-29,1.2475
2004-02-26,1.2491
2004-03-30,1.2313
2004-04-29,1.1973
2004-05-27,1.222
2004-06-29,1.2193
2004-07-29,1.2019
2004-08-30,1.2179
2004-09-29,1.2435
2004-10-28,1.2794
2004-11-29,1.3278
2004-12-30,1.3552
2005-01-30,1.3035
2005-02-27,1.3225
2005-03-30,1.2961
2005-04-28,1.2871
2005-05-30,1.2303
2005-06-29,1.2099
2005-07-28,1.2119
2005-08-30,1.2343
2005-09-29,1.2023
2005-10-30,1.1989
2005-11-29,1.1789
2005-12-29,1.1846
2006-01-30,1.2155
2006-02-27,1.1916
2006-03-30,1.2113
2006-04-27,1.2631
2006-05-30,1.2813
2006-06-29,1.2784
2006-07-30,1.2765
2006-08-30,1.2815
2006-09-28,1.268
2006-10-30,1.2765
2006-11-29,1.3242
2006-12-28,1.32
2007-01-30,1.3032
2007-02-27,1.3228
2007-03-29,1.3354
2007-04-29,1.3643
2007-05-30,1.3453
2007-06-28,1.3541
2007-07-30,1.367
2007-08-30,1.3628
2007-09-27,1.4266
2007-10-30,1.448
2007-11-29,1.4628
2007-12-30,1.4588
2008-01-30,1.4863
2008-02-28,1.518
2008-03-30,1.5771
2008-04-29,1.5619
2008-05-29,1.5554
2008-06-29,1.5755
2008-07-30,1.5599
2008-08-28,1.4671
2008-09-29,1.4111
2008-10-30,1.2726
