date,value
1999-01-28,1.36
1999-02-25,1.35
1999-03-30,1.31
1999-04-29,1.28
1999-05-27,1.26
1999-06-29,1.27
1999-07-29,1.28
1999-08-30,1.27
1999-09-29,1.25
1999-10-28,1.23
1999-11-29,1.21
1999-12-30,1.2
2000-01-30,1.15
2000-02-28,1.16
2000-03-30,1.13
2000-04-27,1.11
2000-05-30,1.17
2000-06-29,1.17
2000-07-30,1.15
2000-08-30,1.15
2000-09-28,1.11
2000-10-30,1.09
2000-11-29,1.13
2000-12-28,1.17
2001-01-30,1.18
2001-02-27,1.17
2001-03-29,1.13
2001-04-29,1.13
2001-05-30,1.08
2001-06-28,1.09
2001-07-30,1.12
2001-08-30,1.14
2001-09-27,1.12
2001-10-30,1.12
2001-11-29,1.14
2001-12-30,1.12
2002-01-30,1.11
2002-02-27,1.11
2002-03-27,1.1
2002-04-29,1.11
2002-05-30,1.15
2002-06-27,1.16
2002-07-30,1.12
2002-08-29,1.13
2002-09-29,1.12
2002-10-30,1.13
2002-11-28,1.14
2002-12-30,1.16
2003-01-30,1.16
2003-02-27,1.21
2003-03-30,1.21
2003-04-29,1.23
2003-05-29,1.27
2003-06-29,1.22
2003-07-30,1.22
2003-08-28,1.22
2003-09-29,1.22
2003-10-30,1.19
2003-11-27,1.22
2003-12-30,1.24
2004-01-29,1.19
2004-02-26,1.16
2004-03-30,1.15
2004-04-29,1.15
2004-05-27,1.14
2004-06-29,1.14
2004-07-29,1.13
2004-08-30,1.15
2004-09-29,1.17
2004-10-28,1.18
2004-11-29,1.17
2004-12-30,1.2
2005-01-30,1.17
2005-02-27,1.16
2005-03-30,1.14
2005-04-28,1.12
2005-05-30,1.12
2005-06-29,1.12
2005-07-28,1.14
2005-08-30,1.12
2005-09-29,1.11
2005-10-30,1.1
2005-11-29,1.11
2005-12-29,1.13
2006-01-30,1.11
2006-02-27,1.1
2006-03-30,1.13
2006-04-27,1.11
2006-05-30,1.09
2006-06-29,1.1
2006-07-30,1.08
2006-08-30,1.06
2006-09-28,1.08
2006-10-30,1.07
2006-11-29,1.08
2006-12-28,1.08
2007-01-30,1.06
2007-02-27,1.07
2007-03-29,1.07
2007-04-29,1.07
2007-05-30,1.05
2007-06-28,1.04
2007-07-30,1.04
2007-08-30,1.05
2007-09-27,1.08
2007-10-30,1.07
2007-11-29,1.09
2007-12-30,1.13
2008-01-30,1.14
2008-02-28,1.16
2008-03-30,1.2
2008-04-29,1.18
2008-05-29,1.17
2008-06-29,1.17
2008-07-30,1.15
2008-08-28,1.19
2008-09-29,1.17
2008-10-30,1.18
2008-11-27,1.25
2008-12-30,1.47
2009-01-29,1.35
2009-02-26,1.35
2009-03-30,1.4
2009-04-29,1.35
2009-05-28,1.32
2009-06-29,1.27
2009-07-30,1.28
2009-08-30,1.31
2009-09-29,1.37
2009-10-29,1.34
2009-11-29,1.36
2009-12-30,1.32
2010-01-28,1.29
2010-02-25,1.33
2010-03-30,1.32
2010-04-29,1.29
2010-05-27,1.25
2010-06-29,1.21
2010-07-29,1.23
2010-08-30,1.22
2010-09-29,1.28
2010-10-28,1.28
2010-11-29,1.23
2010-12-30,1.26
2011-01-30,1.25
2011-02-27,1.24
2011-03-30,1.27
2011-04-28,1.27
2011-05-30,1.25
2011-06-29,1.29
2011-07-28,1.25
2011-08-30,1.26
2011-09-29,1.22
2011-10-30,1.23
2011-11-29,1.22
2011-12-29,1.19
2012-01-30,1.18
2012-02-28,1.19
2012-03-29,1.17
2012-04-29,1.14
2012-05-30,1.13
2012-06-28,1.13
2012-07-30,1.1
2012-08-30,1.11
2012-09-27,1.11
2012-10-30,1.12
2012-11-29,1.14
2012-12-30,1.14
2013-01-30,1.2
2013-02-27,1.2
2013-03-27,1.17
2013-04-29,1.18
2013-05-30,1.18
2013-06-27,1.18
2013-07-30,1.21
2013-08-29,1.18
2013-09-29,1.15
2013-10-30,1.17
2013-11-28,1.15
2013-12-30,1.15
2014-01-30,1.13
2014-02-27,1.13
2014-03-30,1.13
2014-04-29,1.12
2014-05-29,1.1
2014-06-29,1.08
2014-07-30,1.07
2014-08-28,1.07
2014-09-29,1.06
2014-10-30,1.06
2014-11-27,1.09
2014-12-30,1.07
2015-01-29,1.03
2015-02-26,1
2015-03-30,0.99
2015-04-29,1
2015-05-28,0.97
2015-06-29,0.96
2015-07-30,0.95
2015-08-30,0.99
2015-09-29,1
2015-10-29,0.97
2015-11-29,0.95
2015-12-30,1.01
2016-01-28,1.04
2016-02-28,1.06
2016-03-30,1.07
2016-04-28,1.06
2016-05-30,1.03
2016-06-29,1.12
2016-07-28,1.13
2016-08-30,1.14
2016-09-29,1.16
2016-10-30,1.2
2016-11-29,1.13
2016-12-29,1.14
2017-01-30,1.14
2017-02-27,1.13
2017-03-30,1.12
2017-04-27,1.11
2017-05-30,1.15
2017-06-29,1.15
2017-07-30,1.18
2017-08-30,1.21
2017-09-28,1.15
2017-10-30,1.15
2017-11-29,1.15
2017-12-28,1.16
2018-01-30,1.14
2018-02-27,1.15
2018-03-30,1.14
2018-04-29,1.13
2018-05-30,1.13
2018-06-29,1.13
2018-07-30,1.14
2018-08-30,1.15
2018-09-28,1.14
2018-10-30,1.13
2018-11-29,1.13
2018-12-30,1.16
2019-01-30,1.12
2019-02-27,1.09
2019-03-29,1.09
2019-04-29,1.09
2019-05-30,1.12
2019-06-28,1.13
2019-07-30,1.15
2019-08-30,1.14
2019-09-29,1.11
2019-10-30,1.08
2019-11-29,1.07
2019-12-30,1.06
2020-01-30,1.05
2020-02-28,1.07
2020-03-30,1.11
2020-04-29,1.09
2020-05-29,1.13
2020-06-29,1.13
2020-07-30,1.12
2020-08-30,1.11
2020-09-29,1.12
2020-10-30,1.12
2020-11-29,1.11
2020-12-30,1.11
2021-01-29,1.09
2021-02-26,1.06
2021-03-30,1.04
2021-04-29,1.05
2021-05-30,1.03
2021-06-29,1.02
2021-07-30,1.01
2021-08-30,1.01
2021-09-29,1.01
2021-10-29,0.99
2021-11-29,0.99
2021-12-30,0.97
2022-01-30,0.96
2022-02-27,0.95
2022-03-30,0.95
2022-04-29,0.94
2022-05-30,0.94
2022-06-29,0.94
2022-07-29,0.91
2022-08-30,0.94
2022-09-29,0.95
2022-10-30,0.93
2022-11-29,0.94
2022-12-30,0.96
2023-01-30,0.95
2023-02-27,0.94
2023-03-30,0.94
2023-04-28,0.94
2023-05-30,0.91
2023-06-29,0.91
2023-07-30,0.9
2023-08-30,0.9
2023-09-29,0.91
2023-10-30,0.91
2023-11-29,0.91
2023-12-30,0.91
2024-01-30,0.89
2024-02-28,0.89
