date,value
3965-12-07,2.44
4968-01-03,2.5
1973-12-30,2.45
1974-12-30,2.34
1975-12-30,2.22
1976-12-30,1.8
1977-12-30,1.75
1978-12-30,1.92
1979-12-30,2.12
1980-12-30,2.33
1981-12-30,2.02
1982-12-30,1.75
1983-12-30,1.52
1984-12-30,1.34
1985-12-30,1.3
1986-12-30,1.47
1987-12-30,1.64
1988-12-30,1.78
1989-12-30,1.64
1990-12-30,1.78
1991-12-30,1.77
1992-12-30,1.77
1993-12-30,1.5
1994-12-30,1.53
1995-12-30,1.58
1996-12-30,1.56
1997-12-30,1.64
1998-12-30,1.66
1999-12-30,1.62
2000-12-30,1.52
2001-12-30,1.44
2002-12-30,1.5
2003-12-30,1.63
2004-12-30,1.83
2005-12-30,1.82
2006-12-30,1.84
2007-12-30,2
2008-12-30,1.85
2009-12-30,1.57
2010-12-30,1.55
2011-12-30,1.6
2012-12-30,1.59
2013-12-30,1.56
2014-12-30,1.65
2015-12-30,1.53
2016-12-30,1.35
2017-12-30,1.29
2018-12-30,1.33
2019-12-30,1.28
2020-12-30,1.28
2021-12-30,1.38
2022-12-30,1.24
2023-12-30,1.25
2024-12-30,1.28
2025-12-30,1.32
