date,value
1991-01-30,258.33
1991-02-27,254.31
1991-03-27,245.81
1991-04-29,235.73
1991-05-30,234.7
1991-06-27,222.73
1991-07-30,231.35
1991-08-29,229.88
1991-09-29,232.46
1991-10-30,227.64
1991-11-28,229.57
1991-12-30,232.66
1992-01-30,224.29
1992-02-27,227.38
1992-03-30,230.45
1992-04-29,236.52
1992-05-28,232.7
1992-06-29,239.15
1992-07-30,244.67
1992-08-30,244.65
1992-09-29,213.95
1992-10-29,192.01
1992-11-29,188.96
1992-12-30,188.46
1993-01-28,185.25
1993-02-25,168.5
1993-03-30,173.7
1993-04-29,174.67
1993-05-27,166.76
1993-06-29,159.84
1993-07-29,155.24
1993-08-30,156.27
1993-09-29,158.93
1993-10-28,160.71
1993-11-29,161.91
1993-12-30,165.1
1994-01-30,163.69
1994-02-27,155.38
1994-03-30,152.33
1994-04-28,154.03
1994-05-30,158.25
1994-06-29,152.03
1994-07-28,154.23
1994-08-30,153.69
1994-09-29,156.19
1994-10-30,158.42
1994-11-29,154.69
1994-12-29,156.18
1995-01-30,157.45
1995-02-27,153.08
1995-03-30,140.42
1995-04-27,135.67
1995-05-30,134.15
1995-06-29,134.9
1995-07-30,140.93
1995-08-30,150.86
1995-09-28,157.66
1995-10-30,161.28
1995-11-29,156.48
1995-12-28,160.48
1996-01-30,161.95
1996-02-28,161.08
1996-03-28,163.64
1996-04-29,158.34
1996-05-30,167.56
1996-06-27,170.12
1996-07-30,166.23
1996-08-29,169.96
1996-09-29,174.31
1996-10-30,185.54
1996-11-28,191.47
1996-12-30,198.75
1997-01-30,194.4
1997-02-27,195.92
1997-03-30,203.04
1997-04-29,206.4
1997-05-29,190.72
1997-06-29,190.74
1997-07-30,194.68
1997-08-28,195.83
1997-09-29,194.68
1997-10-30,201.44
1997-11-27,215.44
1997-12-30,215.2
1998-01-29,207.32
1998-02-26,207.35
1998-03-30,222.78
1998-04-29,221.81
1998-05-28,226.71
1998-06-29,231.55
1998-07-30,236.12
1998-08-30,235.92
1998-09-29,232.03
1998-10-29,194.44
1998-11-29,203.2
1998-12-30,189.4
1999-01-28,191.37
1999-02-25,190.87
1999-03-30,191.43
1999-04-29,192.08
1999-05-27,194.51
1999-06-29,191.12
1999-07-29,185.84
1999-08-30,175.86
1999-09-29,174.98
1999-10-28,171.2
1999-11-29,163.05
1999-12-30,165.05
2000-01-30,173.41
2000-02-28,173.85
2000-03-30,163.88
2000-04-27,167.68
2000-05-30,161.67
2000-06-29,160.83
2000-07-30,164.01
2000-08-30,154.26
2000-09-28,159.46
2000-10-30,157.84
2000-11-29,157.29
2000-12-28,170.71
2001-01-30,170.55
2001-02-27,169.51
2001-03-29,178.82
2001-04-29,176.77
2001-05-30,169.06
2001-06-28,176.58
2001-07-30,178.12
2001-08-30,172.58
2001-09-27,176.05
2001-10-30,178.09
2001-11-29,175.73
2001-12-30,191.47
2002-01-30,189.8
2002-02-27,189.09
2002-03-27,189.09
2002-04-29,187.41
2002-05-30,180.9
2002-06-27,183.38
2002-07-30,187.42
2002-08-29,183.53
2002-09-29,190.93
2002-10-30,191.63
2002-11-28,190.9
2002-12-30,191.4
2003-01-30,197.64
2003-02-27,185.72
2003-03-30,186.54
2003-04-29,190.24
2003-05-29,195.19
2003-06-29,198.05
2003-07-30,194.07
2003-08-28,184.38
2003-09-29,185.23
2003-10-30,186.62
2003-11-27,188.71
2003-12-30,191.27
2004-01-29,192.8
2004-02-26,203.94
2004-03-30,192.45
2004-04-29,196.49
2004-05-27,201.92
2004-06-29,197.83
2004-07-29,202.56
2004-08-30,196.7
2004-09-29,199.34
2004-10-28,194.32
2004-11-29,196.74
2004-12-30,196.85
2005-01-30,195.19
2005-02-27,200.93
2005-03-30,202.51
2005-04-28,199.91
2005-05-30,197.25
2005-06-29,198.55
2005-07-28,197.69
2005-08-30,199.53
2005-09-29,200.17
2005-10-30,205.99
2005-11-29,207.17
2005-12-29,202.85
2006-01-30,208.42
2006-02-27,202.99
2006-03-30,204.48
2006-04-27,207.65
2006-05-30,210.54
2006-06-29,211.49
2006-07-30,214.09
2006-08-30,223.58
2006-09-28,221.06
2006-10-30,222.96
2006-11-29,227.62
2006-12-28,233.01
2007-01-30,237.51
2007-02-27,232.67
2007-03-29,231.86
2007-04-29,238.79
2007-05-30,241.07
2007-06-28,247.42
2007-07-30,240.3
2007-08-30,233.29
2007-09-27,234.88
2007-10-30,240.03
2007-11-29,228.65
2007-12-30,221.35
2008-01-30,211.75
2008-02-28,206.25
2008-03-30,198.11
2008-04-29,206.35
2008-05-29,209.12
2008-06-29,211.38
2008-07-30,213.87
2008-08-28,198.12
2008-09-29,188.95
2008-10-30,158.17
2008-11-27,146.86
2008-12-30,132.46
2009-01-29,130.5
2009-02-26,139.5
2009-03-30,141.53
2009-04-29,145.73
2009-05-28,154.2
2009-06-29,158.62
2009-07-30,158.25
2009-08-30,151.44
2009-09-29,143.65
2009-10-29,148.09
2009-11-29,141.92
