date,value
1991-01-30,619.07
1991-02-27,608.53
1991-03-27,587.32
1991-04-29,562.41
1991-05-30,558.3
1991-06-27,528.26
1991-07-30,547.9
1991-08-29,542.83
1991-09-29,546.52
1991-10-30,534.41
1991-11-28,537.38
1991-12-30,544.21
1992-01-30,523.88
1992-02-27,529.18
1992-03-30,533.63
1992-04-29,546.9
1992-05-28,537.29
1992-06-29,550.22
1992-07-30,561.72
1992-08-30,560.07
1992-09-29,488.41
1992-10-29,436.78
1992-11-29,429.23
1992-12-30,428.4
1993-01-28,419.04
1993-02-25,379.82
1993-03-30,390.17
1993-04-29,391.26
1993-05-27,373.03
1993-06-29,357.05
1993-07-29,346.78
1993-08-30,348.11
1993-09-29,353.31
1993-10-28,355.79
1993-11-29,358.2
1993-12-30,365.26
1994-01-30,361.15
1994-02-27,341.65
1994-03-30,333.8
1994-04-28,337.07
1994-05-30,346.07
1994-06-29,331.34
1994-07-28,335.23
1994-08-30,332.71
1994-09-29,337.22
1994-10-30,341.81
1994-11-29,333.31
1994-12-29,336.52
1995-01-30,337.91
1995-02-27,327.22
1995-03-30,299.17
1995-04-27,288.1
1995-05-30,284.31
1995-06-29,285.33
1995-07-30,298.09
1995-08-30,318.26
1995-09-28,331.95
1995-10-30,338.47
1995-11-29,328.61
1995-12-28,337.23
1996-01-30,338.33
1996-02-28,335.43
1996-03-28,339.01
1996-04-29,326.77
1996-05-30,345.14
1996-06-27,350.19
1996-07-30,341.52
1996-08-29,348.52
1996-09-29,356.31
1996-10-30,378.07
1996-11-28,389.41
1996-12-30,404.22
1997-01-30,394.13
1997-02-27,395.97
1997-03-30,409.33
1997-04-29,415.58
1997-05-29,384.25
1997-06-29,383.81
1997-07-30,391.25
1997-08-28,392.83
1997-09-29,389.55
1997-10-30,402.08
1997-11-27,430.29
1997-12-30,430.35
1998-01-29,413.82
1998-02-26,413.11
1998-03-30,443.03
1998-04-29,440.29
1998-05-28,449.19
1998-06-29,458.21
1998-07-30,466.69
1998-08-30,465.72
1998-09-29,457.48
1998-10-29,382.43
1998-11-29,399.66
1998-12-30,372.75
1999-01-28,375.71
1999-02-25,374.27
1999-03-30,374.23
1999-04-29,372.79
1999-05-27,377.51
1999-06-29,370.93
1999-07-29,359.6
1999-08-30,339.47
1999-09-29,336.16
1999-10-28,328.31
1999-11-29,312.5
1999-12-30,316.33
2000-01-30,331.37
2000-02-28,330.25
2000-03-30,308.77
2000-04-27,315.74
2000-05-30,304.07
2000-06-29,300.91
2000-07-30,306.15
2000-08-30,287.95
2000-09-28,296.12
2000-10-30,292.6
2000-11-29,291.42
2000-12-28,316.46
2001-01-30,314.18
2001-02-27,311.02
2001-03-29,327.36
2001-04-29,322.32
2001-05-30,306.88
2001-06-28,319.99
2001-07-30,323.69
2001-08-30,313.62
2001-09-27,318.49
2001-10-30,323.27
2001-11-29,319.52
2001-12-30,349.52
2002-01-30,345.69
2002-02-27,343.04
2002-03-27,341.12
2002-04-29,336.21
2002-05-30,324.53
2002-06-27,328.8
2002-07-30,335.67
2002-08-29,327.61
2002-09-29,340.26
2002-10-30,340.94
2002-11-28,339.64
2002-12-30,341.28
2003-01-30,350.86
2003-02-27,327.18
2003-03-30,326.66
2003-04-29,333.86
2003-05-29,343.11
2003-06-29,347.76
2003-07-30,340.4
2003-08-28,322.18
2003-09-29,322.61
2003-10-30,325.39
2003-11-27,329.92
2003-12-30,334.76
2004-01-29,335.8
2004-02-26,353.29
2004-03-30,331.25
2004-04-29,337.13
2004-05-27,344.43
2004-06-29,336.39
2004-07-29,344.97
2004-08-30,334.82
2004-09-29,338.6
2004-10-28,328.34
2004-11-29,332.25
2004-12-30,333.66
2005-01-30,330.16
2005-02-27,337.92
2005-03-30,337.93
2005-04-28,331.36
2005-05-30,327.29
2005-06-29,329.28
2005-07-28,326.34
2005-08-30,327.7
2005-09-29,324.78
2005-10-30,333.56
2005-11-29,338.18
2005-12-29,332.48
2006-01-30,339.02
2006-02-27,329.53
2006-03-30,330.12
2006-04-27,332.41
2006-05-30,335.37
2006-06-29,336.22
2006-07-30,339.35
2006-08-30,353.69
2006-09-28,351.43
2006-10-30,356.38
2006-11-29,364.37
2006-12-28,372.45
2007-01-30,378.49
2007-02-27,368.8
2007-03-29,364.2
2007-04-29,372.66
2007-05-30,373.94
2007-06-28,383.04
2007-07-30,372.12
2007-08-30,361.92
2007-09-27,363.39
2007-10-30,370.56
2007-11-29,350.91
2007-12-30,339.94
2008-01-30,323.58
2008-02-28,314.27
2008-03-30,299.27
2008-04-29,309.84
2008-05-29,311.38
2008-06-29,311.6
2008-07-30,313.62
2008-08-28,291.69
2008-09-29,278.58
2008-10-30,235.58
2008-11-27,223
2008-12-30,203.24
2009-01-29,199.36
2009-02-26,212.06
2009-03-30,214.62
2009-04-29,220.44
2009-05-28,232.58
2009-06-29,237.21
2009-07-30,237.03
2009-08-30,226.33
2009-09-29,214.55
2009-10-29,220.97
2009-11-29,211.61
2009-12-30,224.23
2010-01-28,215
2010-02-25,201.46
2010-03-30,210.26
2010-04-29,211.92
2010-05-27,194.69
2010-06-29,195.37
2010-07-29,200.58
2010-08-30,190.73
2010-09-29,193.61
2010-10-28,190.15
2010-11-29,191.81
2010-12-30,186.36
2011-01-30,192.49
2011-02-27,193.73
2011-03-30,192.47
2011-04-28,194.45
2011-05-30,191.24
2011-06-29,184.73
2011-07-28,180.15
2011-08-30,177.18
2011-09-29,170.79
2011-10-30,179.07
2011-11-29,173.49
2011-12-29,170.85
2012-01-30,170.85
2012-02-28,183.01
2012-03-29,186.55
2012-04-29,181.59
2012-05-30,169.33
2012-06-28,176.21
2012-07-30,172.4
2012-08-30,173.97
2012-09-27,175.45
2012-10-30,179.51
2012-11-29,185.03
2012-12-30,197.72
2013-01-30,203.36
2013-02-27,195.16
2013-03-27,198.2
2013-04-29,209.82
2013-05-30,211.28
2013-06-27,208.31
2013-07-30,205.57
2013-08-29,209.87
2013-09-29,218.93
2013-10-30,217.85
2013-11-28,231.97
2013-12-30,241.65
2014-01-30,231.36
2014-02-27,234.19
2014-03-30,234.75
2014-04-29,234.65
2014-05-29,231.07
2014-06-29,234.55
2014-07-30,234.98
2014-08-28,234.16
2014-09-29,240.85
2014-10-30,244.07
2014-11-27,253.42
2014-12-30,256.06
2015-01-29,244.09
2015-02-26,253.45
2015-03-30,243.11
2015-04-29,249.91
2015-05-28,257.5
2015-06-29,260.15
2015-07-30,261.63
2015-08-30,251.77
2015-09-29,245.84
2015-10-29,252.38
2015-11-29,251.9
2015-12-30,241.62
2016-01-28,234.95
2016-02-28,213.35
2016-03-30,218.97
2016-04-28,209.78
2016-05-30,215.3
2016-06-29,183.84
2016-07-28,180.93
2016-08-30,181.99
2016-09-29,175.68
2016-10-30,171.23
2016-11-29,191.32
2016-12-29,193.06
2017-01-30,188.47
2017-02-27,184.85
2017-03-30,184.97
2017-04-27,190.45
2017-05-30,188.2
2017-06-29,192.77
2017-07-30,191.99
2017-08-30,186.81
2017-09-28,197.02
2017-10-30,197.38
2017-11-29,199.03
2017-12-28,199.18
2018-01-30,201.66
2018-02-27,189.96
2018-03-30,192.48
2018-04-29,193.8
2018-05-30,185.3
2018-06-29,187.08
2018-07-30,187.77
2018-08-30,184.11
2018-09-28,189.28
2018-10-30,184.01
2018-11-29,185.39
2018-12-30,179.46
2019-01-30,182.82
2019-02-27,188.49
2019-03-29,183.52
2019-04-29,183.32
2019-05-30,172.35
2019-06-28,172.49
2019-07-30,166.25
2019-08-30,162.48
2019-09-29,166.86
2019-10-30,175.1
2019-11-29,177.5
2019-12-30,180.91
2020-01-30,178.83
2020-02-28,172.86
2020-03-30,166.89
2020-04-29,169.53
2020-05-29,167.41
2020-06-29,167.41
2020-07-30,172.41
2020-08-30,175.64
2020-09-29,168.9
2020-10-30,167.82
2020-11-29,172.41
2020-12-30,175.01
2021-01-29,177.06
2021-02-26,182.05
2021-03-30,185.92
2021-04-29,182.4
2021-05-30,186.53
2021-06-29,182.42
2021-07-30,180.2
2021-08-30,178.38
2021-09-29,176.52
2021-10-29,181.85
2021-11-29,174.65
2021-12-30,180.05
2022-01-30,177.64
2022-02-27,175.44
2022-03-30,179.56
2022-04-29,182.07
2022-05-30,179.14
2022-06-29,179.77
2022-07-29,176.62
2022-08-30,175.85
2022-09-29,175.74
2022-10-30,184.58
2022-11-29,180.42
2022-12-30,172.39
2023-01-30,172.73
2023-02-27,175.72
2023-03-30,175.17
2023-04-28,182.17
2023-05-30,183.66
2023-06-29,193.45
2023-07-30,192.74
2023-08-30,193.68
2023-09-29,190.94
2023-10-30,192.74
2023-11-29,196.41
2023-12-30,188.79
2024-01-30,194.91
2024-02-28,196.97
2024-03-30,197.59
2024-04-29,202.66
2024-05-30,205.7
2024-06-29,208.96
2024-07-30,197.39
2024-08-30,196.68
2024-09-29,196.65
2024-10-30,200.24
2024-11-29,195.03
2024-12-30,201.76
2025-01-30,195.43
2025-02-27,191.42
2025-03-30,195.37
2025-04-29,191.59
2025-05-30,194.57
2025-06-29,197.65
2025-07-30,198.78
2025-08-29,197.73
2025-09-29,197.49
2025-10-30,202.27
2025-11-28,206.94
