date,value
2006-01-30,161.74
2006-02-27,161.97
2006-03-30,162.35
2006-04-27,157.12
2006-05-30,155.75
2006-06-29,156.2
2006-07-30,155.35
2006-08-30,154.49
2006-09-28,155.98
2006-10-30,155.68
2006-11-29,154.61
2006-12-28,155.1
2007-01-30,156.12
2007-02-27,154.14
2007-03-29,151.3
2007-04-29,148.02
2007-05-30,146.33
2007-06-28,145.77
2007-07-30,144.7
2007-08-30,145.34
2007-09-27,140.74
2007-10-30,137.67
2007-11-29,137.58
2007-12-30,137.69
2008-01-30,135.51
2008-02-28,132.86
2008-03-30,130.99
2008-04-29,130.51
2008-05-29,128.92
2008-06-29,127.94
2008-07-30,127.41
2008-08-28,132.62
2008-09-29,136.22
2008-10-30,148.57
2008-11-27,154.33
2008-12-30,151.36
2009-01-29,155.98
2009-02-26,159.5
2009-03-30,155.25
2009-04-29,151.43
2009-05-28,143.73
2009-06-29,144.17
2009-07-30,141.22
2009-08-30,141.45
2009-09-29,139.23
2009-10-29,138.25
2009-11-29,136.29
2009-12-30,138.83
2010-01-28,139.61
2010-02-25,139.41
2010-03-30,137.71
2010-04-29,137.39
2010-05-27,142.38
2010-06-29,142.05
2010-07-29,138.03
2010-08-30,139.96
2010-09-29,134.9
2010-10-28,132.9
2010-11-29,135.86
2010-12-29,133.22
2011-01-30,131.39
2011-02-27,129.65
2011-03-30,127.09
2011-04-28,122.8
2011-05-30,123.72
2011-06-29,123.6
2011-07-28,122.43
2011-08-30,123.58
2011-09-29,130.81
2011-10-30,127.11
2011-11-29,130.45
2011-12-29,132.13
2012-01-30,128.88
2012-02-28,127.18
2012-03-29,127.22
2012-04-29,126.7
2012-05-30,132.91
2012-06-28,130.62
2012-07-30,130.73
2012-08-30,129.07
2012-09-27,126.63
2012-10-30,127.14
2012-11-29,127.66
2012-12-30,127.98
2013-01-30,127.2
2013-02-27,128.24
2013-03-28,127.91
2013-04-29,126.76
2013-05-30,129.62
2013-06-27,130.27
2013-07-30,129.21
2013-08-29,130.69
2013-09-29,128.02
2013-10-30,128.08
2013-11-28,129.59
2013-12-30,129.5
2014-01-30,131.25
2014-02-27,129.69
2014-03-30,128.66
2014-04-29,127.76
2014-05-29,127.14
2014-06-29,126.16
2014-07-30,127.88
2014-08-28,128.47
2014-09-29,132.16
2014-10-30,133.29
2014-11-27,136.68
2014-12-30,140.5
2015-01-29,145.71
2015-02-26,145.1
2015-03-30,146.74
2015-04-29,143.56
2015-05-28,144.77
2015-06-29,143.97
2015-07-30,147.01
2015-08-30,149.64
2015-09-29,150.91
2015-10-29,149.46
2015-11-29,152.66
2015-12-30,154.55
2016-01-28,157.33
2016-02-28,155.4
2016-03-30,148.88
2016-04-28,146.72
2016-05-30,150.96
2016-06-29,150.09
2016-07-28,149.95
2016-08-30,150.51
2016-09-29,149.99
2016-10-30,152.11
2016-11-29,157.37
2016-12-29,158.09
2017-01-30,154.37
2017-02-27,153.57
2017-03-30,151.84
2017-04-27,151.39
2017-05-30,149.29
2017-06-29,147.45
2017-07-30,144.7
2017-08-30,143.67
2017-09-28,143.86
2017-10-30,146.19
2017-11-29,144.43
2017-12-28,144.02
2018-01-30,138.95
2018-02-27,140.41
2018-03-29,138.91
2018-04-29,140.76
2018-05-30,143.58
2018-06-28,144.99
2018-07-30,144.3
2018-08-30,146.2
2018-09-27,145.44
2018-10-30,148.65
2018-11-29,148.99
2018-12-30,148.38
2019-01-30,145.42
2019-02-27,145.63
2019-03-28,145.99
2019-04-29,145.57
2019-05-30,147.03
2019-06-27,144.3
2019-07-30,145.2
2019-08-29,148.56
2019-09-29,148.18
2019-10-30,145.29
2019-11-28,146.88
2019-12-30,143.94
2020-01-30,144.71
2020-02-27,146.72
2020-03-30,153.15
2020-04-29,153.93
2020-05-28,152.18
2020-06-29,150.76
2020-07-30,145.95
2020-08-30,143.69
2020-09-29,144.96
2020-10-29,143.88
2020-11-29,140.36
2020-12-30,137.87
2021-01-28,138.04
2021-02-25,138.36
2021-03-30,138.66
2021-04-29,135.42
2021-05-27,132.75
2021-06-29,133.69
2021-07-29,133.16
2021-08-30,133.41
2021-09-29,134.84
2021-10-28,133.15
2021-11-29,134.87
2021-12-29,133.42
2022-01-30,132.64
2022-02-27,131.1
2022-03-30,129.41
2022-04-28,133.49
2022-05-30,130.49
2022-06-29,131.78
2022-07-28,132.66
2022-08-30,134.69
2022-09-29,138.72
2022-10-30,138.34
2022-11-29,133.97
2022-12-29,131.94
2023-01-30,128.26
2023-02-27,130.17
2023-03-30,127.69
2023-04-27,126.99
2023-05-30,128.58
2023-06-29,126.75
2023-07-30,124.87
2023-08-30,126.85
2023-09-28,128.66
2023-10-30,130.24
2023-11-29,126.63
2023-12-28,124.89
2024-01-30,126.31
2024-02-28,126.33
2024-03-28,125.38
2024-04-29,126.89
2024-05-30,125.8
2024-06-27,127.84
2024-07-30,127.08
2024-08-29,125.58
2024-09-29,124.33
2024-10-30,127.76
2024-11-28,129.65
2024-12-30,132.34
2025-01-30,130.65
2025-02-27,129.87
2025-03-30,128.04
2025-04-29,123.62
2025-05-29,122.53
2025-06-29,119.83
2025-07-30,121.92
2025-08-28,120.08
2025-09-29,119.73
2025-10-30,121.59
2025-11-27,121.43
