date,value
1992-12-30,8.03
1993-12-30,1.49
1994-12-30,-12.06
1995-12-30,-11.9
1996-12-30,16.31
1997-12-30,9.02
1998-12-30,-5.94
1999-12-30,15.72
2000-12-30,1.43
2001-12-30,2.89
2002-12-30,-16.81
2003-12-30,-10.34
2004-12-30,-8.02
2005-12-30,15.24
2006-12-30,-7.14
2007-12-30,-7.03
2008-12-30,-5.99
2009-12-30,-2.85
2010-12-30,-9.82
2011-12-30,0.44
2012-12-30,-2.37
2013-12-30,-2.52
2014-12-30,11.41
2015-12-30,0.8
2016-12-30,1.69
2017-12-30,-4.39
2018-12-30,0.98
2019-12-30,-1.67
2020-12-30,-7.1
2021-12-30,1.45
2022-12-30,1.4
2023-12-30,-9.03
2024-12-30,7.41
2025-12-30,-11.99
