date,value
1955-12-30,73.61
1956-12-30,20
1957-12-30,0
1958-12-30,-20.67
1959-12-30,68.07
1960-12-30,-25
1961-12-30,-16.67
1962-12-30,20
1963-12-30,8.33
1964-12-30,23.08
1965-12-30,15.75
-94780800000,7.99
-63244800000,-10
0967-12-04,-11.11
1967-04-06,25
2966-08-06,-40
3965-12-07,0
4968-01-03,83.33
1973-12-30,78.73
1974-12-30,-60.63
1975-12-30,38.76
1976-12-30,-22.35
1977-12-30,56.59
1978-12-30,66
1979-12-30,36.25
1980-12-30,48.95
1981-12-30,-40.32
1982-12-30,-14.7
1983-12-30,-11.43
1984-12-30,-11.9
1985-12-30,54
1986-12-30,6.61
1987-12-30,-51.99
1988-12-30,31.2
1989-12-30,-11.84
1990-12-30,-30.61
1991-12-30,-26.04
1992-12-30,-34.96
1993-12-30,7.14
1994-12-30,73.33
1995-12-30,-4.25
1996-12-30,32.35
1997-12-30,-6.71
1998-12-30,-30.31
1999-12-30,-1.97
2000-12-30,35.59
2001-12-30,-71.9
2002-12-30,-23.68
2003-12-30,-18.97
2004-12-30,109.57
2005-12-30,107.61
2006-12-30,26.41
2007-12-30,-40.81
2008-12-30,-95.42
2009-12-30,-64.29
2010-12-30,160
2011-12-30,-69.23
2012-12-30,125
2013-12-30,-22.22
2014-12-30,-14.29
2015-12-30,233.33
2016-12-30,175
2017-12-30,141.82
2018-12-30,80.45
2019-12-30,-35.42
2020-12-30,-94.19
2021-12-30,-22.22
2022-12-30,6085.71
2023-12-30,23.09
2024-12-30,-18.76
2025-12-30,-15.94
