date,value
1963-12-30,25.57
1964-12-30,4.18
1965-12-30,24.31
-94780800000,0.81
-63244800000,15.2
0967-12-04,12.15
1967-04-06,28.79
2966-08-06,-40.63
3965-12-07,-9.72
4968-01-03,27.35
1973-12-30,28.52
1974-12-30,0.68
1975-12-30,-16.19
1976-12-30,-21.1
1977-12-30,43.62
1978-12-30,51.43
1979-12-30,10.69
1980-12-30,18.46
1981-12-30,-3.68
1982-12-30,-34.98
1983-12-30,16.13
1984-12-30,-8.53
1985-12-30,-17.57
1986-12-30,-21.71
1987-12-30,19.33
1988-12-30,27.04
1989-12-30,-13.97
1990-12-30,-12.11
1991-12-30,-39.59
1992-12-30,-12.38
1993-12-30,0.55
1994-12-30,98.35
1995-12-30,-28.06
1996-12-30,6.37
1997-12-30,0
1998-12-30,-17.79
1999-12-30,32.01
2000-12-30,-11.04
2001-12-30,-59.21
2002-12-30,-39.17
2003-12-30,-4.55
2004-12-30,118.25
2005-12-30,59.27
2006-12-30,14.16
2007-12-30,-33.2
2008-12-30,-88.92
2009-12-30,27.03
2010-12-30,-38.3
2011-12-30,-58.62
2012-12-30,33.33
2013-12-30,-18.75
2014-12-30,92.31
2015-12-30,160
2016-12-30,24.71
2017-12-30,113.62
2018-12-30,51.88
2019-12-30,-39.54
2020-12-30,-93.71
2021-12-30,290
2022-12-30,1112.82
2023-12-30,1.27
2024-12-30,-13.15
2025-12-30,-15.38
