date,value
1973-12-30,-4.26
1974-12-30,45.56
1975-12-30,10.69
1976-12-30,-2.76
1977-12-30,-3.55
1978-12-30,-8.82
1979-12-30,-1.61
1980-12-30,22.95
1981-12-30,14.67
1982-12-30,21.51
1983-12-30,-14.83
1984-12-30,-14.61
1985-12-30,-1.32
1986-12-30,-8.67
1987-12-30,-11.68
1988-12-30,-6.61
1989-12-30,2.65
1990-12-30,6.9
1991-12-30,4.03
1992-12-30,10.85
1993-12-30,-18.18
1994-12-30,-15.38
1995-12-30,3.03
1996-12-30,2.94
1997-12-30,-4.76
1998-12-30,-23
1999-12-30,1.3
2000-12-30,-5.13
2001-12-30,36.49
2002-12-30,11.88
2003-12-30,-10.62
2004-12-30,5.94
2005-12-30,-14.02
2006-12-30,-9.78
2007-12-30,8.43
2008-12-30,34.44
2009-12-30,33.06
2010-12-30,-3.73
2011-12-30,-0.65
2012-12-30,-9.09
2013-12-30,-15
2014-12-30,-10.92
2015-12-30,-19.81
2016-12-30,-5.88
2017-12-30,-16.25
2018-12-30,-1.49
2019-12-30,-9.09
2020-12-30,66.67
2021-12-30,-30
2022-12-30,-18.57
2023-12-30,-8.77
2024-12-30,17.31
2025-12-30,36.07
