date,value
0967-12-04,-0.21
1967-04-06,-2.44
2966-08-06,-7.2
3965-12-07,1.98
4968-01-03,8.07
1973-12-30,0.85
1974-12-30,-11.04
1975-12-30,-1.05
1976-12-30,5.25
1977-12-30,2.48
1978-12-30,3.45
1979-12-30,-3.2
1980-12-30,-3
1981-12-30,-5.5
1982-12-30,-7.68
1983-12-30,10.22
1984-12-30,2.58
1985-12-30,-1.15
1986-12-30,-0.07
1987-12-30,5.3
1988-12-30,1.89
1989-12-30,-2.45
1990-12-30,-3.32
1991-12-30,-0.42
1992-12-30,1.55
1993-12-30,1.32
1994-12-30,3.16
1995-12-30,-1.78
1996-12-30,0.32
1997-12-30,1.17
1998-12-30,-3.11
1999-12-30,0.68
2000-12-30,-3.03
2001-12-30,-7.87
2002-12-30,2.26
2003-12-30,2.32
2004-12-30,3.65
2005-12-30,1.05
2006-12-30,-0.12
2007-12-30,0.64
2008-12-30,-11.53
2009-12-30,-2.72
2010-12-30,8.3
2011-12-30,1.72
2012-12-30,0.05
2013-12-30,1.1
2014-12-30,2.2
2015-12-30,-4.61
2016-12-30,-0.11
2017-12-30,3.46
2018-12-30,2.52
2019-12-30,-3.05
2020-12-30,-2.62
2021-12-30,5.18
2022-12-30,-0.71
2023-12-30,-2.99
2024-12-30,-1.29
2025-12-30,0
