date,value
-63244800000,87
0967-12-04,87.34
1967-04-06,87.42
2966-08-06,81.26
3965-12-07,79.63
4968-01-03,84.68
1973-12-30,88.3
1974-12-30,85.03
1975-12-30,75.71
1976-12-30,79.86
1977-12-30,83.41
1978-12-30,85.08
1979-12-30,84.89
1980-12-30,80.67
1981-12-30,79.67
1982-12-30,73.69
1983-12-30,74.94
1984-12-30,80.47
1985-12-30,79.3
1986-12-30,78.52
1987-12-30,81.14
1988-12-30,84.27
1989-12-30,83.7
1990-12-30,82.3
1991-12-30,79.85
1992-12-30,80.56
1993-12-30,81.39
1994-12-30,83.31
1995-12-30,83.79
1996-12-30,83.26
1997-12-30,83.98
1998-12-30,82.73
1999-12-30,81.84
2000-12-30,81.54
2001-12-30,76.2
2002-12-30,75.01
2003-12-30,76.11
2004-12-30,78.29
2005-12-30,80.29
2006-12-30,80.58
2007-12-30,80.77
2008-12-30,77.85
2009-12-30,68.46
2010-12-30,73.43
2011-12-30,76.12
2012-12-30,76.98
2013-12-30,77.33
2014-12-30,78.88
2015-12-30,77.29
2016-12-30,75.58
2017-12-30,76.82
2018-12-30,79.83
2019-12-30,78.64
2020-12-30,72.92
2021-12-30,77.7
2022-12-30,80.66
2023-12-30,77.69
2024-12-30,76.1
2025-12-30,76.01
