date,value
-63244800000,-1.06
0967-12-04,-5.41
1967-04-06,-4.1
2966-08-06,0.79
3965-12-07,-0.32
4968-01-03,-5.29
1973-12-30,-5.85
1974-12-30,-3.07
1975-12-30,6.27
1976-12-30,3.23
1977-12-30,-1.68
1978-12-30,-4.08
1979-12-30,-2.62
1980-12-30,0.42
1981-12-30,0.64
1982-12-30,12.2
1983-12-30,5.67
1984-12-30,7.83
1985-12-30,9.23
1986-12-30,8.6
1987-12-30,2.11
1988-12-30,2.39
1989-12-30,3.35
1990-12-30,9.06
1991-12-30,8.3
1992-12-30,3.03
1993-12-30,3.43
1994-12-30,-0.44
1995-12-30,-0.32
1996-12-30,0.41
1997-12-30,-2.6
1998-12-30,-3.77
1999-12-30,-3.42
2000-12-30,-7
2001-12-30,2.75
2002-12-30,3.87
2003-12-30,2.65
2004-12-30,2.01
2005-12-30,1.13
2006-12-30,0.83
2007-12-30,1.44
2008-12-30,16.78
2009-12-30,14.72
2010-12-30,9.02
2011-12-30,4.89
2012-12-30,4.15
2013-12-30,-0.28
2014-12-30,1.49
2015-12-30,1.34
2016-12-30,1.96
2017-12-30,-2.27
2018-12-30,2.71
2019-12-30,0.7
2020-12-30,18.76
2021-12-30,-4.99
2022-12-30,-1.67
2023-12-30,1.92
2024-12-30,1.52
2025-12-30,-2.19
