date,value
-94780800000,39.56
-63244800000,38.79
0967-12-04,37.42
1967-04-06,35.41
2966-08-06,35.17
3965-12-07,34.88
4968-01-03,33.94
1973-12-30,32.38
1974-12-30,31.1
1975-12-30,32.23
1976-12-30,33.48
1977-12-30,33.17
1978-12-30,32.43
1979-12-30,31.15
1980-12-30,31.31
1981-12-30,30.89
1982-12-30,33.48
1983-12-30,36.8
1984-12-30,38.44
1985-12-30,41.78
1986-12-30,45.76
1987-12-30,48.08
1988-12-30,49.27
1989-12-30,50.29
1990-12-30,53.63
1991-12-30,58.73
1992-12-30,61.75
1993-12-30,63.89
1994-12-30,64.2
1995-12-30,64.72
1996-12-30,64.5
1997-12-30,63.18
1998-12-30,61.34
1999-12-30,58.99
2000-12-30,55.61
2001-12-30,54.93
2002-12-30,56.65
2003-12-30,58.72
2004-12-30,60.12
2005-12-30,60.81
2006-12-30,61.48
2007-12-30,62.1
2008-12-30,67.14
2009-12-30,80.96
2010-12-30,88.95
2011-12-30,93.94
2012-12-30,98.37
2013-12-30,99.98
2014-12-30,101.32
2015-12-30,100.59
2016-12-30,103.96
2017-12-30,102.53
2018-12-30,103.81
2019-12-30,104.41
2020-12-30,122.38
2021-12-30,121.08
2022-12-30,118.5
2023-12-30,117.95
2024-12-30,120.71
2025-12-30,120.24
