date,value
1992-01-31,266555.01
1992-02-29,277928.1
1992-03-31,287807.65
1992-04-30,290517.32
1992-05-31,282606.69
1992-06-30,281443.08
1992-07-31,275655.73
1992-08-31,275560.23
1992-09-30,289786.25
1992-10-31,277979.44
1992-11-30,286599.65
1992-12-31,275142.72
1993-01-31,290449.16
1993-02-28,284738.7
1993-03-31,285365.68
1993-04-30,283032.74
1993-05-31,290867.82
1993-06-30,286174.6
1993-07-31,288206.47
1993-08-31,282842.2
1993-09-30,294816.77
1993-10-31,288470.86
1993-11-30,295492.87
1993-12-31,305568.08
1994-01-31,301542.86
1994-02-28,299219.15
1994-03-31,307102.58
1994-04-30,311911.02
1994-05-31,316159.91
1994-06-30,315199.05
1994-07-31,315815.36
1994-08-31,314112.67
1994-09-30,322662.41
1994-10-31,323289.29
1994-11-30,328570.5
1994-12-31,322902.23
1995-01-31,328879.69
1995-02-28,325731.22
1995-03-31,321501.37
1995-04-30,323913.13
1995-05-31,317380.99
1995-06-30,314978.17
1995-07-31,325666.36
1995-08-31,337246.79
1995-09-30,326281.89
1995-10-31,327907.62
1995-11-30,343110.34
1995-12-31,325498.31
1996-01-31,313967.01
1996-02-29,341777.93
1996-03-31,323654.78
1996-04-30,338837.35
1996-05-31,338820.79
1996-06-30,336096.23
1996-07-31,322581.51
1996-08-31,338182.11
1996-09-30,336755.31
1996-10-31,347338.81
1996-11-30,330151.15
1996-12-31,328089.75
1997-01-31,344026.67
1997-02-28,337818.14
1997-03-31,350455.88
1997-04-30,339658.14
1997-05-31,351794.73
1997-06-30,359459.57
1997-07-31,355663.62
1997-08-31,355847.61
1997-09-30,354898.94
1997-10-31,381854.3
1997-11-30,347497.98
1997-12-31,347886.83
1998-01-31,361152.76
1998-02-28,351766.49
1998-03-31,359114.61
1998-04-30,357896.09
1998-05-31,340745.13
1998-06-30,336908.24
1998-07-31,353421.44
1998-08-31,357699.64
1998-09-30,351133.22
1998-10-31,358750.77
1998-11-30,351144.75
