date,value
1992-12-30,122476.73
1993-12-30,128602.92
1994-12-30,144056.17
1995-12-30,154154.42
1996-12-30,161850.58
1997-12-30,174486.58
1998-12-30,178037.25
1999-12-30,187766.92
2000-12-30,193578.92
2001-12-30,172572.58
2002-12-30,169560.33
2003-12-30,175225.33
2004-12-30,186250.92
2005-12-30,203741
2006-12-30,219483.5
2007-12-30,230178
2008-12-30,216173.92
2009-12-30,153437.83
2010-12-30,188922
2011-12-30,208360.42
2012-12-30,219790.67
2013-12-30,231838.08
2014-12-30,238350.75
2015-12-30,223579
2016-12-30,220375
2017-12-30,226272.42
2018-12-30,240663.67
2019-12-30,228654.83
2020-12-30,218954.25
2021-12-30,259303.33
2022-12-30,282246.42
2023-12-30,292682.33
2024-12-30,287781.92
2025-12-30,309037.67
