date,value
1958-12-31,18430.47
1959-01-31,18605.85
1959-02-28,18081.27
1959-03-31,17685.24
1959-04-30,16661.94
1959-05-31,16660.11
1959-06-30,17089.11
1959-07-31,15796.65
1959-08-31,16953.72
1959-09-30,14866.33
1959-10-31,15535.59
1959-11-30,17565.31
1959-12-31,16073.01
1960-01-31,16490.11
1960-02-29,12167.35
1960-03-31,14094.28
1960-04-30,13897.46
1960-05-31,13588.97
1960-06-30,13044.11
1960-07-31,14646.01
1960-08-31,11954.37
1960-09-30,13486.95
1960-10-31,13486.95
1960-11-30,11506.12
1960-12-31,12805.02
1961-01-31,13270.46
1961-02-28,14201.34
1961-03-31,12621.01
1961-04-30,13292.11
1961-05-31,14959.04
1961-06-30,14353.96
1961-07-31,14153.85
1961-08-31,15364.66
1961-09-30,15214.13
1961-10-31,14891.57
1961-11-30,14676.53
1961-12-31,14633.52
1962-01-31,13695.45
1962-02-28,15463.64
1962-03-31,16277.58
1962-04-30,15839.67
1962-05-31,14995.88
1962-06-30,15436.09
1962-07-31,16149.34
1962-08-31,14048.38
1962-09-30,16265.99
1962-10-31,17210.33
1962-11-30,16594.91
1962-12-31,13199.54
1963-01-31,15448.97
1963-02-28,16223.23
1963-03-31,17862.48
1963-04-30,17354.84
1963-05-31,16739.44
1963-06-30,16958.09
1963-07-31,17220.76
1963-08-31,18523.62
1963-09-30,18631.04
1963-10-31,16986.82
1963-11-30,15564.35
1963-12-31,16733.5
1964-01-31,18998.74
1964-02-29,15835.76
1964-03-31,15115.48
1964-04-30,15313.82
1964-05-31,16128.05
1964-06-30,16200.65
1964-07-31,16325.75
1964-08-31,15090.88
1964-09-30,15806.53
1964-10-31,15363
1964-11-30,15342.32
1964-12-31,14070.69
1965-01-31,14815.06
1965-02-28,14664.67
1965-03-31,14772.06
1965-04-30,15182.97
1965-05-31,15188.95
1965-06-30,15607.46
1965-07-31,14617.32
1965-08-31,15127.7
1965-09-30,14774.72
1965-10-31,14856.12
1965-11-30,16797.52
1965-12-31,13896.5
1966-01-31,13890.28
1966-02-28,14007.79
1966-03-31,13501.62
1966-04-30,12632.81
1966-05-31,11886.97
1966-06-30,10778.5
1966-07-31,11038.1
1966-08-31,10318.01
1966-09-30,8265.01
-99964800000,9421.92
-97372800000,9706.24
-94694400000,10461.17
-92016000000,11010.21
-89596800000,10321.95
-86918400000,10631.84
-84326400000,12669.26
-81648000000,12088.77
-79056000000,13172.85
-76377600000,13547.56
-73699200000,13641.64
-71107200000,14271.17
-68428800000,14677.48
-65836800000,12445.72
-63158400000,13053.79
0053-06-18,14336.04
0132-11-11,13786.43
0217-09-27,14571.51
0299-11-16,13164.23
0384-10-01,13060.47
0466-11-20,13974.56
0551-10-06,13777.96
0636-08-21,14299.29
0718-10-11,14337.06
0803-08-26,14852.39
0885-10-14,14065.48
0970-08-30,16028.38
1055-07-16,15362.19
1132-03-14,13947.86
1217-01-27,13542.23
1299-03-18,14027.86
1384-02-01,13466.48
1466-03-23,11990.85
1551-02-06,11838.86
1635-12-22,13102.41
1718-02-10,11942.54
1802-12-27,10571.4
1885-02-14,11353.8
1969-12-31,9258.7
2054-11-15,11077.42
2131-07-15,11137.64
2216-05-30,10590.05
2298-07-19,10779.89
2383-06-04,11514.1
2465-07-23,12546.8
2550-06-08,11570.84
2635-04-24,12622.67
2717-06-13,12935.19
2802-04-28,13415.61
2884-06-16,15341.91
2969-05-02,14815.11
3054-03-18,14074.65
3130-11-15,15402.29
3215-09-30,15975.22
3297-11-18,16400.19
3382-10-04,16096.27
3464-11-23,16508.47
3549-10-09,17060.95
3634-08-24,16135.96
3716-10-13,16782.64
3801-08-29,17208.51
3883-10-18,18011.62
3968-09-02,19573.41
4053-07-18,18666.36
4132-12-11,18184.96
4217-10-27,17480.47
4299-12-16,17221.35
