date,value
2003-01-30,3.78
2003-02-27,3.75
2003-03-30,3.41
2003-04-29,3.53
2003-05-29,3.41
2003-06-29,3.21
2003-07-30,4.23
2003-08-28,4.07
2003-09-29,3.76
2003-10-30,4.78
2003-11-27,4.55
2003-12-30,4.39
2004-01-29,4.28
2004-02-26,4.12
2004-03-30,4.25
2004-04-29,4.29
2004-05-27,4.72
2004-06-29,4.44
2004-07-29,4.38
2004-08-30,4.14
2004-09-29,4.09
2004-10-28,3.97
2004-11-29,4.15
2004-12-30,4.2
2005-01-30,4.06
2005-02-27,4.2
2005-03-30,4.26
2005-04-28,4.09
2005-05-30,3.77
2005-06-29,3.7
2005-07-28,3.96
2005-08-30,3.78
2005-09-29,3.89
2005-10-30,4.05
2005-11-29,3.9
2005-12-29,3.87
2006-01-30,4.03
2006-02-27,3.86
2006-03-30,3.94
2006-04-27,4.31
2006-05-30,4.14
2006-06-29,4.12
2006-07-30,4.15
2006-08-30,4.05
2006-09-28,3.96
2006-10-30,3.9
2006-11-29,3.78
2006-12-28,3.74
2007-01-30,3.89
2007-02-27,3.68
2007-03-29,3.72
2007-04-29,3.76
2007-05-30,3.71
2007-06-28,3.76
2007-07-30,3.89
2007-08-30,3.77
2007-09-27,3.91
2007-10-30,3.74
2007-11-29,3.74
2007-12-30,3.61
2008-01-30,3.87
2008-02-28,3.9
2008-03-30,3.76
2008-04-29,3.42
2008-05-29,3.81
2008-06-29,3.52
2008-07-30,3.7
2008-08-28,3.55
2008-09-29,3.29
2008-10-30,4.07
2008-11-27,4.51
2008-12-30,0.74
2009-01-29,2.92
2009-02-26,2.04
2009-03-30,2.78
2009-04-29,3.21
2009-05-28,3.38
2009-06-29,3.23
2009-07-30,3.45
2009-08-30,3.23
2009-09-29,3.18
2009-10-29,3.57
2009-11-29,3.59
2009-12-30,3.9
2010-01-28,4.09
2010-02-25,3.62
2010-03-30,3.93
2010-04-29,4.13
2010-05-27,3.39
2010-06-29,3.11
2010-07-29,3.21
2010-08-30,2.73
2010-09-29,3.34
2010-10-28,4.1
2010-11-29,3.83
2010-12-30,4.08
2011-01-30,3.98
2011-02-27,3.83
2011-03-30,3.97
2011-04-28,3.86
2011-05-30,3.57
2011-06-29,4.04
2011-07-28,4.01
2011-08-30,3.39
2011-09-29,2.84
2011-10-30,3.28
2011-11-29,3.34
2011-12-29,3.33
2012-01-30,3.33
2012-02-28,3.58
2012-03-29,3.68
2012-04-29,3.42
2012-05-30,3.45
2012-06-28,3.57
2012-07-30,3.62
2012-08-30,3.57
2012-09-27,3.81
2012-10-30,4.02
2012-11-29,3.94
2012-12-30,3.95
2013-01-30,3.99
2013-02-27,4
2013-03-27,3.85
2013-04-29,3.63
2013-05-30,3.53
2013-06-27,3.07
2013-07-30,3.55
2013-08-29,3.34
2013-09-29,3.64
2013-10-30,3.59
2013-11-28,3.61
2013-12-30,3.86
2014-01-30,3.53
2014-02-27,3.5
2014-03-30,3.49
2014-04-29,3.27
2014-05-29,3.4
2014-06-29,3.41
2014-07-30,3.53
2014-08-28,3.36
2014-09-29,3.23
2014-10-30,3.14
2014-11-27,2.99
2014-12-30,2.87
2015-01-29,2.77
2015-02-26,2.98
2015-03-30,2.75
2015-04-29,2.94
2015-05-28,2.75
2015-06-29,2.88
2015-07-30,2.87
2015-08-30,2.71
2015-09-29,2.37
2015-10-29,2.52
2015-11-29,2.56
2015-12-30,2.41
2016-01-28,2.22
2016-02-28,2.19
2016-03-30,2.37
2016-04-28,2.45
2016-05-30,2.16
2016-06-29,1.9
2016-07-28,2.24
2016-08-30,2.24
2016-09-29,2.34
2016-10-30,2.5
2016-11-29,2.82
2016-12-29,2.75
2017-01-30,2.87
2017-02-27,2.85
2017-03-30,2.87
2017-04-27,2.68
2017-05-30,2.5
2017-06-29,2.41
2017-07-30,2.6
2017-08-30,2.55
2017-09-28,2.61
2017-10-30,2.58
2017-11-29,2.6
2017-12-28,2.7
2018-01-30,2.92
2018-02-27,2.85
2018-03-28,2.82
2018-04-29,2.88
2018-05-30,2.71
2018-06-28,2.76
2018-07-30,2.87
2018-08-30,2.79
2018-09-27,2.88
2018-10-30,2.81
2018-11-29,2.78
2018-12-30,2.45
2019-01-30,2.56
2019-02-27,2.63
2019-03-28,2.51
2019-04-29,2.59
2019-05-30,2.39
2019-06-27,2.33
2019-07-30,2.46
2019-08-29,2.2
2019-09-29,2.15
2019-10-30,2.06
2019-11-28,2.16
2019-12-30,2.33
2020-01-30,2.13
2020-02-27,1.86
2020-03-30,1.56
2020-04-29,1.79
2020-05-28,1.85
2020-06-29,1.9
2020-07-30,2.12
2020-08-30,2.37
2020-09-29,2.18
2020-10-29,2.24
2020-11-29,2.31
2020-12-30,2.51
2021-01-28,2.53
2021-02-25,2.34
2021-03-30,2.68
2021-04-29,2.72
2021-05-27,2.72
2021-06-29,2.58
2021-07-29,2.65
2021-08-30,2.57
2021-09-29,2.62
2021-10-28,2.48
2021-11-29,2.55
2021-12-30,2.6
2022-01-30,2.36
2022-02-27,2.42
2022-03-30,2.63
2022-04-28,2.74
2022-05-30,2.56
2022-06-29,2.26
2022-07-28,2.54
2022-08-30,2.59
2022-09-29,2.35
2022-10-30,2.57
2022-11-29,2.46
2022-12-29,2.47
2023-01-30,2.38
2023-02-27,2.44
2023-03-30,2.39
2023-04-27,2.3
2023-05-30,2.43
2023-06-29,2.39
2023-07-30,2.61
2023-08-30,2.45
2023-09-28,2.6
2023-10-30,2.56
2023-11-29,2.43
2023-12-28,2.31
2024-01-30,2.38
2024-02-28,2.35
2024-03-27,2.33
2024-04-29,2.46
2024-05-30,2.42
2024-06-27,2.38
2024-07-30,2.41
2024-08-29,2.35
2024-09-29,2.34
2024-10-30,2.33
2024-11-28,2.24
2024-12-30,2.35
2025-01-30,2.34
2025-02-27,2.2
2025-03-30,2.17
2025-04-29,2.18
2025-05-29,2.3
2025-06-29,2.27
2025-07-30,2.32
2025-08-28,2.34
2025-09-29,2.28
2025-10-30,2.2
2025-11-27,2.17
