date,value
1914-12-30,1
1915-12-30,1.98
1916-12-30,12.62
1917-12-30,18.1
1918-12-30,20.44
1919-12-30,14.55
1920-12-30,2.65
1921-12-30,-10.82
1922-12-30,-2.31
1923-12-30,2.37
1924-12-30,0
1925-12-30,3.47
1926-12-30,-1.12
1927-12-30,-2.26
1928-12-30,-1.16
1929-12-30,0.58
1930-12-30,-6.4
1931-12-30,-9.32
1932-12-30,-10.27
1933-12-30,0.76
1934-12-30,1.52
1935-12-30,2.99
1936-12-30,1.45
1937-12-30,2.86
1938-12-30,-2.78
1939-12-30,0
1940-12-30,0.71
1941-12-30,9.93
1942-12-30,9.03
1943-12-30,2.96
1944-12-30,2.3
1945-12-30,2.25
1946-12-30,18.13
1947-12-30,8.84
1948-12-30,2.99
1949-12-30,-2.07
1950-12-30,5.93
1951-12-30,6
1952-12-30,0.75
1953-12-30,0.75
1954-12-30,-0.74
1955-12-30,0.37
1956-12-30,2.99
1957-12-30,2.9
1958-12-30,1.76
1959-12-30,1.73
1960-12-30,1.36
1961-12-30,0.67
1962-12-30,1.33
1963-12-30,1.64
1964-12-30,0.97
1965-12-30,1.92
-94780800000,3.46
-63244800000,3.04
0967-12-04,4.72
1967-04-06,6.2
2966-08-06,5.57
3965-12-07,3.27
4968-01-03,3.41
1973-12-30,8.71
1974-12-30,12.34
1975-12-30,6.94
1976-12-30,4.86
1977-12-30,6.7
1978-12-30,9.02
1979-12-30,13.29
1980-12-30,12.52
1981-12-30,8.92
1982-12-30,3.83
1983-12-30,3.79
1984-12-30,3.95
1985-12-30,3.8
1986-12-30,1.1
1987-12-30,4.43
1988-12-30,4.42
1989-12-30,4.65
1990-12-30,6.11
1991-12-30,3.06
1992-12-30,2.9
1993-12-30,2.75
1994-12-30,2.67
1995-12-30,2.54
1996-12-30,3.32
1997-12-30,1.7
1998-12-30,1.61
1999-12-30,2.68
2000-12-30,3.39
2001-12-30,1.55
2002-12-30,2.38
2003-12-30,1.88
2004-12-30,3.26
2005-12-30,3.42
2006-12-30,2.54
2007-12-30,4.08
2008-12-30,0.09
2009-12-30,2.72
2010-12-30,1.5
2011-12-30,2.96
2012-12-30,1.74
2013-12-30,1.5
2014-12-30,0.76
2015-12-30,0.73
2016-12-30,2.07
2017-12-30,2.11
2018-12-30,1.91
2019-12-30,2.29
2020-12-30,1.36
2021-12-30,7.04
2022-12-30,6.45
2023-12-30,3.35
2024-12-30,2.89
2025-12-30,2.2
