date,value
1913-12-30,9.88
1914-12-30,10.02
1915-12-30,10.11
1916-12-30,10.88
1917-12-30,12.83
1918-12-30,15.04
1919-12-30,17.33
1920-12-30,20.04
1921-12-30,17.85
1922-12-30,16.75
1923-12-30,17.05
1924-12-30,17.13
1925-12-30,17.54
1926-12-30,17.7
1927-12-30,17.36
1928-12-30,17.16
1929-12-30,17.16
1930-12-30,16.7
1931-12-30,15.21
1932-12-30,13.64
1933-12-30,12.93
1934-12-30,13.38
1935-12-30,13.73
1936-12-30,13.87
1937-12-30,14.38
1938-12-30,14.09
1939-12-30,13.91
1940-12-30,14.01
1941-12-30,14.73
1942-12-30,16.33
1943-12-30,17.31
1944-12-30,17.59
1945-12-30,17.99
1946-12-30,19.52
1947-12-30,22.33
1948-12-30,24.04
1949-12-30,23.81
1950-12-30,24.07
1951-12-30,25.96
1952-12-30,26.55
1953-12-30,26.77
1954-12-30,26.85
1955-12-30,26.78
1956-12-30,27.18
1957-12-30,28.09
1958-12-30,28.86
1959-12-30,29.15
1960-12-30,29.58
1961-12-30,29.89
1962-12-30,30.25
1963-12-30,30.63
1964-12-30,31.02
1965-12-30,31.51
-94780800000,32.46
-63244800000,33.36
0967-12-04,34.78
1967-04-06,36.68
2966-08-06,38.83
3965-12-07,40.49
4968-01-03,41.82
1973-12-30,44.4
1974-12-30,49.31
1975-12-30,53.82
1976-12-30,56.91
1977-12-30,60.61
1978-12-30,65.23
1979-12-30,72.58
1980-12-30,82.41
1981-12-30,90.93
1982-12-30,96.5
1983-12-30,99.6
1984-12-30,103.88
1985-12-30,107.57
1986-12-30,109.61
1987-12-30,113.63
1988-12-30,118.26
1989-12-30,123.97
1990-12-30,130.66
1991-12-30,136.19
1992-12-30,140.32
1993-12-30,144.46
1994-12-30,148.23
1995-12-30,152.38
1996-12-30,156.85
1997-12-30,160.52
1998-12-30,163.01
1999-12-30,166.58
2000-12-30,172.2
2001-12-30,177.07
2002-12-30,179.88
2003-12-30,183.96
2004-12-30,188.88
2005-12-30,195.29
2006-12-30,201.59
2007-12-30,207.34
2008-12-30,215.3
2009-12-30,214.54
2010-12-30,218.06
2011-12-30,224.94
2012-12-30,229.59
2013-12-30,232.96
2014-12-30,236.74
2015-12-30,237.02
2016-12-30,240.01
2017-12-30,245.12
2018-12-30,251.11
2019-12-30,255.66
2020-12-30,258.81
2021-12-30,270.97
2022-12-30,292.65
2023-12-30,304.7
2024-12-30,313.69
2025-12-30,321.71
