date,value
1994-12-30,10.85
1995-12-30,10.06
1996-12-30,9.69
1997-12-30,8.87
1998-12-30,8.04
1999-12-30,7.43
2000-12-30,7.01
2001-12-30,8.15
2002-12-30,9.59
2003-12-30,10.13
2004-12-30,9.59
2005-12-30,8.93
2006-12-30,8.23
2007-12-30,8.33
2008-12-30,10.55
2009-12-30,16.26
2010-12-30,16.74
2011-12-30,15.93
2012-12-30,14.68
2013-12-30,13.79
2014-12-30,12.03
2015-12-30,10.45
2016-12-30,9.63
2017-12-30,8.52
2018-12-30,7.73
2019-12-30,7.15
2020-12-30,13.67
2021-12-30,9.41
2022-12-30,6.88
2023-12-30,6.88
2024-12-30,7.52
2025-12-30,7.94
