date,value
1947-12-31,46.27
1948-01-31,52.16
1948-02-29,55.14
1948-03-31,52.86
1948-04-30,47.24
1948-05-31,48.18
1948-06-30,47.59
1948-07-31,51.35
1948-08-31,50.03
1948-09-30,48.91
1948-10-31,50.65
1948-11-30,53.54
1948-12-31,57.79
1949-01-31,63.7
1949-02-28,67.76
1949-03-31,71.53
1949-04-30,82.67
1949-05-31,83.68
1949-06-30,91.19
1949-07-31,92.16
1949-08-31,89.08
1949-09-30,107.52
1949-10-31,86.74
1949-11-30,90.21
1949-12-31,89.22
1950-01-31,87.85
1950-02-28,86.11
1950-03-31,79.27
1950-04-30,74.86
1950-05-31,73.19
1950-06-30,66.92
1950-07-31,59.73
1950-08-31,58.17
1950-09-30,55.07
1950-10-31,54.85
1950-11-30,55.48
1950-12-31,46.99
1951-01-31,42.67
1951-02-28,42.51
1951-03-31,38.76
1951-04-30,37.36
1951-05-31,39.85
1951-06-30,38.61
1951-07-31,38.61
1951-08-31,40.78
1951-09-30,43.09
1951-10-31,42.76
1951-11-30,37.73
1951-12-31,38.95
1952-01-31,38.02
1952-02-29,35.57
1952-03-31,35.43
1952-04-30,36.65
1952-05-31,36.52
1952-06-30,38.66
1952-07-31,41.08
1952-08-31,37.45
1952-09-30,36.24
1952-10-31,33.83
1952-11-30,32.62
1952-12-31,35.17
1953-01-31,31.65
1953-02-28,31.53
1953-03-31,32.74
1953-04-30,30.2
1953-05-31,30.09
1953-06-30,31.29
1953-07-31,32.38
1953-08-31,34.77
1953-09-30,37.03
1953-10-31,41.97
1953-11-30,53.96
1953-12-31,58.76
1954-01-31,62.35
1954-02-28,68.35
1954-03-31,71.01
1954-04-30,70.75
1954-05-31,67.15
1954-06-30,69.55
1954-07-31,71.95
1954-08-31,73.42
1954-09-30,68.6
1954-10-31,63.79
1954-11-30,60.4
1954-12-31,59.2
1955-01-31,56.78
1955-02-28,55.57
1955-03-31,56.78
1955-04-30,51.95
1955-05-31,50.74
1955-06-30,48.14
1955-07-31,50.55
1955-08-31,49.16
1955-09-30,51.56
1955-10-31,50.36
1955-11-30,50.55
1955-12-31,48.14
1956-01-31,46.94
1956-02-29,50.55
1956-03-31,47.96
1956-04-30,51.37
1956-05-31,50.99
1956-06-30,51.8
1956-07-31,48.44
1956-08-31,45.91
1956-09-30,45.75
1956-10-31,50.44
1956-11-30,49.09
1956-12-31,49.09
1957-01-31,45.41
1957-02-28,42.93
1957-03-31,45.09
1957-04-30,47.23
1957-05-31,49.36
1957-06-30,47.87
1957-07-31,46.73
1957-08-31,50.15
1957-09-30,51.29
1957-10-31,57.92
1957-11-30,59.06
1957-12-31,65.41
1958-01-31,72.18
1958-02-28,75.04
1958-03-31,82.59
1958-04-30,82.59
1958-05-31,81.48
1958-06-30,83.42
1958-07-31,82.59
1958-08-31,79.25
1958-09-30,74.78
1958-10-31,68.96
1958-11-30,69.2
1958-12-31,66.74
1959-01-31,65.85
1959-02-28,62.5
1959-03-31,57.84
1959-04-30,56.73
1959-05-31,55.42
