date,value
1948-12-30,3.75
1949-12-30,6.05
1950-12-30,5.21
1951-12-30,3.28
1952-12-30,3.03
1953-12-30,2.93
1954-12-30,5.59
1955-12-30,4.37
1956-12-30,4.13
1957-12-30,4.3
1958-12-30,6.84
1959-12-30,5.45
1960-12-30,5.54
1961-12-30,6.69
1962-12-30,5.57
1963-12-30,5.64
1964-12-30,5.16
1965-12-30,4.51
-94780800000,3.79
-63244800000,3.84
0967-12-04,3.56
1967-04-06,3.49
2966-08-06,4.98
3965-12-07,5.95
4968-01-03,5.6
1973-12-30,4.86
1974-12-30,5.64
1975-12-30,8.48
1976-12-30,7.7
1977-12-30,7.05
1978-12-30,6.07
1979-12-30,5.85
1980-12-30,7.18
1981-12-30,7.62
1982-12-30,9.71
1983-12-30,9.6
1984-12-30,7.51
1985-12-30,7.19
1986-12-30,7
1987-12-30,6.18
1988-12-30,5.49
1989-12-30,5.26
1990-12-30,5.62
1991-12-30,6.85
1992-12-30,7.49
1993-12-30,6.91
1994-12-30,6.1
1995-12-30,5.59
1996-12-30,5.41
1997-12-30,4.94
1998-12-30,4.5
1999-12-30,4.22
2000-12-30,3.97
2001-12-30,4.74
2002-12-30,5.78
2003-12-30,5.99
2004-12-30,5.54
2005-12-30,5.08
2006-12-30,4.61
2007-12-30,4.62
2008-12-30,5.8
2009-12-30,9.28
2010-12-30,9.61
2011-12-30,8.93
2012-12-30,8.08
2013-12-30,7.36
2014-12-30,6.16
2015-12-30,5.28
2016-12-30,4.88
2017-12-30,4.36
2018-12-30,3.89
2019-12-30,3.68
2020-12-30,8.1
2021-12-30,5.36
2022-12-30,3.64
2023-12-30,3.63
2024-12-30,4.03
2025-12-30,4.23
