date,value
1992-12-30,3.18
1993-12-30,2.95
1994-12-30,2.57
1995-12-30,2.46
1996-12-30,2.25
1997-12-30,2.01
1998-12-30,1.79
1999-12-30,1.81
2000-12-30,1.66
2001-12-30,2.26
2002-12-30,2.91
2003-12-30,3.08
2004-12-30,2.72
2005-12-30,2.31
2006-12-30,2.03
2007-12-30,2.03
2008-12-30,2.56
2009-12-30,4.61
2010-12-30,4.71
2011-12-30,4.31
2012-12-30,4.03
2013-12-30,3.7
2014-12-30,3.18
2015-12-30,2.57
2016-12-30,2.51
2017-12-30,2.33
2018-12-30,2.13
2019-12-30,2.11
2020-12-30,4.83
2021-12-30,3.07
2022-12-30,1.98
2023-12-30,2.05
2024-12-30,2.31
2025-12-30,2.61
