date,value
1993-04-29,53.98
1993-05-30,78.07
1993-06-29,119.96
1993-07-29,146.54
1993-08-30,214.74
1993-09-29,325.9
1993-10-28,408.24
1993-11-29,606.18
1993-12-29,830.74
1994-01-30,1633.99
1994-02-27,2317.29
1994-03-29,3321.15
1994-04-28,3738.56
1994-05-30,5395.41
1994-06-29,7896.64
1994-07-28,9131.91
1994-08-30,11537.51
1994-09-29,11840.19
1994-10-30,10351.94
1994-11-29,10032.36
1994-12-28,9381.42
1995-01-30,8337.65
1995-02-23,6991.81
1995-03-30,6346.82
1995-04-27,8098.43
1995-05-30,7885.15
1995-06-29,7621.75
1995-07-30,8201.51
1995-08-30,9093.52
1995-09-28,9832.85
1995-10-30,8664.03
1995-11-29,9195.09
1995-12-27,9033.81
1996-01-30,10762.13
1996-02-28,10323.83
1996-03-28,10264.98
1996-04-29,10657.31
1996-05-30,11798.4
1996-06-27,12441.14
1996-07-30,12580.49
1996-08-29,12835.59
1996-09-29,13178.19
1996-10-30,13312.42
1996-11-28,13557.53
1996-12-29,14317.76
1997-01-30,16147.72
1997-02-27,17843.32
1997-03-30,18232.76
1997-04-29,20098.65
1997-05-29,22857.31
1997-06-29,25289.75
1997-07-30,25869.19
1997-08-28,21281.4
1997-09-29,23605.78
1997-10-30,17936.47
1997-11-27,18764.46
1997-12-29,20391.53
1998-01-29,19401.57
1998-02-26,21061.1
1998-03-30,23758.55
1998-04-29,23178.74
1998-05-28,19510.19
1998-06-29,19151.81
1998-07-30,21162.14
1998-08-30,12776.1
1998-09-29,12999.05
1998-10-29,13860.29
1998-11-29,16975.76
1998-12-29,13351.15
1999-01-28,16043.63
1999-02-25,17473.2
1999-03-30,20909.77
1999-04-29,22030.02
1999-05-30,21523.47
1999-06-29,22565.68
1999-07-29,20205.05
1999-08-30,20394.12
1999-09-29,21336.29
1999-10-28,22437.36
1999-11-29,26408.6
1999-12-29,32758.24
2000-01-30,31315.93
2000-02-28,33547.86
2000-03-30,33574.98
2000-04-27,29258.34
2000-05-30,28131.46
2000-06-29,31298.15
2000-07-30,30716.1
2000-08-30,32381.17
2000-09-28,29578.31
2000-10-30,27560.43
2000-11-29,24617.28
2000-12-28,28287.67
2001-01-30,32556.37
2001-02-27,29157.09
2001-03-29,26430.96
2001-04-29,27201.61
2001-05-30,26592.68
2001-06-28,26384.76
2001-07-30,24994.39
2001-08-30,23335.24
2001-09-27,19241.5
2001-10-30,20629.75
2001-11-29,23513.86
2001-12-30,24785.54
2002-01-30,23169.39
2002-02-27,25458.37
2002-03-27,23912.45
2002-04-29,23474.48
2002-05-30,23072.62
2002-06-27,19972.25
2002-07-30,17485.64
2002-08-29,18532.53
2002-09-29,15367.09
2002-10-30,18090.46
2002-11-28,18697.15
2002-12-30,20092.75
2003-01-30,19422.89
2003-02-27,18111.69
2003-03-30,19742.41
2003-04-29,22036.99
2003-05-29,23592.83
2003-06-29,22778.74
2003-07-30,23804.79
2003-08-28,26515.18
2003-09-29,27885.68
2003-10-30,31353.8
2003-11-27,35287.65
2003-12-29,38918.03
2004-01-29,38058.44
2004-02-26,37687.01
2004-03-30,38112.22
2004-04-29,33641.1
2004-05-30,33338.7
2004-06-29,35961.06
2004-07-29,38041.2
2004-08-30,38814.88
2004-09-29,39483.98
2004-10-28,38950.94
2004-11-29,42436.75
2004-12-29,44402.99
2005-01-30,41188.05
2005-02-27,47323.18
2005-03-30,44405.37
2005-04-28,41204.03
2005-05-30,41825.19
2005-06-29,41545.21
2005-07-28,42990.02
2005-08-30,46059.92
2005-09-29,51245.97
2005-10-30,48891.81
2005-11-29,52100.72
2005-12-28,54835.27
2006-01-30,62418.43
2006-02-23,62678.44
2006-03-30,61270.4
2006-04-27,64613.72
2006-05-30,58188.48
2006-06-29,58233.72
2006-07-30,58769.69
2006-08-30,57317.81
2006-09-28,57946.22
2006-10-30,62758.4
2006-11-29,67124.45
2006-12-28,71034.02
2007-01-30,71140.93
2007-02-27,69572.57
2007-03-29,71948.64
2007-04-29,76402.96
2007-05-30,81076.45
2007-06-28,84207.29
2007-07-30,83917.77
2007-08-30,84763.84
2007-09-27,93547.27
2007-10-30,100841.29
2007-11-29,96696.26
2007-12-27,97742.07
2008-01-30,90910
2008-02-28,96739.96
2008-03-30,92099.86
2008-04-29,101905.75
2008-05-29,108088.88
2008-06-29,95844.14
2008-07-30,87259.95
2008-08-28,81978.44
2008-09-29,73040.78
2008-10-30,55489.85
2008-11-27,55569.73
2008-12-29,57614.9
2009-01-29,60039.41
2009-02-26,58043.6
2009-03-30,62061.73
2009-04-29,71533.29
2009-05-28,80238.63
2009-06-29,76964.71
2009-07-30,82030.2
2009-08-30,84422.02
2009-09-29,91880.19
2009-10-29,91832.98
2009-11-29,99967.28
2009-12-29,102449.85
2010-01-28,97357.3
2010-02-25,98972.34
2010-03-30,104300.92
2010-04-29,99915.39
2010-05-30,93209.88
2010-06-29,90177.53
2010-07-29,99893.28
2010-08-30,96253.9
2010-09-29,102524.45
2010-10-28,104230.91
2010-11-29,99811.8
2010-12-29,101994.39
2011-01-30,97512.35
2011-02-27,98212
2011-03-30,99000.74
2011-04-28,94847.99
2011-05-30,92244.42
2011-06-29,89175.98
2011-07-28,83985.41
2011-08-30,80439.31
2011-09-29,74387.99
2011-10-30,83109.29
2011-11-29,81092.92
2011-12-28,81120.62
2012-01-30,89756.55
2012-02-28,93244.38
2012-03-29,90712.51
2012-04-29,86667.12
2012-05-30,76481
2012-06-28,76402.46
2012-07-30,78980.38
2012-08-30,79893.56
2012-09-27,82485.94
2012-10-30,79578.97
2012-11-29,80527.21
2012-12-27,85630.13
2013-01-30,83709.94
2013-02-27,79782.73
2013-03-27,78088.9
2013-04-29,77557.42
2013-05-30,74090.34
2013-06-27,65556.99
2013-07-30,66604.59
2013-08-29,68971.1
2013-09-29,72100.5
2013-10-30,74935.7
2013-11-28,72634.3
2013-12-29,71290.59
2014-01-30,65692.3
2014-02-27,64702.07
2014-03-30,68820.86
2014-04-29,70243.46
2014-05-29,69473.78
2014-06-29,71955.1
2014-07-30,75586.11
2014-08-28,83115.41
2014-09-29,73333.74
2014-10-30,74214.86
2014-11-27,74666.59
2014-12-30,68694.56
2015-01-29,64741.7
2015-02-26,70886.81
2015-03-30,69875.98
2015-04-29,76658.84
2015-05-28,71564.82
2015-06-29,71748.11
2015-07-30,68748.04
2015-08-30,63107.7
2015-09-29,61082.98
2015-10-29,62208.28
2015-11-29,61322.63
2015-12-29,59118.51
2016-01-28,55012.73
2016-02-28,58215.9
2016-03-30,67802.23
2016-04-28,72679.74
2016-05-30,65084.08
2016-06-29,68959.9
2016-07-28,76821.46
2016-08-30,77545.02
2016-09-29,77981.57
2016-10-30,86634.69
2016-11-29,82735.98
2016-12-28,80465.62
2017-01-30,85901.65
2017-02-23,88269
2017-03-30,85977.2
2017-04-27,86275.94
2017-05-30,82654.48
2017-06-29,82827.79
2017-07-30,86902.56
2017-08-30,93062.56
2017-09-28,97092.16
2017-10-30,97173.15
2017-11-29,94114.11
2017-12-27,99967.27
2018-01-30,110500.9
2018-02-27,110573.24
2018-03-28,110339.25
2018-04-29,110867.87
2018-05-29,98405.81
2018-06-28,93140.39
2018-07-30,101400.06
2018-08-30,98090.71
2018-09-27,101382
2018-10-30,111510.88
2018-11-29,114548.24
2018-12-27,112839.49
2019-01-30,124807.01
2019-02-27,121972.75
2019-03-28,121073.05
2019-04-29,121620.31
2019-05-30,122214.66
2019-06-27,127148.04
2019-07-30,127998.15
2019-08-29,127152.84
2019-09-29,131589.35
2019-10-30,134390.77
2019-11-28,135733.89
2019-12-29,145161.24
2020-01-30,142243.64
2020-02-27,129897.77
2020-03-30,91251.29
2020-04-29,101283.83
2020-05-28,109958.37
2020-06-28,119786.07
2020-07-30,128117.85
2020-08-30,123318.11
2020-09-29,117240.53
2020-10-29,116385.47
2020-11-29,134976.24
2020-12-29,147386.45
