date,value
1990-12-30,1823.67
1991-12-30,1766.31
1992-12-30,1850.49
1993-12-30,2021.17
1994-12-30,2058.2
1995-12-30,1869.74
1996-12-30,2078.83
1997-12-30,2759.94
1998-12-30,3693.37
1999-12-30,4550.96
2000-12-30,6271.48
2001-12-30,5016.59
2002-12-30,3781.9
2003-12-30,3118.67
2004-12-30,3685.38
2005-12-30,4269.12
2006-12-30,5106.5
2007-12-30,5729.08
2008-12-30,4340.83
2009-12-30,3346.44
2010-12-30,3746.73
2011-12-30,3587.2
2012-12-30,3348.02
2013-12-30,3953.2
2014-12-30,4333.76
2015-12-30,4829.12
2016-12-30,4418.72
2017-12-30,5176.87
2018-12-30,5292.88
2019-12-30,5459.68
2020-12-30,5070.88
2021-12-30,6425.81
2022-12-30,6433.26
2023-12-30,7238.78
2024-12-30,7646.48
2025-12-30,7786.2
