date,value
1990-12-30,1460.7
1991-12-30,1579.37
1992-12-30,1635.87
1993-12-30,1808.59
1994-12-30,2120.32
1995-12-30,2137.91
1996-12-30,2566.39
1997-12-30,3721.07
1998-12-30,5016.31
1999-12-30,5341.92
2000-12-30,7127.27
2001-12-30,5612.84
2002-12-30,4169.62
2003-12-30,3191.47
2004-12-30,3981.04
2005-12-30,4677.84
2006-12-30,5887.44
2007-12-30,7465.32
2008-12-30,6204.45
2009-12-30,5015.05
2010-12-30,6193.11
2011-12-30,6588.94
2012-12-30,6852.39
2013-12-30,8295.81
2014-12-30,9533.88
2015-12-30,10961.5
2016-12-30,10195.65
2017-12-30,12434.31
2018-12-30,12267
2019-12-30,12109.96
2020-12-30,12324.61
2021-12-30,15211.28
2022-12-30,13868.92
2023-12-30,15673.55
2024-12-30,18285.14
2025-12-30,21788.41
