date,value
1991-12-30,12.86
1992-12-30,-2.08
1993-12-30,46.7
1994-12-30,-7.06
1995-12-30,6.99
1996-12-30,28.16
1997-12-30,46.24
1998-12-30,18.42
1999-12-30,39.1
2000-12-30,-7.54
2001-12-30,-19.79
2002-12-30,-43.94
2003-12-30,37.08
2004-12-30,7.34
2005-12-30,27.07
2006-12-30,21.98
2007-12-30,22.29
2008-12-30,-40.37
2009-12-30,23.85
2010-12-30,16.06
2011-12-30,-14.69
2012-12-30,29.06
2013-12-30,25.48
2014-12-30,2.65
2015-12-30,9.56
2016-12-30,6.87
2017-12-30,12.51
2018-12-30,-18.26
2019-12-30,25.48
2020-12-30,3.55
2021-12-30,15.79
2022-12-30,-12.35
2023-12-30,20.31
2024-12-30,18.85
2025-12-30,15.96
