date,value
1914-12-30,54.65
1915-12-30,74.45
1916-12-30,95.27
1917-12-30,87.87
1918-12-30,80.97
1919-12-30,99.79
1920-12-30,90.01
1921-12-30,73.39
1922-12-30,93.24
1923-12-30,94.87
1924-12-30,99.65
1925-12-30,134.4
1926-12-30,153
1927-12-30,176.07
1928-12-30,226.17
1929-12-30,313.54
1930-12-30,236.04
1931-12-30,138.6
1932-12-30,64.53
1933-12-30,84.5
1934-12-30,98.16
1935-12-30,120.35
1936-12-30,162.07
1937-12-30,166.45
1938-12-30,132.36
1939-12-30,142.57
1940-12-30,134.64
1941-12-30,121.93
1942-12-30,107.15
1943-12-30,134.92
1944-12-30,143.32
1945-12-30,169.66
1946-12-30,191.52
1947-12-30,177.48
1948-12-30,179.78
1949-12-30,179.67
1950-12-30,216.28
1951-12-30,257.41
1952-12-30,270.35
1953-12-30,275.84
1954-12-30,334.34
1955-12-30,442.69
1956-12-30,493.21
1957-12-30,476.07
1958-12-30,491.26
1959-12-30,632.57
1960-12-30,618.02
1961-12-30,691.74
1962-12-30,639.14
1963-12-30,714.69
1964-12-30,834.09
1965-12-30,910.7
1966-12-30,872.78
1965-12-30,879.48
1966-12-04,903.96
1967-04-06,875.72
1968-08-06,753.12
1971-12-07,884.87
1972-01-03,950.08
1973-12-30,924.07
1974-12-30,759.13
1975-12-30,802.89
1976-12-30,975.2
1977-12-30,894.37
1978-12-30,821.13
1979-12-30,844.38
1980-12-30,891.14
1981-12-30,932.95
1982-12-30,884.53
1983-12-30,1190.78
1984-12-30,1178.59
1985-12-30,1327.99
1986-12-30,1793.1
1987-12-30,2277.53
1988-12-30,2061.48
1989-12-30,2510.33
1990-12-30,2679.45
1991-12-30,2929.04
1992-12-30,3284.08
1993-12-30,3524.92
1994-12-30,3794.22
1995-12-30,4494.28
1996-12-30,5739.63
1997-12-30,7447.01
1998-12-30,8630.76
1999-12-30,10481.56
2000-12-30,10729.38
2001-12-30,10199.28
2002-12-30,9214.85
2003-12-30,9006.64
2004-12-30,10315.51
2005-12-30,10546.66
2006-12-30,11409.78
2007-12-30,13178.26
2008-12-30,11244.06
2009-12-30,8885.65
2010-12-30,10668.58
2011-12-30,11957.57
2012-12-30,12966.44
2013-12-30,15009.52
2014-12-30,16777.69
2015-12-30,17587.03
2016-12-30,17927.11
2017-12-30,21750.2
2018-12-30,25053.95
2019-12-30,26379.59
2020-12-30,26890.67
2021-12-30,34055.29
2022-12-30,32898.34
2023-12-30,34121.54
2024-12-30,40323.13
2025-12-30,44134.47
