date,value
1915-12-30,81.49
1916-12-30,-4.19
1917-12-30,-21.71
1918-12-30,10.51
1919-12-30,30.45
1920-12-30,-32.9
1921-12-30,12.3
1922-12-30,21.5
1923-12-30,-2.7
1924-12-30,26.16
1925-12-30,25.37
1926-12-30,4.05
1927-12-30,27.67
1928-12-30,49.48
1929-12-30,-17.17
1930-12-30,-33.77
1931-12-30,-52.67
1932-12-30,-23.07
1933-12-30,66.69
1934-12-30,4.14
1935-12-30,38.53
1936-12-30,24.82
1937-12-30,-32.82
1938-12-30,28.06
1939-12-30,-2.92
1940-12-30,-12.72
1941-12-30,-15.38
1942-12-30,7.61
1943-12-30,13.81
1944-12-30,12.09
1945-12-30,26.65
1946-12-30,-8.14
1947-12-30,2.23
1948-12-30,-2.13
1949-12-30,12.88
1950-12-30,17.63
1951-12-30,14.37
1952-12-30,8.42
1953-12-30,-3.77
1954-12-30,43.96
1955-12-30,20.77
1956-12-30,2.27
1957-12-30,-12.77
1958-12-30,33.96
1959-12-30,16.4
1960-12-30,-9.34
1961-12-30,18.71
1962-12-30,-10.81
1963-12-30,17
1964-12-30,14.57
1965-12-30,10.88
1966-12-30,-18.94
1965-12-30,15.2
1966-12-04,4.27
1967-04-06,-15.19
1968-08-06,4.82
1971-12-07,6.11
1972-01-03,14.58
1973-12-30,-16.58
1974-12-30,-27.57
1975-12-30,38.32
1976-12-30,17.86
1977-12-30,-17.27
1978-12-30,-3.15
1979-12-30,4.19
1980-12-30,14.93
1981-12-30,-9.23
1982-12-30,19.6
1983-12-30,20.27
1984-12-30,-3.74
1985-12-30,27.66
1986-12-30,22.58
1987-12-30,2.26
1988-12-30,11.85
1989-12-30,26.96
1990-12-30,-4.34
1991-12-30,20.32
1992-12-30,4.17
1993-12-30,13.72
1994-12-30,2.14
1995-12-30,33.45
1996-12-30,26.01
1997-12-30,22.64
1998-12-30,16.1
1999-12-30,25.22
2000-12-30,-6.17
2001-12-30,-7.1
2002-12-30,-16.76
2003-12-30,25.32
2004-12-30,3.15
2005-12-30,-0.61
2006-12-30,16.29
2007-12-30,6.43
2008-12-30,-33.84
2009-12-30,18.82
2010-12-30,11.02
2011-12-30,5.53
2012-12-30,7.26
2013-12-30,26.5
2014-12-30,7.52
2015-12-30,-2.23
2016-12-30,13.42
2017-12-30,25.08
2018-12-30,-5.63
2019-12-30,22.34
2020-12-30,7.25
2021-12-30,18.73
2022-12-30,-8.78
2023-12-30,13.7
2024-12-30,12.88
2025-12-30,13.09
