date,value
1914-12-30,1744.7
1915-01-29,1805.7
1915-02-26,1774.73
1915-03-30,1981.96
1915-04-29,2315.34
1915-05-28,2076.21
1915-06-29,2237.49
1915-07-30,2412.18
1915-08-30,2593.26
1915-09-29,2892.83
1915-10-29,3015
1915-11-29,3028.63
1915-12-30,3105.04
1916-01-30,2809.38
1916-02-28,2823.34
1916-03-30,2864.65
1916-04-28,2728.07
1916-05-30,2767.39
1916-06-29,2675.46
1916-07-30,2665.61
1916-08-30,2729.93
1916-09-29,3014.35
1916-10-30,2986.12
1916-11-28,2972.33
1916-12-29,2641.66
1917-01-30,2630.94
1917-02-27,2461.14
1917-03-30,2599.84
1917-04-29,2386.7
1917-05-30,2453.98
1917-06-29,2366.61
1917-07-30,2312.11
1917-08-30,2069.35
1917-09-28,2024.13
1917-10-30,1780.06
1917-11-29,1735.86
1917-12-30,1751.25
1918-01-30,1838.6
1918-02-27,1839.06
1918-03-29,1760.49
1918-04-29,1760.68
1918-05-30,1736.94
1918-06-28,1812.05
1918-07-30,1735.21
1918-08-30,1727.17
1918-09-29,1739.77
1918-10-30,1723.89
1918-11-29,1601.53
1918-12-30,1606.94
1919-01-30,1575.86
1919-02-27,1688.67
1919-03-30,1747.53
1919-04-29,1793.98
1919-05-28,2013.62
1919-06-29,2041.87
1919-07-30,1986.53
1919-08-28,1908.94
1919-09-29,2019.09
1919-10-30,2119.28
1919-11-28,1808.43
1919-12-30,1830.06
1920-01-30,1741.66
1920-02-27,1508.26
1920-03-30,1683.38
1920-04-29,1486.32
1920-05-28,1437.59
1920-06-29,1400.75
1920-07-30,1346.85
1920-08-30,1369.06
1920-09-29,1337.82
1920-10-29,1379.07
1920-11-29,1238.76
1920-12-30,1196.3
1921-01-30,1292.45
1921-02-27,1314.44
1921-03-30,1335.37
1921-04-29,1400.2
1921-05-30,1338.35
1921-06-29,1254.51
1921-07-29,1245.96
1921-08-30,1223
1921-09-29,1310.15
1921-10-30,1349.41
1921-11-29,1432.99
1921-12-30,1506.53
1922-01-30,1551.73
1922-02-27,1631.13
1922-03-30,1720
1922-04-28,1775.63
1922-05-30,1854.82
1922-06-29,1794.95
1922-07-30,1863.37
1922-08-30,1958.3
1922-09-29,1887.18
1922-10-30,1856.37
1922-11-28,1817.29
1922-12-29,1873.72
1923-01-30,1870.66
1923-02-27,1994.89
1923-03-30,1973.19
1923-04-29,1877.72
1923-05-30,1861.5
1923-06-29,1677.32
1923-07-30,1629.87
1923-08-30,1762.96
1923-09-28,1649.75
1923-10-30,1650.65
1923-11-29,1721.69
1923-12-30,1780.98
1924-01-30,1876.82
1924-02-28,1832.03
1924-03-30,1740.7
1924-04-29,1719.63
1924-05-30,1705.78
1924-06-29,1828.54
1924-07-30,1926.69
1924-08-29,1975.97
1924-09-29,1945.93
1924-10-30,1951.49
1924-11-28,2083.52
1924-12-30,2246.93
1925-01-30,2302.49
1925-02-27,2292.43
1925-03-30,2176.82
1925-04-29,2250.61
1925-05-28,2422.94
1925-06-29,2414.78
1925-07-30,2438.52
1925-08-30,2572.83
1925-09-29,2614.38
1925-10-30,2836.53
1925-11-29,2707.36
1925-12-30,2722.49
1926-01-29,2835.47
1926-02-26,2787.36
1926-03-30,2545.33
1926-04-29,2589.68
1926-05-27,2599.15
1926-06-29,2788.97
1926-07-30,2952.45
1926-08-30,3012.61
1926-09-29,2915.77
1926-10-29,2763.03
1926-11-29,2852.93
1926-12-30,2864.78
1927-01-30,2882.96
1927-02-27,3002.41
1927-03-30,2984.71
1927-04-29,3069.74
1927-05-30,3206.33
1927-06-29,3046.55
1927-07-29,3382.23
1927-08-30,3559.24
1927-09-29,3684.09
1927-10-30,3368.91
1927-11-29,3695.65
1927-12-30,3742.08
1928-01-30,3702.74
1928-02-28,3674.18
1928-03-30,4045.22
1928-04-29,3992.02
1928-05-30,4122.22
1928-06-29,3968.25
1928-07-30,4074.45
1928-08-30,4534.91
1928-09-28,4425.98
1928-10-30,4728.89
1928-11-29,5501.92
1928-12-30,5658.96
1929-01-30,5989.26
1929-02-27,5987.37
1929-03-27,5860.17
1929-04-29,6094.11
1929-05-30,5643.11
1929-06-28,6296.35
1929-07-30,6482.92
1929-08-29,7091.31
1929-09-29,6403.67
1929-10-30,5099.63
1929-11-26,4455.26
1929-12-30,4659.88
1930-01-30,5039.12
1930-02-27,5144.09
1930-03-30,5460.63
1930-04-29,5298.16
1930-05-28,5250.11
1930-06-29,4345.74
1930-07-30,4546.75
1930-08-28,4700.01
1930-09-29,3981.49
1930-10-30,3584.34
1930-11-28,3606.98
1930-12-30,3297.33
1931-01-30,3399.06
1931-02-27,3896.62
1931-03-30,3563.89
