date,value
1972-01-03,17.18
1973-12-30,-31.06
1974-12-30,-35.11
1975-12-30,29.76
1976-12-30,26.1
1977-12-30,7.33
1978-12-30,12.31
1979-12-30,28.11
1980-12-30,33.88
1981-12-30,-3.21
1982-12-30,18.67
1983-12-30,19.87
1984-12-30,-11.31
1985-12-30,31.49
1986-12-30,7.36
1987-12-30,-5.25
1988-12-30,15.4
1989-12-30,19.24
1990-12-30,-17.81
1991-12-30,56.86
1992-12-30,15.45
1993-12-30,14.75
1994-12-30,-3.2
1995-12-30,39.92
1996-12-30,22.71
1997-12-30,21.64
1998-12-30,39.63
1999-12-30,85.59
2000-12-30,-39.29
2001-12-30,-21.05
2002-12-30,-31.53
2003-12-30,50.01
2004-12-30,8.59
2005-12-30,1.37
2006-12-30,9.52
2007-12-30,9.81
2008-12-30,-40.54
2009-12-30,43.89
2010-12-30,16.91
2011-12-30,-1.8
2012-12-30,15.91
2013-12-30,38.32
2014-12-30,13.4
2015-12-30,5.73
2016-12-30,7.5
2017-12-30,28.24
2018-12-30,-3.88
2019-12-30,35.23
2020-12-30,43.64
2021-12-30,21.39
2022-12-30,-33.1
2023-12-30,43.42
2024-12-30,28.64
2025-12-30,19.4
