date,value
1950-12-30,-7.28
1951-12-30,62.95
1952-12-30,119.14
1953-12-30,3.86
1954-12-30,-5.78
1955-12-30,19.55
1956-12-30,29
1957-12-30,-14.13
1958-12-30,40.92
1959-12-30,31.66
1960-12-30,55.07
1961-12-30,5.59
1962-12-30,-0.85
1963-12-30,-13.15
1964-12-30,-1.39
1965-12-30,16.55
1966-12-30,2.42
1965-12-30,-11.61
1966-12-04,32.38
1967-04-06,38.19
1968-08-06,-15.37
1971-12-07,36.57
1972-01-03,91.91
1973-12-30,-17.3
1974-12-30,-10.91
1975-12-30,13.16
1976-12-30,14.94
1977-12-30,-2.51
1978-12-30,23.35
1979-12-30,9.46
1980-12-30,7.51
1981-12-30,8.76
1982-12-30,4.36
1983-12-30,23.42
1984-12-30,16.66
1985-12-30,13.35
1986-12-30,43.85
1987-12-30,14.58
1988-12-30,39.86
1989-12-30,29.04
1990-12-30,-38.72
1991-12-30,-3.63
1992-12-30,-26.36
1993-12-30,2.91
1994-12-30,13.24
1995-12-30,0.74
1996-12-30,-2.55
1997-12-30,-21.19
1998-12-30,-9.28
1999-12-30,36.79
2000-12-30,-27.19
2001-12-30,-23.52
2002-12-30,-18.63
2003-12-30,24.45
2004-12-30,7.61
2005-12-30,40.24
2006-12-30,6.92
2007-12-30,-11.13
2008-12-30,-42.12
2009-12-30,19.04
2010-12-30,-3.01
2011-12-30,-17.34
2012-12-30,22.94
2013-12-30,56.72
2014-12-30,7.12
2015-12-30,9.07
2016-12-30,0.42
2017-12-30,19.1
2018-12-30,-12.08
2019-12-30,18.2
2020-12-30,16.01
2021-12-30,4.91
2022-12-30,-9.37
2023-12-30,28.24
2024-12-30,19.22
2025-12-30,23.78
