date,value
1949-05-30,176.52
1949-06-29,146.92
1949-07-28,144.59
1949-08-30,175.18
1949-09-29,163.29
1949-10-30,141.54
1949-11-29,122.84
1949-12-27,109.91
1950-01-30,92.54
1950-02-27,107.44
1950-03-30,97.61
1950-04-27,99.31
1950-05-30,94.22
1950-06-29,86.17
1950-07-30,97.59
1950-08-30,114.55
1950-09-28,103.58
1950-10-30,106.16
1950-11-29,109.75
1950-12-27,101.91
1951-01-30,115.43
1951-02-27,121.84
1951-03-29,123.32
1951-04-29,120.82
1951-05-30,127.23
1951-06-28,130.73
1951-07-30,135.89
1951-08-30,145.3
1951-09-27,153
1951-10-30,165.09
1951-11-29,157.35
1951-12-27,166.06
1952-01-30,188.96
1952-02-28,181.4
1952-03-30,175.51
1952-04-29,202.72
1952-05-29,222.54
1952-06-29,246.15
1952-07-30,253.21
1952-08-28,254.02
1952-09-29,268.9
1952-10-30,313.23
1952-11-27,351.45
1952-12-25,363.91
1953-01-29,452.04
1953-02-26,400.11
1953-03-30,307.05
1953-04-29,339.37
1953-05-28,333.59
1953-06-29,346.27
1953-07-30,386.13
1953-08-30,409.47
1953-09-29,450.87
1953-10-29,427.68
1953-11-29,423.06
1953-12-27,377.95
1954-01-28,355.19
1954-02-25,353.21
1954-03-30,322.99
1954-04-29,345.63
1954-05-30,325.82
1954-06-29,348.09
1954-07-29,329.22
1954-08-30,345.02
1954-09-29,351.33
1954-10-28,329.04
1954-11-29,326.85
1954-12-27,356.09
1955-01-30,369.45
1955-02-27,366.99
1955-03-30,351.5
1955-04-27,346.19
1955-05-30,349.93
1955-06-29,352.47
1955-07-28,365.69
1955-08-30,387.12
1955-09-29,388.42
1955-10-30,409.17
1955-11-29,393.28
1955-12-27,425.69
1956-01-30,423.46
1956-02-28,439.39
1956-03-29,454.56
1956-04-29,473.34
1956-05-30,488.43
1956-06-28,502.83
1956-07-30,500.34
1956-08-30,493.69
1956-09-27,490.55
1956-10-30,508.16
1956-11-29,556.58
1956-12-27,549.14
1957-01-30,567.78
1957-02-27,571.64
1957-03-28,581.78
1957-04-29,589.69
1957-05-30,520.44
1957-06-27,522.68
1957-07-30,486.16
1957-08-29,529.49
1957-09-29,529.35
1957-10-30,510.81
1957-11-28,489.7
1957-12-26,471.53
1958-01-30,522.7
1958-02-27,528.16
1958-03-30,529.98
1958-04-29,556.57
1958-05-29,559.97
1958-06-29,584.42
1958-07-30,571.6
1958-08-28,590.43
1958-09-29,586.2
1958-10-30,607.72
1958-11-27,623.99
1958-12-25,664.48
1959-01-29,689.53
1959-02-26,716.19
1959-03-30,764.85
1959-04-29,745.68
1959-05-28,796.19
1959-06-29,810.07
1959-07-30,854.91
1959-08-30,881.53
1959-09-29,902.48
1959-10-29,954.94
1959-11-29,976.93
1959-12-27,874.88
1960-01-28,953.03
1960-02-28,1015.06
1960-03-30,1059.49
1960-04-27,1092.04
1960-05-30,988.47
1960-06-29,1089.63
1960-07-28,1093.37
1960-08-30,1175.75
1960-09-29,1226.47
1960-10-30,1250.06
1960-11-29,1287.17
1960-12-27,1356.71
1961-01-30,1493.85
1961-02-27,1524.53
1961-03-30,1587.1
1961-04-27,1645.55
1961-05-30,1679.33
1961-06-29,1737.05
1961-07-30,1745.26
1961-08-30,1602.37
1961-09-28,1524.73
1961-10-30,1329.51
1961-11-29,1325.78
1961-12-27,1432.6
1962-01-30,1511.14
1962-02-27,1502.88
1962-03-29,1436.01
1962-04-29,1378.42
1962-05-30,1367.08
1962-06-28,1441.91
1962-07-30,1410.4
1962-08-30,1416.97
1962-09-27,1306.32
1962-10-30,1259.52
1962-11-29,1441.82
1962-12-27,1420.43
1963-01-30,1458.47
1963-02-27,1500.51
1963-03-28,1599.14
1963-04-29,1592.57
1963-05-30,1554.75
1963-06-27,1552.43
1963-07-30,1386.98
1963-08-29,1350.65
1963-09-29,1301.68
1963-10-30,1358.6
1963-11-28,1280.21
1963-12-26,1233.7
1964-01-30,1326.96
1964-02-27,1260.57
1964-03-30,1222.17
1964-04-29,1232.24
1964-05-28,1311.68
1964-06-29,1359.31
1964-07-30,1309.21
1964-08-30,1276.11
1964-09-29,1217.23
1964-10-29,1209.4
1964-11-29,1209.31
1964-12-27,1216.55
1965-01-28,1242.27
1965-02-25,1213.07
1965-03-30,1132.77
1965-04-29,1176.64
1965-05-30,1096.62
1965-06-29,1060.11
1965-07-29,1097.2
1965-08-30,1255.58
1965-09-29,1223.74
1965-10-28,1250.68
1965-11-29,1373.16
1965-12-27,1417.83
1966-01-30,1470.38
1966-02-27,1507.41
1966-03-30,1584.28
1966-04-27,1553.68
1966-05-30,1514.15
1966-06-29,1494.9
1966-07-28,1499
1966-08-30,1463.04
1966-09-29,1465.43
1966-10-30,1441.02
1967-12-30,1390.21
1968-12-30,1452.1
1969-12-30,1463.11
1970-12-30,1494.82
1971-12-30,1455.58
1972-12-30,1437.24
1973-12-30,1505.94
1974-12-30,1494.18
1975-12-30,1476.33
1976-12-30,1342.68
